date,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SPM_mean
2011-03-24,2.375,3.25,0.875,2.5,,6.083
2011-03-25,2.542,3.5,0.958,7.875,,5.667
2011-03-26,2.75,3.708,0.958,8.917,,9.083
2011-03-27,4.958,6.083,1.125,16.375,,19.957
2011-03-28,4.25,5.333,1.083,25.333,,20.667
2011-03-29,4.435,5.652,1.217,13.458,,14.458
2011-03-30,4.875,5.792,0.917,13.625,,12.542
2011-03-31,2.833,3.75,0.917,8.208,,6.25
2011-04-01,6.125,7.333,1.208,,,21.25
2011-04-02,3.417,4.5,1.083,,,19.333
2011-04-03,1.875,2.75,0.875,,,7.083
2011-04-04,2.826,3.826,1.0,,,6.667
2011-04-05,4.174,5.435,1.261,,,15.292
2011-04-06,5.458,6.75,1.292,,,14.292
2011-04-07,3.958,4.958,1.0,,,14.5
2011-04-08,3.542,4.458,0.917,,,9.458
2011-04-09,2.208,3.125,0.917,,,13.833
2011-04-10,3.875,4.875,1.0,,,27.208
2011-04-11,4.125,5.125,1.0,,,20.417
2011-04-12,4.125,5.208,1.083,,,12.556
2011-04-13,4.043,5.217,1.174,,,28.545
2011-04-14,4.542,5.708,1.167,,,31.958
2011-04-15,4.792,5.75,0.958,,,28.25
2011-04-16,3.0,4.0,1.0,,,24.292
2011-04-17,2.625,3.667,1.042,,,7.458
2011-04-18,3.292,4.208,0.917,,,16.542
2011-04-19,2.652,3.652,1.0,,,9.174
2011-04-20,2.167,3.042,0.875,,,9.75
2011-04-21,3.167,4.25,1.083,,,17.333
2011-04-22,4.261,5.217,0.957,,,18.208
2011-04-23,2.625,3.5,0.875,,,5.917
2011-04-24,2.833,3.708,0.875,,,18.542
2011-04-25,3.208,4.167,0.958,,,18.125
2011-04-26,6.25,7.375,1.125,,,24.826
2011-04-27,2.458,3.292,0.833,,,33.375
2011-04-28,2.667,3.583,0.917,,,11.958
2011-04-29,3.375,4.333,0.958,,,15.25
2011-04-30,3.375,4.208,0.833,,,22.917
2011-05-01,1.783,2.696,0.913,,,45.958
2011-05-02,2.833,3.833,1.0,,,134.958
2011-05-03,3.522,4.478,0.957,,,101.292
2011-05-04,2.375,3.583,1.208,,,42.292
2011-05-05,1.583,2.5,0.917,,,12.0
2011-05-06,3.042,3.958,0.917,,,25.375
2011-05-07,2.792,3.75,0.958,,,15.167
2011-05-08,2.625,3.708,1.083,,,21.25
2011-05-09,3.625,4.708,1.083,,,32.417
2011-05-10,6.217,7.783,1.565,,,18.292
2011-05-11,4.083,5.0,0.917,,,2.875
2011-05-12,2.708,3.917,1.208,,,4.375
2011-05-13,2.833,3.833,1.0,,,64.792
2011-05-14,3.542,4.542,1.0,,,32.25
2011-05-15,2.292,3.375,1.083,,,25.25
2011-05-16,3.583,4.458,0.875,,,42.708
2011-05-17,2.913,3.913,1.0,,,45.696
2011-05-18,3.417,4.5,1.083,,,23.542
2011-05-19,4.522,5.522,1.0,,,31.375
2011-05-20,3.375,4.375,1.0,,,33.458
2011-05-21,3.417,4.417,1.0,,,26.583
2011-05-22,2.125,3.083,0.958,,,12.0
2011-05-23,3.25,4.167,0.917,,,8.083
2011-05-24,1.783,2.565,0.783,,,7.333
2011-05-25,3.375,4.292,0.917,,,11.667
2011-05-26,3.375,4.375,1.0,,,17.25
2011-05-27,2.375,3.25,0.875,,,8.208
2011-05-28,2.957,3.957,1.0,,,4.125
2011-05-29,1.458,2.333,0.875,,,3.083
2011-05-30,0.792,1.708,0.917,,,16.208
2011-05-31,1.727,2.545,0.818,,,10.304
2011-06-01,4.583,5.625,1.042,,,11.042
2011-06-02,2.917,3.958,1.042,,,10.708
2011-06-03,3.292,4.292,1.0,,,25.125
2011-06-04,2.625,3.625,1.0,,,45.833
2011-06-05,2.417,3.417,1.0,,,40.083
2011-06-06,2.478,3.478,1.0,,,23.708
2011-06-07,3.458,4.375,0.917,,,25.667
2011-06-08,2.583,3.583,1.0,,,15.0
2011-06-09,3.25,4.25,1.0,,,18.042
2011-06-10,3.75,4.75,1.0,,,35.125
2011-06-11,2.0,2.958,0.958,,,21.458
2011-06-12,2.958,4.0,1.042,,,17.292
2011-06-13,2.042,2.958,0.917,,,21.0
2011-06-14,1.609,2.522,0.913,,,9.304
2011-06-15,2.565,3.696,1.13,,,13.167
2011-06-16,3.708,4.708,1.0,,,16.125
2011-06-17,2.25,3.167,0.917,,,10.5
2011-06-18,3.583,4.583,1.0,,,18.292
2011-06-19,2.25,3.25,1.0,,,20.458
2011-06-20,3.708,4.667,0.958,,,9.583
2011-06-21,2.292,3.292,1.0,,,10.25
2011-06-22,3.208,4.375,1.167,,,24.625
2011-06-23,3.5,4.667,1.167,,,25.958
2011-06-24,2.652,3.957,1.304,,,24.958
2011-06-25,2.292,3.375,1.083,,,12.75
2011-06-26,1.958,3.083,1.125,,,9.333
2011-06-27,1.917,2.958,1.042,,,14.167
2011-06-28,3.174,4.348,1.174,,,21.708
2011-06-29,2.5,3.792,1.292,,,19.5
2011-06-30,2.0,3.167,1.167,,,21.583
2011-07-01,2.208,3.333,1.125,,,14.042
2011-07-02,1.417,2.417,1.0,,,11.292
2011-07-03,2.435,3.478,1.043,,,29.833
2011-07-04,2.5,3.417,0.917,,,25.5
2011-07-05,2.208,3.125,0.917,,,35.391
2011-07-06,3.042,4.125,1.083,,,26.125
2011-07-07,2.542,3.542,1.0,,,7.583
2011-07-08,3.333,4.583,1.25,,,18.542
2011-07-09,2.0,3.048,1.048,,,19.591
2011-07-10,1.667,2.625,0.958,,,16.583
2011-07-11,2.708,3.75,1.042,,,14.25
2011-07-12,2.905,4.19,1.286,,,8.455
2011-07-13,2.5,3.5,1.0,,,11.042
2011-07-14,3.042,4.167,1.125,,,17.875
2011-07-15,2.792,3.875,1.083,,,21.542
2011-07-16,2.458,3.417,0.958,,,25.5
2011-07-17,2.708,3.833,1.125,,,18.125
2011-07-18,2.083,3.208,1.125,,,16.417
2011-07-19,1.167,2.125,0.958,,,6.5
2011-07-20,1.125,2.0,0.875,,,21.042
2011-07-21,1.043,2.0,0.957,,,33.417
2011-07-22,1.542,2.542,1.0,,,9.458
2011-07-23,1.583,2.667,1.083,,,14.792
2011-07-24,1.583,2.625,1.042,,,16.042
2011-07-25,3.208,4.208,1.0,,,20.708
2011-07-26,2.565,3.522,0.957,,,19.625
2011-07-27,2.583,3.708,1.125,,,8.042
2011-07-28,2.5,3.667,1.167,,,20.792
2011-07-29,1.833,3.0,1.167,,,14.375
2011-07-30,1.739,2.826,1.087,,,20.917
2011-07-31,0.958,1.958,1.0,,,10.333
2011-08-01,2.917,3.917,1.0,,,23.875
2011-08-02,2.875,3.875,1.0,,,21.833
2011-08-03,2.792,3.875,1.083,,,16.958
2011-08-04,2.583,3.667,1.083,,,17.208
2011-08-05,2.792,3.917,1.125,,,9.417
2011-08-06,2.292,3.417,1.125,,,14.292
2011-08-07,2.667,3.917,1.25,,,11.542
2011-08-08,2.522,3.652,1.13,,,14.917
2011-08-09,1.957,3.0,1.043,,,19.565
2011-08-10,1.875,3.0,1.125,,,24.208
2011-08-11,1.458,2.667,1.208,,,20.333
2011-08-12,1.583,2.667,1.083,,,27.375
2011-08-13,1.5,2.542,1.042,,,18.292
2011-08-14,2.333,3.375,1.042,,,24.917
2011-08-15,2.542,3.5,0.958,,,24.958
2011-08-16,1.792,2.75,0.958,,,27.583
2011-08-17,2.696,3.783,1.087,,,22.292
2011-08-18,2.167,3.167,1.0,,,23.292
2011-08-19,1.708,2.708,1.0,,,7.875
2011-08-20,2.292,3.167,0.875,,,8.792
2011-08-21,1.833,2.792,0.958,,,9.333
2011-08-22,1.708,2.75,1.042,,,5.0
2011-08-23,2.65,3.75,1.1,,,10.042
2011-08-24,2.917,4.125,1.208,,,15.458
2011-08-25,3.375,4.958,1.583,,,14.042
2011-08-26,2.304,3.696,1.391,,,10.083
2011-08-27,1.375,2.458,1.083,,,12.667
2011-08-28,1.125,2.167,1.042,,,19.042
2011-08-29,1.708,2.833,1.125,,,20.083
2011-08-30,2.167,3.208,1.042,,,19.917
2011-08-31,2.875,3.875,1.0,,,26.833
2011-09-01,3.333,4.958,1.625,,,15.75
2011-09-02,1.75,3.125,1.375,,,15.667
2011-09-03,0.417,1.417,1.0,,,14.167
2011-09-04,1.522,2.478,0.957,,,7.583
2011-09-05,1.5,2.5,1.0,,,10.542
2011-09-06,1.957,2.913,0.957,,,8.091
2011-09-07,2.625,3.708,1.083,,,14.125
2011-09-08,3.667,4.667,1.0,,,25.292
2011-09-09,3.958,4.958,1.0,,,17.542
2011-09-10,2.708,3.958,1.25,,,23.917
2011-09-11,3.25,4.458,1.208,,,17.375
2011-09-12,3.625,5.208,1.583,,,14.043
2011-09-13,2.87,4.13,1.261,,,15.792
2011-09-14,3.042,4.125,1.083,,,21.042
2011-09-15,4.125,5.333,1.208,,,18.0
2011-09-16,3.042,4.125,1.083,,,7.792
2011-09-17,2.542,3.667,1.125,,,10.833
2011-09-18,2.958,4.208,1.25,,,9.917
2011-09-19,1.375,2.583,1.208,,,8.25
2011-09-20,2.087,3.13,1.043,,,4.917
2011-09-21,0.875,1.833,0.958,,,10.917
2011-09-22,1.913,2.826,0.913,,,10.417
2011-09-23,2.333,3.458,1.125,,,7.292
2011-09-24,2.583,3.917,1.333,,,8.167
2011-09-25,2.708,3.917,1.208,,,12.208
2011-09-26,3.625,6.125,2.5,,,16.042
2011-09-27,2.792,4.375,1.583,,,15.0
2011-09-28,2.5,3.75,1.25,,,15.458
2011-09-29,3.375,4.542,1.167,,,23.0
2011-09-30,3.0,4.0,1.0,,,17.417
2011-10-01,1.609,2.565,0.957,,,11.833
2011-10-02,2.0,3.0,1.0,,,6.125
2011-10-03,2.5,3.417,0.917,,,7.417
2011-10-04,3.304,4.522,1.217,,,5.417
2011-10-05,5.375,7.083,1.708,,,8.958
2011-10-06,3.174,4.261,1.087,,,12.292
2011-10-07,3.375,4.375,1.0,,,27.208
2011-10-08,2.583,3.667,1.083,,,31.667
2011-10-09,3.0,4.083,1.083,,,24.625
2011-10-10,3.174,4.348,1.174,,,40.458
2011-10-11,3.792,5.042,1.25,,,43.125
2011-10-12,4.125,5.583,1.458,,,34.125
2011-10-13,5.25,6.458,1.208,,,34.292
2011-10-14,4.583,5.583,1.0,,,25.833
2011-10-15,2.958,3.958,1.0,,,11.708
2011-10-16,3.333,4.375,1.042,,,25.708
2011-10-17,3.625,4.875,1.25,,,18.667
2011-10-18,3.304,4.565,1.261,,,16.652
2011-10-19,3.826,5.478,1.652,,,10.958
2011-10-20,4.167,5.708,1.542,,,12.958
2011-10-21,4.583,6.125,1.542,,,18.833
2011-10-22,3.292,4.333,1.042,,,7.417
2011-10-23,2.5,3.542,1.042,,,7.042
2011-10-24,3.083,4.25,1.167,3.391,,6.083
2011-10-25,2.167,3.208,1.042,6.958,,13.042
2011-10-26,1.917,2.917,1.0,7.792,,7.5
2011-10-27,4.042,5.792,1.75,7.833,,7.875
2011-10-28,4.783,5.913,1.13,10.417,,15.333
2011-10-29,4.292,5.542,1.25,10.917,,15.25
2011-10-30,3.458,4.458,1.0,9.792,,13.375
2011-10-31,3.625,4.667,1.042,5.833,,10.125
2011-11-01,4.652,6.565,1.913,8.292,,14.458
2011-11-02,3.75,4.792,1.042,9.042,,10.75
2011-11-03,4.5,5.708,1.208,11.542,,12.75
2011-11-04,4.125,5.958,1.833,12.667,,16.292
2011-11-05,4.375,5.333,0.958,10.125,,13.375
2011-11-06,2.087,3.174,1.087,3.667,,8.333
2011-11-07,1.667,2.667,1.0,6.125,,8.5
2011-11-08,2.792,3.792,1.0,6.375,,11.708
2011-11-09,4.125,5.708,1.583,5.875,,7.375
2011-11-10,3.917,4.917,1.0,4.917,,5.0
2011-11-11,5.833,8.083,2.25,3.0,,2.417
2011-11-12,3.708,5.167,1.458,4.625,,7.75
2011-11-13,3.625,4.625,1.0,14.583,,17.875
2011-11-14,7.917,11.0,3.083,25.042,,32.917
2011-11-15,2.455,3.364,0.909,7.083,,10.217
2011-11-16,4.25,5.792,1.542,5.458,,5.542
2011-11-17,4.958,6.625,1.667,13.75,,12.167
2011-11-18,5.25,6.208,0.958,16.333,,14.75
2011-11-19,4.682,5.955,1.273,3.636,,8.773
2011-11-20,1.5,2.5,1.0,8.667,,14.458
2011-11-21,1.917,2.875,0.958,4.833,,4.958
2011-11-22,4.292,5.75,1.458,3.167,,6.652
2011-11-23,6.917,8.417,1.5,9.917,,11.625
2011-11-24,2.565,3.652,1.087,5.417,,7.292
2011-11-25,3.0,3.875,0.875,2.583,,6.167
2011-11-26,4.208,5.958,1.75,2.625,,4.292
2011-11-27,5.75,7.417,1.667,11.375,,14.583
2011-11-28,7.833,11.292,3.458,14.75,,18.875
2011-11-29,6.261,10.435,4.174,17.182,,15.708
2011-11-30,5.167,8.208,3.042,8.792,,9.333
2011-12-01,2.375,3.333,0.958,1.5,,5.458
2011-12-02,4.75,6.083,1.333,4.292,,7.042
2011-12-03,4.087,5.652,1.565,2.625,,6.625
2011-12-04,2.5,3.5,1.0,2.625,,4.917
2011-12-05,3.333,4.333,1.0,6.75,,7.583
2011-12-06,4.75,6.667,1.917,7.792,,6.958
2011-12-07,4.458,6.083,1.625,6.917,,6.625
2011-12-08,4.0,5.143,1.143,12.542,,13.167
2011-12-09,2.565,3.522,0.957,3.333,,7.542
2011-12-10,5.375,6.75,1.375,3.292,,3.542
2011-12-11,4.625,5.625,1.0,9.792,,10.208
2011-12-12,7.261,10.478,3.217,14.208,,11.417
2011-12-13,7.0,9.087,2.087,7.458,,5.696
2011-12-14,7.125,11.0,3.875,8.083,,5.417
2011-12-15,6.917,9.125,2.208,16.375,,15.542
2011-12-16,3.083,4.292,1.208,2.75,,3.417
2011-12-17,4.833,5.958,1.125,2.792,,4.167
2011-12-18,2.542,3.542,1.0,4.292,,5.375
2011-12-19,2.667,3.75,1.083,3.958,,3.667
2011-12-20,4.13,5.261,1.13,2.783,,2.739
2011-12-21,6.087,7.478,1.391,14.958,,14.875
2011-12-22,5.208,8.125,2.917,17.875,,17.167
2011-12-23,3.25,4.292,1.042,2.042,,4.417
2011-12-24,4.083,5.25,1.167,1.917,,3.667
2011-12-25,2.667,3.708,1.042,0.75,,3.417
2011-12-26,1.667,2.75,1.083,3.542,,5.083
2011-12-27,6.583,8.208,1.625,3.333,,4.208
2011-12-28,9.167,12.875,3.708,4.375,,4.792
2011-12-29,6.208,8.125,1.917,12.125,,14.708
2011-12-30,3.304,4.304,1.0,6.708,,9.292
2011-12-31,5.583,7.375,1.792,5.542,,4.833
2012-01-01,2.25,3.208,0.958,7.875,,
2012-01-02,3.0,4.087,1.087,15.583,,
2012-01-03,1.583,2.542,0.958,3.333,,
2012-01-04,3.125,4.292,1.167,1.542,,
2012-01-05,4.5,5.917,1.417,2.167,,
2012-01-06,9.917,12.208,2.292,8.0,,
2012-01-07,8.542,11.25,2.708,10.5,,
2012-01-08,9.348,12.826,3.478,10.333,,
2012-01-09,5.292,6.792,1.5,8.875,,
2012-01-10,6.5,8.25,1.75,2.333,,
2012-01-11,7.565,9.783,2.217,6.333,,
2012-01-12,7.667,9.875,2.208,9.958,,
2012-01-13,6.125,7.667,1.542,14.417,,
2012-01-14,3.917,5.042,1.125,10.625,,
2012-01-15,2.333,3.292,0.958,8.5,,
2012-01-16,5.167,7.042,1.875,10.333,,
2012-01-17,3.417,4.333,0.917,9.375,,
2012-01-18,2.125,3.125,1.0,4.0,,
2012-01-19,4.917,6.0,1.083,9.958,,
2012-01-20,2.783,3.609,0.826,20.458,,
2012-01-21,6.125,7.917,1.792,14.25,,
2012-01-22,3.652,4.696,1.043,3.0,,
2012-01-23,4.042,5.208,1.167,4.583,,
2012-01-24,4.917,6.458,1.542,8.583,,
2012-01-25,2.917,4.042,1.125,8.375,,
2012-01-26,2.0,2.958,0.958,4.708,,
2012-01-27,2.958,3.917,0.958,5.167,,
2012-01-28,3.875,4.75,0.875,6.958,,
2012-01-29,9.435,11.826,2.391,13.75,,
2012-01-30,10.667,15.0,4.333,22.208,,
2012-01-31,7.667,10.292,2.625,18.0,,
2012-02-01,5.667,6.875,1.208,13.375,,
2012-02-02,3.208,4.375,1.167,9.292,,
2012-02-03,2.167,3.083,0.917,13.208,,
2012-02-04,3.667,4.667,1.0,10.417,,
2012-02-05,2.304,3.217,0.913,9.625,,
2012-02-06,4.625,5.958,1.333,3.167,,
2012-02-07,3.565,5.478,1.913,8.833,,
2012-02-08,1.417,2.292,0.875,6.625,,
2012-02-09,3.375,4.417,1.042,7.917,,
2012-02-10,3.375,4.333,0.958,15.958,,
2012-02-11,2.042,3.0,0.958,14.625,,
2012-02-12,5.0,6.125,1.125,13.167,,
2012-02-13,3.708,4.708,1.0,12.375,,
2012-02-14,3.833,5.25,1.417,6.167,,
2012-02-15,3.75,4.833,1.083,6.125,,
2012-02-16,1.304,2.13,0.826,6.417,,
2012-02-17,2.458,3.375,0.917,5.167,,
2012-02-18,5.625,7.125,1.5,8.333,,
2012-02-19,1.739,2.696,0.957,9.955,,
2012-02-20,4.375,5.667,1.292,6.042,,
2012-02-21,3.583,4.667,1.083,9.75,,
2012-02-22,5.542,7.5,1.958,18.5,,
2012-02-23,3.375,4.292,0.917,13.708,,
2012-02-24,1.208,2.125,0.917,10.5,,
2012-02-25,2.87,3.826,0.957,8.292,,
2012-02-26,4.458,6.042,1.583,14.864,,
2012-02-27,5.833,7.708,1.875,18.625,,
2012-02-28,5.083,6.833,1.75,14.417,,
2012-03-01,4.958,5.792,0.833,14.292,,
2012-03-02,2.0,2.917,0.917,22.708,,
2012-03-03,2.417,3.375,0.958,9.292,,
2012-03-04,3.667,5.042,1.375,12.375,,
2012-03-05,4.957,6.13,1.174,22.25,,
2012-03-06,5.522,7.435,1.913,20.083,,
2012-03-07,7.167,8.5,1.333,25.708,,
2012-03-08,6.25,7.458,1.208,40.0,,
2012-03-09,5.833,6.958,1.125,51.792,,
2012-03-10,2.542,3.292,0.75,23.917,,
2012-03-11,2.25,3.208,0.958,9.75,,
2012-03-12,4.917,6.25,1.333,10.0,,
2012-03-13,3.042,4.042,1.0,11.583,,
2012-03-14,1.833,2.667,0.833,10.458,,
2012-03-15,4.739,6.087,1.348,8.292,,
2012-03-16,4.458,5.917,1.458,25.25,,
2012-03-17,4.458,5.75,1.292,35.583,,
2012-03-18,2.5,3.417,0.917,21.333,,
2012-03-19,3.435,4.565,1.13,19.5,,
2012-03-20,5.458,6.5,1.042,25.833,,
2012-03-21,2.333,3.292,0.958,7.25,,
2012-03-22,4.958,6.25,1.292,8.875,,
2012-03-23,2.958,3.958,1.0,15.042,,
2012-03-24,3.304,4.478,1.174,16.25,,
2012-03-25,3.125,4.417,1.292,14.0,,
2012-03-26,3.458,4.583,1.125,11.652,,
2012-03-27,5.0,6.042,1.042,12.75,,
2012-03-28,4.0,5.083,1.083,8.75,,
2012-03-29,2.708,3.917,1.208,14.917,,
2012-03-30,2.458,3.5,1.042,12.542,,
2012-03-31,2.375,3.25,0.875,11.708,,
2012-04-01,3.167,4.083,0.917,10.917,,
2012-04-02,3.25,4.458,1.208,14.333,,
2012-04-03,2.609,3.565,0.957,13.625,,
2012-04-04,3.667,4.5,0.833,11.632,,
2012-04-05,4.042,4.958,0.917,22.045,,
2012-04-06,3.333,4.333,1.0,8.958,,
2012-04-07,2.522,3.435,0.913,7.583,,
2012-04-08,3.583,4.667,1.083,16.625,,
2012-04-09,4.042,5.208,1.167,25.542,,
2012-04-10,4.167,5.25,1.083,34.208,,
2012-04-11,3.583,4.542,0.958,9.417,,
2012-04-12,2.625,3.583,0.958,12.542,,
2012-04-13,3.458,4.542,1.083,15.833,,
2012-04-14,2.875,3.875,1.0,11.042,,
2012-04-15,3.208,4.208,1.0,8.958,,
2012-04-16,4.261,5.261,1.0,8.625,,
2012-04-17,3.136,4.091,0.955,12.167,,
2012-04-18,3.125,4.208,1.083,11.792,,
2012-04-19,3.667,4.833,1.167,13.25,,
2012-04-20,4.208,5.208,1.0,12.833,,
2012-04-21,2.875,3.875,1.0,4.917,,
2012-04-22,1.5,2.5,1.0,0.391,,
2012-04-23,2.208,3.167,0.958,21.792,,
2012-04-24,3.417,4.5,1.083,42.826,,
2012-04-25,3.783,4.87,1.087,39.083,,
2012-04-26,2.792,3.917,1.125,18.125,,
2012-04-27,2.875,3.875,1.0,6.458,,
2012-04-28,3.542,4.625,1.083,10.917,,
2012-04-29,4.333,5.458,1.125,17.583,,
2012-04-30,2.792,3.708,0.917,17.917,,
2012-05-01,2.208,3.208,1.0,7.708,,
2012-05-02,2.174,3.174,1.0,2.083,,
2012-05-03,1.292,2.25,0.958,5.042,,
2012-05-04,0.739,1.696,0.957,3.208,,
2012-05-05,2.417,3.5,1.083,21.292,,
2012-05-06,3.042,4.0,0.958,17.708,,
2012-05-07,3.25,4.25,1.0,29.583,,
2012-05-08,4.167,5.208,1.042,31.708,,
2012-05-09,4.0,5.042,1.042,32.958,,
2012-05-10,1.583,2.458,0.875,10.833,,
2012-05-11,1.042,2.125,1.083,0.125,,
2012-05-12,1.375,2.167,0.792,2.917,,
2012-05-13,1.609,2.652,1.043,5.292,,
2012-05-14,3.333,4.375,1.042,13.75,,
2012-05-15,2.318,3.318,1.0,4.583,,
2012-05-16,2.65,3.7,1.05,19.417,,
2012-05-17,3.762,4.667,0.905,30.208,,
2012-05-18,2.542,3.417,0.875,21.333,,
2012-05-19,2.583,3.583,1.0,12.75,,
2012-05-20,3.0,4.0,1.0,14.333,,
2012-05-21,2.875,3.917,1.042,15.5,,
2012-05-22,2.045,3.0,0.955,15.958,,
2012-05-23,2.0,2.875,0.875,18.583,,
2012-05-24,3.5,4.583,1.083,14.375,,
2012-05-25,3.458,4.5,1.042,15.875,,
2012-05-26,2.826,3.913,1.087,18.043,,
2012-05-27,3.208,4.208,1.0,23.917,,
2012-05-28,3.13,4.174,1.043,27.429,,
2012-05-29,2.833,3.875,1.042,21.292,,
2012-05-30,1.917,2.917,1.0,9.5,,
2012-05-31,2.696,3.739,1.043,14.75,,
2012-06-01,2.75,3.833,1.083,16.125,,
2012-06-02,2.417,3.458,1.042,16.667,,
2012-06-03,2.333,3.375,1.042,27.917,,
2012-06-04,3.083,4.083,1.0,17.417,,
2012-06-05,4.042,5.042,1.0,12.417,,
2012-06-06,2.333,3.333,1.0,11.5,,
2012-06-07,2.292,3.333,1.042,20.167,,
2012-06-08,2.958,3.958,1.0,21.375,,
2012-06-09,1.696,2.609,0.913,4.333,,
2012-06-10,1.208,2.208,1.0,17.792,,
2012-06-11,2.208,3.125,0.917,6.125,,
2012-06-12,2.435,3.435,1.0,10.167,,
2012-06-13,2.0,3.0,1.0,11.417,,
2012-06-14,1.5,2.458,0.958,14.792,,
2012-06-15,2.417,3.458,1.042,15.625,,
2012-06-16,1.708,2.708,1.0,3.958,,
2012-06-17,1.25,2.042,0.792,3.875,,
2012-06-18,2.348,3.435,1.087,10.0,,
2012-06-19,4.375,5.625,1.25,6.783,,
2012-06-20,1.292,2.25,0.958,4.208,,
2012-06-21,2.583,3.542,0.958,12.667,,
