date,PM25_mean
2016-04-25,24.083
2016-04-26,15.565
2016-04-27,10.625
2016-04-28,2.292
2016-04-29,7.25
2016-04-30,10.542
2016-05-01,17.917
2016-05-02,19.833
2016-05-03,14.905
2016-05-04,16.333
2016-05-05,14.417
2016-05-06,8.875
2016-05-07,16.958
2016-05-08,30.167
2016-05-09,10.125
2016-05-10,2.957
2016-05-11,3.083
2016-05-12,10.167
2016-05-13,11.458
2016-05-14,18.042
2016-05-15,20.478
2016-05-16,8.25
2016-05-17,10.333
2016-05-18,14.75
2016-05-19,17.167
2016-05-20,18.583
2016-05-21,24.042
2016-05-22,25.417
2016-05-23,24.542
2016-05-24,25.826
2016-05-25,23.333
2016-05-26,10.167
2016-05-27,22.087
2016-05-28,26.542
2016-05-29,22.208
2016-05-30,3.458
2016-05-31,15.458
2016-06-01,11.667
2016-06-02,6.083
2016-06-03,7.875
2016-06-04,11.792
2016-06-05,5.333
2016-06-06,10.917
2016-06-07,7.522
2016-06-08,9.25
2016-06-09,6.083
2016-06-10,9.458
2016-06-11,13.125
2016-06-12,7.667
2016-06-13,3.708
2016-06-14,11.696
2016-06-15,11.875
2016-06-16,2.708
2016-06-17,18.625
2016-06-18,14.667
2016-06-19,17.083
2016-06-20,18.208
2016-06-21,8.417
2016-06-22,14.833
2016-06-23,6.542
2016-06-24,9.75
2016-06-25,9.167
2016-06-26,15.0
2016-06-27,18.083
2016-06-28,4.652
2016-06-29,6.75
2016-06-30,10.458
2016-07-01,13.25
2016-07-02,10.417
2016-07-03,8.167
2016-07-04,7.792
2016-07-05,10.958
2016-07-06,8.833
2016-07-07,12.958
2016-07-08,14.042
2016-07-09,3.875
2016-07-10,11.167
2016-07-11,18.208
2016-07-12,14.125
2016-07-13,11.083
2016-07-14,11.917
2016-07-15,3.25
2016-07-16,9.333
2016-07-17,15.208
2016-07-18,11.333
2016-07-19,12.167
2016-07-20,11.591
2016-07-21,11.458
2016-07-22,9.458
2016-07-23,8.0
2016-07-24,10.5
2016-07-25,14.0
2016-07-26,10.565
2016-07-27,16.8
2016-07-28,12.083
2016-07-29,8.5
2016-07-30,8.792
2016-07-31,12.042
2016-08-01,19.167
2016-08-02,18.75
2016-08-03,18.375
2016-08-04,17.458
