date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2013-05-19,184.125,1.0,1.7083333333333333,6.125,7.416666666666667,1.2916666666666667,13.75,185.83333333333334
2013-05-20,181.70833333333334,1.2083333333333333,4.041666666666667,12.25,15.75,3.5,10.541666666666666,185.75
2013-05-21,185.70833333333334,1.5416666666666667,8.166666666666666,16.041666666666668,23.208333333333332,7.166666666666667,27.583333333333332,193.875
2013-05-22,188.375,2.25,7.291666666666667,16.5,21.833333333333332,5.333333333333333,38.875,195.66666666666666
2013-05-23,190.2173913043478,1.7916666666666667,6.217391304347826,18.041666666666668,23.833333333333332,5.791666666666667,35.958333333333336,196.43478260869566
2013-05-24,188.83333333333334,1.1666666666666667,4.625,14.954545454545455,18.863636363636363,3.909090909090909,21.166666666666668,193.45833333333334
2013-05-25,189.75,1.125,3.0416666666666665,9.791666666666666,12.833333333333334,3.0416666666666665,24.125,192.79166666666666
2013-05-26,189.375,1.0833333333333333,2.5416666666666665,8.208333333333334,10.041666666666666,1.8333333333333333,23.708333333333332,191.91666666666666
2013-05-27,188.58333333333334,1.0,3.2916666666666665,9.75,14.666666666666666,4.916666666666667,19.5,191.875
2013-05-28,185.75,1.0,2.25,9.708333333333334,12.666666666666666,2.9583333333333335,16.833333333333332,188.0
2013-05-29,185.08333333333334,1.0,2.3333333333333335,10.666666666666666,15.166666666666666,4.5,15.041666666666666,187.41666666666666
2013-05-30,182.0,1.4583333333333333,5.956521739130435,16.666666666666668,27.041666666666668,10.375,26.041666666666668,187.95652173913044
2013-05-31,187.41666666666666,1.8333333333333333,7.291666666666667,14.136363636363637,21.545454545454547,7.409090909090909,27.958333333333332,194.70833333333334
2013-06-01,186.75,1.625,4.541666666666667,13.166666666666666,17.875,4.708333333333333,21.666666666666668,191.29166666666666
2013-06-02,184.66666666666666,1.1666666666666667,2.7916666666666665,7.833333333333333,10.083333333333334,2.25,19.416666666666668,187.45833333333334
2013-06-03,188.2608695652174,2.347826086956522,5.826086956521739,17.25,25.416666666666668,8.166666666666666,21.875,194.08695652173913
2013-06-04,187.08333333333334,2.875,7.666666666666667,16.125,25.166666666666668,9.041666666666666,26.666666666666668,194.75
2013-06-05,185.95833333333334,2.2916666666666665,6.0,14.791666666666666,25.208333333333332,10.416666666666666,22.541666666666668,191.95833333333334
2013-06-06,185.0,2.2083333333333335,3.8333333333333335,13.083333333333334,24.458333333333332,11.375,21.166666666666668,188.83333333333334
2013-06-07,183.45833333333334,2.5416666666666665,3.25,12.545454545454545,17.09090909090909,4.545454545454546,20.208333333333332,186.70833333333334
2013-06-08,185.25,2.7083333333333335,3.9166666666666665,11.333333333333334,15.25,3.9166666666666665,24.458333333333332,189.16666666666666
2013-06-09,186.375,2.6666666666666665,4.041666666666667,11.833333333333334,14.208333333333334,2.375,29.458333333333332,190.41666666666666
2013-06-10,186.1304347826087,2.375,2.608695652173913,10.583333333333334,15.083333333333334,4.5,23.25,188.7391304347826
2013-06-11,184.625,2.5,3.2083333333333335,12.5,15.875,3.375,17.333333333333332,187.83333333333334
2013-06-12,180.58333333333334,2.125,2.8333333333333335,8.166666666666666,10.916666666666666,2.75,12.291666666666666,183.41666666666666
2013-06-13,178.58333333333334,2.2083333333333335,5.541666666666667,10.291666666666666,19.916666666666668,9.625,13.208333333333334,184.125
2013-06-14,179.91666666666666,2.1666666666666665,4.291666666666667,11.454545454545455,19.772727272727273,8.318181818181818,13.583333333333334,184.20833333333334
2013-06-15,183.83333333333334,2.6666666666666665,8.375,15.125,24.416666666666668,9.291666666666666,21.958333333333332,192.20833333333334
2013-06-16,180.58333333333334,2.25,2.7916666666666665,8.333333333333334,11.791666666666666,3.4583333333333335,14.5,183.375
2013-06-17,182.1304347826087,2.4583333333333335,6.521739130434782,14.166666666666666,26.0,11.833333333333334,23.625,188.65217391304347
2013-06-18,177.04166666666666,2.4347826086956523,4.666666666666667,15.75,25.958333333333332,10.208333333333334,36.666666666666664,181.70833333333334
