date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-26,93.0,70.208,47.0,1.083,4.0,7.4,3.038,-0.1
2011-01-27,88.0,66.708,51.0,2.667,11.917,7.7,4.167,1.8
2011-01-28,99.0,75.375,58.0,2.083,16.75,8.3,3.992,0.1
2011-01-29,70.0,56.417,36.0,1.583,6.792,9.1,3.762,-0.1
2011-01-30,89.0,66.958,41.0,0.957,6.667,8.0,3.2,-1.7
2011-01-31,92.0,68.917,41.0,0.708,5.917,9.6,3.717,-2.3
2011-02-01,99.0,85.208,64.0,1.375,16.083,8.1,1.608,-3.6
2011-02-02,92.0,71.417,56.0,0.958,3.917,2.5,0.383,-0.8
2011-02-03,87.0,64.75,43.0,1.25,5.542,7.3,2.367,-1.5
2011-02-04,87.0,61.625,37.0,2.5,16.583,10.6,4.754,-0.1
2011-02-05,85.0,62.917,42.0,2.5,24.292,10.1,6.662,3.8
2011-02-06,99.0,95.958,81.0,2.348,46.542,6.3,5.392,4.4
2011-02-07,99.0,90.875,70.0,1.25,19.375,9.7,7.908,5.6
2011-02-08,78.0,61.375,45.0,0.75,5.792,8.5,4.333,0.9
2011-02-09,73.0,58.792,45.0,0.917,7.583,6.6,2.788,-0.2
2011-02-10,79.0,61.042,36.0,1.0,6.833,10.1,4.712,1.3
2011-02-11,87.0,66.792,46.0,1.25,8.083,8.6,4.496,0.6
2011-02-12,79.0,65.208,46.0,1.125,8.542,9.5,4.838,1.9
2011-02-13,99.0,72.042,48.0,3.087,21.042,6.7,3.962,1.8
2011-02-14,99.0,99.0,99.0,1.708,21.167,6.8,4.938,1.5
2011-02-15,99.0,86.833,64.0,2.333,20.083,8.8,4.879,1.0
2011-02-16,71.0,57.542,35.0,1.292,7.917,9.8,5.033,2.2
2011-02-17,75.0,62.25,41.0,1.125,6.167,9.3,4.779,2.4
2011-02-18,81.0,52.833,39.0,1.042,5.625,7.1,2.929,-0.1
2011-02-19,73.0,58.75,36.0,1.708,11.0,9.1,2.975,-3.0
2011-02-20,95.0,68.333,42.0,0.87,10.708,10.9,4.571,-0.9
2011-02-21,98.0,71.833,48.0,2.042,16.042,11.4,5.625,-2.1
2011-02-22,99.0,78.792,50.0,3.083,29.792,11.5,8.588,4.3
2011-02-23,99.0,91.042,69.0,1.292,30.917,13.3,9.696,7.7
2011-02-24,93.0,65.0,38.0,2.792,33.826,15.7,10.088,7.0
2011-02-25,99.0,88.417,73.0,2.625,33.917,10.7,8.383,6.9
2011-02-26,81.0,62.0,45.0,0.833,5.417,9.2,5.804,2.6
2011-02-27,58.0,45.25,30.0,1.478,9.167,10.1,4.233,0.6
2011-02-28,96.0,54.0,29.0,1.792,14.125,9.2,4.533,-0.8
2011-03-01,99.0,85.875,60.0,3.25,25.083,14.7,9.688,4.4
2011-03-02,99.0,98.542,91.0,1.208,33.833,10.1,9.075,8.1
2011-03-03,90.0,66.042,36.0,1.458,12.458,17.0,10.154,6.3
2011-03-04,99.0,86.708,67.0,1.875,26.0,8.8,6.988,4.3
2011-03-05,99.0,99.0,99.0,0.348,12.542,11.2,10.171,8.7
2011-03-06,99.0,88.292,69.0,1.083,24.917,19.4,14.142,10.3
2011-03-07,85.0,69.542,57.0,2.292,28.542,12.8,11.029,8.8
2011-03-08,84.0,69.458,50.0,4.042,31.625,15.5,11.025,7.2
2011-03-09,99.0,95.708,76.0,1.792,21.417,9.7,8.208,7.0
2011-03-10,99.0,77.083,52.0,0.792,11.417,14.8,8.875,5.8
2011-03-11,89.0,63.375,34.0,1.375,7.125,14.0,7.067,1.8
2011-03-12,88.0,72.833,56.0,0.043,7.458,9.3,4.275,1.8
2011-03-13,75.0,55.875,41.0,0.0,7.042,10.1,4.925,1.5
2011-03-14,89.0,59.792,34.0,0.0,13.542,12.9,5.625,-0.4
2011-03-15,99.0,64.625,30.0,0.125,15.083,12.7,6.008,-0.2
2011-03-16,99.0,68.375,42.0,0.083,16.0,11.0,7.292,0.2
2011-03-17,99.0,99.0,99.0,0.0,27.208,14.6,11.008,8.8
2011-03-18,99.0,95.708,74.0,0.0,23.958,13.4,11.612,10.0
2011-03-19,82.0,58.833,40.0,0.391,10.167,12.4,8.204,4.0
2011-03-20,73.0,54.333,32.0,0.917,9.792,14.0,8.008,1.8
2011-03-21,70.0,45.833,27.0,0.875,7.833,13.4,7.667,2.8
2011-03-22,91.0,61.167,28.0,1.708,17.625,18.2,9.762,0.2
2011-03-23,99.0,91.833,68.0,0.667,22.333,10.1,9.262,8.4
2011-03-24,99.0,84.583,64.0,0.208,9.542,12.5,9.829,7.0
2011-03-25,82.0,67.75,47.0,0.375,12.208,10.6,7.1,3.3
2011-03-26,90.0,64.708,36.0,1.0,10.5,12.0,6.704,2.6
2011-03-27,93.0,66.542,33.0,1.125,16.833,15.7,8.612,3.7
2011-03-28,99.0,71.375,46.0,2.292,28.125,17.4,9.35,1.9
2011-03-29,95.0,61.25,30.0,1.875,19.125,16.3,10.221,3.5
2011-03-30,99.0,81.458,59.0,2.25,24.958,17.5,11.654,2.9
2011-03-31,99.0,84.083,61.0,0.542,9.833,16.2,11.504,6.1
2011-04-01,94.0,65.25,25.0,3.208,19.375,15.4,9.521,1.2
2011-04-02,99.0,67.375,33.0,2.125,29.208,21.5,11.742,3.5
2011-04-03,63.0,44.5,26.0,1.375,7.875,12.5,8.879,5.8
2011-04-04,70.0,46.0,21.0,1.375,5.458,17.2,9.604,3.6
2011-04-05,86.0,50.542,22.0,3.167,16.958,17.6,10.192,3.4
2011-04-06,99.0,72.417,34.0,2.917,25.042,19.5,11.567,2.8
2011-04-07,99.0,77.875,55.0,2.125,27.125,19.8,13.858,7.4
2011-04-08,99.0,79.083,61.0,1.375,15.333,18.9,16.612,14.6
2011-04-09,99.0,85.375,65.0,1.208,17.167,20.7,15.742,11.6
2011-04-10,91.0,61.958,24.0,1.625,28.625,21.8,15.221,10.1
2011-04-11,99.0,67.875,27.0,1.958,29.5,22.8,13.025,6.3
2011-04-12,68.0,34.208,19.0,1.333,20.125,17.8,11.762,6.7
2011-04-13,91.0,57.792,30.0,2.625,24.583,21.0,12.742,2.8
2011-04-14,92.0,61.042,32.0,3.583,30.333,23.9,15.433,5.8
2011-04-15,99.0,83.125,50.0,3.542,43.208,21.2,16.092,13.6
2011-04-16,99.0,72.208,48.0,1.875,43.833,22.6,15.262,9.3
2011-04-17,96.0,65.708,36.0,1.625,17.375,18.3,13.292,6.0
2011-04-18,99.0,88.167,64.0,2.125,22.083,17.3,14.221,9.9
2011-04-19,99.0,80.708,45.0,0.417,10.333,17.4,12.058,8.8
2011-04-20,90.0,70.875,52.0,0.417,5.0,17.0,12.146,7.5
2011-04-21,99.0,75.542,33.0,2.333,16.458,18.0,12.479,5.1
2011-04-22,98.0,89.375,76.0,1.458,26.833,17.3,15.012,12.4
2011-04-23,99.0,97.458,88.0,0.208,17.167,16.6,14.558,10.3
2011-04-24,96.0,73.958,41.0,0.875,16.042,19.9,12.879,7.8
2011-04-25,99.0,81.458,48.0,0.958,19.625,17.9,11.55,6.2
2011-04-26,99.0,84.25,55.0,1.958,29.958,18.7,13.992,7.3
2011-04-27,99.0,95.667,81.0,0.875,43.417,22.5,17.55,13.7
2011-04-28,99.0,79.25,59.0,0.833,17.333,20.4,14.925,11.2
2011-04-29,90.0,66.583,40.0,1.0,14.833,20.6,13.979,7.8
2011-04-30,99.0,88.792,68.0,2.583,32.542,20.6,14.525,7.5
2011-05-01,99.0,98.792,94.0,0.958,32.542,16.8,15.629,14.1
2011-05-02,88.0,59.917,36.0,0.792,85.25,23.8,17.979,13.7
2011-05-03,99.0,83.708,65.0,1.833,80.375,18.3,14.75,10.9
2011-05-04,99.0,63.792,34.0,1.708,39.125,25.3,17.554,9.9
2011-05-05,99.0,69.0,38.0,2.667,24.333,20.6,16.692,12.4
2011-05-06,99.0,92.708,81.0,1.375,47.292,19.3,17.242,15.8
2011-05-07,99.0,82.417,63.0,1.792,24.25,22.8,18.858,15.9
2011-05-08,99.0,65.167,33.0,1.833,34.958,29.2,22.567,17.4
2011-05-09,99.0,75.375,34.0,2.5,45.083,24.2,18.925,13.6
2011-05-10,99.0,95.25,81.0,1.375,52.958,27.2,22.033,18.0
2011-05-11,99.0,99.0,99.0,0.083,21.708,20.6,17.75,16.3
2011-05-12,99.0,99.0,99.0,0.0,13.583,18.7,17.592,16.7
2011-05-13,99.0,70.25,34.0,0.417,50.792,24.2,19.712,14.5
2011-05-14,94.0,55.625,33.0,1.375,29.417,26.4,19.621,13.1
2011-05-15,99.0,67.917,39.0,1.542,28.0,24.1,18.408,11.3
2011-05-16,99.0,91.25,76.0,1.417,38.417,22.2,18.517,12.9
2011-05-17,99.0,79.458,50.0,1.292,35.042,25.5,19.462,14.8
2011-05-18,99.0,64.0,25.0,1.625,28.917,27.5,19.554,11.3
2011-05-19,100.0,82.417,58.0,2.0,42.375,24.5,18.958,12.1
2011-05-20,99.0,82.917,58.0,2.333,52.208,25.8,21.25,16.6
2011-05-21,100.0,84.5,58.0,2.083,42.125,28.4,22.933,17.9
2011-05-22,100.0,95.625,85.0,0.667,23.792,22.7,20.225,17.4
2011-05-23,100.0,97.208,89.0,0.542,19.292,17.5,16.396,15.0
2011-05-24,99.0,93.958,77.0,0.667,14.667,19.3,15.446,13.0
2011-05-25,99.0,82.042,60.0,1.583,17.208,22.7,18.621,13.0
2011-05-26,99.0,88.083,79.0,1.25,19.875,22.3,19.479,17.0
2011-05-27,99.0,94.792,83.0,1.042,19.333,19.3,17.617,15.5
2011-05-28,99.0,99.0,99.0,0.5,34.208,19.6,18.254,16.8
2011-05-29,99.0,99.0,99.0,0.792,29.667,22.4,20.433,18.8
2011-05-30,99.0,87.042,65.0,0.125,9.333,24.5,19.104,16.6
2011-05-31,93.0,80.5,57.0,1.125,8.042,23.7,19.221,15.9
2011-06-01,99.0,98.292,93.0,1.042,33.625,17.9,16.246,15.3
2011-06-02,99.0,99.0,99.0,0.0,22.917,18.5,17.429,16.2
2011-06-03,99.0,92.958,75.0,3.0,58.625,24.6,20.225,17.1
2011-06-04,99.0,89.875,71.0,2.25,68.667,27.1,21.554,16.6
2011-06-05,99.0,90.708,72.0,2.0,51.708,25.1,20.929,17.6
2011-06-06,99.0,71.833,39.0,1.333,39.875,29.5,23.267,17.0
2011-06-07,99.0,90.667,64.0,1.917,39.5,24.2,21.075,19.9
2011-06-08,99.0,88.833,70.0,1.292,26.917,25.6,21.471,18.5
2011-06-09,99.0,91.417,71.0,4.75,35.5,25.7,22.308,20.0
2011-06-10,99.0,98.333,93.0,2.208,39.792,24.7,22.617,21.3
2011-06-11,99.0,97.667,93.0,0.875,21.75,23.9,22.296,20.0
2011-06-12,99.0,90.5,72.0,1.667,31.958,25.2,21.738,17.6
2011-06-13,99.0,85.958,68.0,0.75,17.958,27.6,22.433,17.6
2011-06-14,99.0,73.381,46.0,1.292,22.208,28.7,23.3,19.8
2011-06-15,99.0,83.542,46.0,2.25,16.75,25.7,21.542,16.1
2011-06-16,99.0,98.958,98.0,1.042,23.417,21.1,19.571,16.8
2011-06-17,99.0,97.125,90.0,1.333,17.875,23.2,20.846,18.5
2011-06-18,99.0,99.0,99.0,1.208,22.292,21.8,20.867,20.0
2011-06-19,99.0,99.0,99.0,1.208,31.75,23.4,21.612,20.2
2011-06-20,99.0,99.0,99.0,0.25,23.292,22.6,21.717,21.0
2011-06-21,99.0,96.458,88.0,0.458,20.5,28.1,24.196,21.2
2011-06-22,99.0,90.042,76.0,1.75,34.208,30.5,26.071,20.7
2011-06-23,99.0,87.083,67.0,8.792,17.5,33.1,27.638,23.8
2011-06-24,99.0,88.667,69.0,24.917,1.792,32.1,28.15,24.7
2011-06-25,99.0,84.625,64.0,0.542,0.958,34.5,29.396,25.4
2011-06-26,99.0,96.417,86.0,2.458,1.0,29.4,26.908,25.5
2011-06-27,99.0,93.792,81.0,12.333,8.917,30.8,27.438,25.1
2011-06-28,99.0,85.042,66.0,0.875,20.25,33.5,29.167,25.4
2011-06-29,99.0,75.583,48.0,1.208,26.708,38.1,31.362,25.6
2011-06-30,99.0,79.458,51.0,1.583,33.75,37.4,30.608,26.2
2011-07-01,99.0,89.708,77.0,0.917,24.917,31.0,27.596,24.2
2011-07-02,99.0,84.125,54.0,0.625,19.958,33.9,28.479,23.8
2011-07-03,99.0,87.833,65.0,1.125,34.542,31.5,28.233,26.0
2011-07-04,99.0,87.75,67.0,0.174,31.375,33.4,28.171,23.1
2011-07-05,99.0,77.667,49.0,0.333,20.542,34.7,28.242,23.3
2011-07-06,99.0,86.542,56.0,1.208,27.917,30.9,25.938,22.4
2011-07-07,99.0,99.0,99.0,0.667,17.875,25.2,24.621,23.7
2011-07-08,99.0,96.5,87.0,0.542,21.542,30.5,27.129,24.7
2011-07-09,99.0,91.125,71.0,1.125,24.208,32.2,28.804,26.0
2011-07-10,99.0,94.375,79.0,0.5,16.917,31.5,28.008,26.5
2011-07-11,99.0,91.042,72.0,0.696,11.25,31.5,28.3,25.9
2011-07-12,99.0,93.417,77.0,0.417,13.292,31.1,27.617,25.6
2011-07-13,99.0,90.333,69.0,1.25,13.417,31.3,27.712,25.6
2011-07-14,99.0,87.292,66.0,1.125,12.958,32.1,27.542,23.9
2011-07-15,99.0,88.875,61.0,1.583,19.708,32.8,27.675,23.4
2011-07-16,99.0,86.833,63.0,2.542,18.792,32.9,28.3,25.6
2011-07-17,99.0,91.542,70.0,0.833,18.292,32.1,28.329,24.8
2011-07-18,99.0,97.292,91.0,0.0,26.875,30.5,28.546,27.6
2011-07-19,99.0,99.0,99.0,0.083,41.792,27.6,26.471,25.5
2011-07-20,99.0,99.0,99.0,0.833,25.458,26.9,25.533,24.9
2011-07-21,99.0,97.5,91.0,0.667,17.875,27.3,25.083,21.4
2011-07-22,99.0,91.792,77.0,1.458,23.875,25.2,22.854,20.8
2011-07-23,99.0,87.0,59.0,2.292,32.0,33.1,26.521,21.8
2011-07-24,99.0,95.542,85.0,2.542,38.583,29.2,25.971,22.7
2011-07-25,99.0,93.458,78.0,3.087,23.208,29.6,26.788,25.1
2011-07-26,99.0,96.917,90.0,0.708,20.0,28.2,26.383,25.2
2011-07-27,99.0,95.208,83.0,0.625,23.458,29.8,27.262,25.0
2011-07-28,99.0,86.917,67.0,0.875,19.25,33.3,28.817,25.5
2011-07-29,98.0,79.5,60.0,0.917,18.083,33.9,29.204,25.8
2011-07-30,99.0,83.0,55.0,0.833,23.667,35.4,28.992,25.5
2011-07-31,99.0,92.958,81.0,0.5,21.417,29.6,26.767,25.4
2011-08-01,95.0,83.792,73.0,0.174,26.292,28.7,26.658,25.2
2011-08-02,99.0,96.208,88.0,0.292,22.333,27.3,25.192,22.5
2011-08-03,99.0,91.583,77.0,3.458,28.083,30.5,27.083,24.2
2011-08-04,99.0,82.958,66.0,0.792,18.958,32.3,28.746,25.2
2011-08-05,99.0,94.5,86.0,0.875,13.083,30.4,27.529,25.0
2011-08-06,99.0,91.333,67.0,0.792,15.833,33.0,28.792,25.2
2011-08-07,99.0,87.833,57.0,2.042,23.875,34.5,29.738,26.8
2011-08-08,99.0,90.083,59.0,1.696,24.5,34.6,29.575,27.2
2011-08-09,99.0,88.0,62.0,2.125,27.917,34.9,30.262,27.4
2011-08-10,99.0,82.75,51.0,1.75,39.542,37.8,31.296,27.8
2011-08-11,93.0,71.125,53.0,0.792,23.792,37.3,32.033,28.6
2011-08-12,91.0,72.75,46.0,1.125,31.417,37.7,31.404,27.1
2011-08-13,99.0,79.083,47.0,0.958,23.042,37.0,30.988,26.6
2011-08-14,99.0,89.833,73.0,1.417,42.542,33.3,30.129,27.8
2011-08-15,99.0,88.75,65.0,1.13,31.667,34.5,29.738,27.2
2011-08-16,99.0,87.792,61.0,0.625,28.292,35.8,29.112,25.8
2011-08-17,99.0,88.0,63.0,0.75,37.667,34.0,29.588,25.1
2011-08-18,99.0,83.333,64.0,0.667,31.083,34.4,30.908,26.8
2011-08-19,99.0,88.167,66.0,0.208,18.292,32.4,28.717,26.3
2011-08-20,99.0,97.917,91.0,0.792,18.375,26.2,24.667,22.8
2011-08-21,99.0,99.0,99.0,0.125,24.042,25.4,24.525,23.1
2011-08-22,99.0,95.458,80.0,1.435,23.375,29.2,25.933,23.1
2011-08-23,99.0,94.083,78.0,3.5,35.875,31.6,27.771,25.5
2011-08-24,99.0,95.0,83.0,1.292,20.042,30.0,27.404,26.1
2011-08-25,99.0,98.833,96.0,1.042,10.875,26.8,25.929,25.3
2011-08-26,99.0,92.792,76.0,1.167,19.583,31.6,27.771,25.0
2011-08-27,99.0,96.792,85.0,0.833,22.625,29.1,26.492,25.0
2011-08-28,99.0,90.917,75.0,2.125,27.458,30.2,26.983,24.4
2011-08-29,99.0,88.083,68.0,1.261,30.333,31.9,27.1,23.1
2011-08-30,99.0,82.208,65.0,2.042,27.667,33.5,28.442,24.1
2011-08-31,91.0,83.333,70.0,1.083,20.417,31.8,28.817,27.1
2011-09-01,97.0,90.042,84.0,0.333,16.5,31.0,29.062,27.7
2011-09-02,99.0,94.292,86.0,0.167,37.958,29.2,27.708,26.5
2011-09-03,99.0,98.125,95.0,0.0,47.833,28.4,27.629,27.1
2011-09-04,99.0,99.0,99.0,1.667,35.167,27.0,25.542,24.0
2011-09-05,99.0,92.833,82.0,1.174,10.833,28.2,25.133,23.5
2011-09-06,96.0,67.417,40.0,1.167,10.667,30.7,25.062,19.1
2011-09-07,100.0,72.333,41.0,2.042,14.875,31.6,24.279,16.4
2011-09-08,100.0,89.958,74.0,2.208,27.0,28.8,24.433,18.6
2011-09-09,99.0,90.125,77.0,1.75,25.417,29.6,26.729,24.6
2011-09-10,99.0,93.125,78.0,2.125,26.875,31.0,27.817,25.1
2011-09-11,99.0,92.75,81.0,2.542,14.875,31.0,27.592,26.0
2011-09-12,99.0,90.167,74.0,1.739,16.042,30.9,27.629,25.0
2011-09-13,99.0,89.583,65.0,3.708,21.083,32.9,27.954,25.7
2011-09-14,99.0,89.833,68.0,2.083,19.875,31.7,27.479,24.6
2011-09-15,99.0,90.667,73.0,1.542,14.125,31.3,27.658,24.7
2011-09-16,99.0,94.583,81.0,1.792,17.208,30.5,27.396,25.6
2011-09-17,99.0,97.167,90.0,5.083,28.583,29.6,27.746,26.6
2011-09-18,99.0,93.625,76.0,1.125,15.5,30.5,27.325,24.4
2011-09-19,99.0,90.25,65.0,1.217,17.167,32.1,26.925,23.0
2011-09-20,99.0,99.0,99.0,1.792,23.625,27.1,26.167,24.3
2011-09-21,99.0,96.583,89.0,0.208,24.833,27.3,24.958,22.7
2011-09-22,97.0,76.958,56.0,0.625,6.25,27.2,23.162,20.2
2011-09-23,80.0,57.75,38.0,0.958,7.208,27.4,21.825,17.9
2011-09-24,97.0,66.458,37.0,1.875,14.958,27.0,21.021,14.6
2011-09-25,91.0,73.167,58.0,1.375,14.792,25.8,22.312,18.8
2011-09-26,100.0,92.292,69.0,1.261,27.417,21.4,19.708,18.0
2011-09-27,100.0,86.5,57.0,1.708,30.125,26.3,21.012,17.5
2011-09-28,100.0,81.667,51.0,3.417,24.0,27.5,21.8,16.6
2011-09-29,100.0,86.958,58.0,1.958,24.792,27.0,22.175,17.1
2011-09-30,99.0,91.542,78.0,1.542,30.792,25.9,23.271,21.5
2011-10-01,79.0,60.417,40.0,0.792,7.917,26.4,21.846,17.2
2011-10-02,87.0,63.625,48.0,0.875,6.708,23.9,18.871,14.9
2011-10-03,65.0,51.208,35.0,0.913,5.125,25.3,19.104,15.3
2011-10-04,82.0,65.75,44.0,1.458,8.917,22.4,18.562,12.3
2011-10-05,100.0,96.958,81.0,1.542,25.333,19.1,17.725,16.8
2011-10-06,100.0,76.75,55.0,0.917,10.292,26.5,20.979,16.2
2011-10-07,81.0,60.792,43.0,1.5,28.167,26.0,20.988,16.8
2011-10-08,99.0,72.333,39.0,1.458,27.0,25.4,18.05,11.7
2011-10-09,100.0,82.333,46.0,1.75,36.333,25.2,18.6,12.1
2011-10-10,100.0,85.375,55.0,1.391,38.417,26.8,20.142,14.9
2011-10-11,100.0,91.958,79.0,1.333,49.25,22.4,18.625,14.9
2011-10-12,99.0,79.792,46.0,2.25,55.125,27.0,19.704,14.0
2011-10-13,100.0,91.708,80.0,2.667,65.708,20.3,17.467,15.1
2011-10-14,99.0,97.375,90.0,1.25,56.833,22.9,19.817,14.7
2011-10-15,99.0,99.0,99.0,0.542,15.042,24.2,21.975,20.9
2011-10-16,99.0,74.5,50.0,1.458,18.0,27.1,22.429,18.5
2011-10-17,80.0,70.042,54.0,1.565,24.542,23.5,20.017,17.6
2011-10-18,93.0,66.167,33.0,0.708,11.5,26.6,19.638,14.2
2011-10-19,99.0,80.042,55.0,2.042,18.042,23.3,17.975,11.5
2011-10-20,99.0,82.0,61.0,3.542,38.292,23.7,19.679,16.4
2011-10-21,99.0,90.167,70.0,1.542,42.417,22.8,19.421,15.8
2011-10-22,99.0,99.0,99.0,1.542,14.5,23.5,21.571,19.2
2011-10-23,99.0,91.875,68.0,1.208,11.792,27.6,22.321,19.0
2011-10-24,99.0,85.542,58.0,1.522,7.75,26.8,21.05,16.1
2011-10-25,99.0,82.125,65.0,1.125,16.542,22.3,19.012,15.2
2011-10-26,70.0,56.542,38.0,0.583,4.042,21.5,15.992,11.8
2011-10-27,92.0,69.25,46.0,2.333,16.542,20.2,15.542,9.4
2011-10-28,100.0,74.542,39.0,3.208,26.042,22.9,16.592,11.5
2011-10-29,99.0,79.542,47.0,1.875,26.292,21.9,15.792,9.7
2011-10-30,100.0,94.375,70.0,1.625,40.042,20.3,16.129,14.1
2011-10-31,100.0,82.542,55.0,1.391,10.792,25.6,18.621,13.9
2011-11-01,100.0,85.25,62.0,1.375,12.708,22.8,17.267,12.5
2011-11-02,99.0,84.042,49.0,3.042,31.375,22.3,17.208,13.0
2011-11-03,99.0,94.5,79.0,2.167,38.708,20.8,16.721,13.9
2011-11-04,99.0,89.833,67.0,2.208,46.875,23.7,17.796,12.4
2011-11-05,99.0,95.542,79.0,1.583,69.25,21.8,18.746,15.1
2011-11-06,99.0,99.0,99.0,0.917,24.708,21.6,19.521,18.6
2011-11-07,99.0,74.083,52.0,0.304,2.792,23.8,19.504,15.7
2011-11-08,76.0,63.292,50.0,0.458,5.542,19.3,15.933,11.1
2011-11-09,89.0,65.833,43.0,1.167,5.833,19.0,14.417,9.4
2011-11-10,99.0,76.667,61.0,2.292,20.708,16.3,14.258,11.9
2011-11-11,99.0,99.0,99.0,1.083,20.583,16.0,14.675,13.1
2011-11-12,99.0,89.042,64.0,0.75,14.167,23.7,16.712,12.1
2011-11-13,100.0,80.625,50.0,1.333,15.542,24.7,17.1,11.3
2011-11-14,99.0,75.125,51.0,2.435,30.042,22.0,16.771,12.4
2011-11-15,86.0,65.708,51.0,1.0,9.208,18.8,14.842,11.5
2011-11-16,74.0,57.125,39.0,0.917,7.739,18.2,13.275,9.2
2011-11-17,85.0,58.833,27.0,2.333,9.458,20.2,13.879,8.3
2011-11-18,96.0,78.542,64.0,5.042,51.542,15.7,12.733,9.5
2011-11-19,100.0,99.125,99.0,0.458,32.75,21.1,17.196,13.2
2011-11-20,99.0,77.708,56.0,0.292,8.292,22.3,16.917,11.0
2011-11-21,78.0,69.333,55.0,0.043,2.5,13.7,10.621,8.6
2011-11-22,99.0,73.042,44.0,0.875,5.625,16.5,10.85,6.8
2011-11-23,99.0,91.417,63.0,1.792,30.125,14.2,9.746,5.1
2011-11-24,99.0,59.875,38.0,0.75,9.583,15.6,11.317,8.4
2011-11-25,74.0,63.625,48.0,0.292,3.042,15.0,10.183,7.3
2011-11-26,99.0,75.458,42.0,0.917,14.958,16.1,9.058,4.4
2011-11-27,99.0,86.542,51.0,1.083,31.542,16.2,8.667,3.1
2011-11-28,99.0,91.625,72.0,3.217,51.167,13.4,10.379,7.2
2011-11-29,99.0,94.4,74.0,2.333,52.833,16.9,11.935,8.8
2011-11-30,99.0,86.458,51.0,1.667,44.917,22.4,14.925,8.4
2011-12-01,99.0,80.25,61.0,1.542,6.917,14.9,12.717,9.6
2011-12-02,99.0,98.083,93.0,2.417,14.75,10.6,9.383,7.7
2011-12-03,99.0,95.292,77.0,1.458,15.458,15.7,13.133,9.8
2011-12-04,84.0,68.417,53.0,0.708,0.792,16.2,12.758,10.1
2011-12-05,80.0,67.0,51.0,0.783,3.167,16.0,11.808,7.9
2011-12-06,99.0,75.458,53.0,2.708,17.5,12.2,8.258,4.5
2011-12-07,99.0,81.667,55.0,1.625,14.708,17.5,10.996,4.5
2011-12-08,97.0,87.833,72.0,1.167,10.958,12.4,10.95,9.1
2011-12-09,94.0,61.167,37.0,0.941,6.389,12.3,8.421,4.4
2011-12-10,95.0,69.917,40.0,1.25,12.292,12.1,6.521,-0.6
2011-12-11,77.0,61.292,45.0,0.75,9.667,14.2,9.179,5.9
2011-12-12,94.0,71.708,50.0,0.957,15.5,14.9,9.604,4.1
2011-12-13,98.0,74.917,41.0,1.5,12.833,16.6,10.175,3.9
2011-12-14,99.0,82.5,49.0,2.25,17.708,16.0,8.096,3.1
2011-12-15,99.0,78.917,52.0,2.417,25.542,16.0,9.342,3.0
2011-12-16,84.0,61.958,49.0,1.042,7.25,10.6,7.358,4.3
2011-12-17,96.0,70.833,51.0,1.0,3.458,9.8,5.467,0.7
2011-12-18,75.0,61.875,45.0,0.667,6.792,11.8,7.596,4.6
2011-12-19,90.0,69.375,43.0,1.13,9.333,11.3,7.154,4.7
2011-12-20,90.0,70.625,51.0,1.0,6.917,11.1,6.938,3.7
2011-12-21,98.0,81.292,50.0,2.5,28.542,12.7,6.254,1.6
