date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-05-11,189.583,3.261,6.542,10.25,12.083,1.833,3.167,6.458,196.125
2011-05-12,190.042,4.208,16.583,19.958,23.042,3.083,3.708,12.083,206.625
2011-05-13,187.833,4.083,15.333,16.708,19.625,2.917,5.583,23.958,203.167
2011-05-14,188.625,3.958,10.583,11.375,11.917,0.542,6.125,49.083,199.208
2011-05-15,190.333,2.792,10.667,9.583,10.292,0.708,6.875,16.667,201.0
2011-05-16,187.083,2.25,4.417,4.417,4.458,0.042,6.174,24.304,191.5
2011-05-17,185.913,2.667,13.348,9.609,9.783,0.174,5.125,21.458,199.261
2011-05-18,193.167,3.652,10.917,11.917,13.5,1.583,5.75,32.75,204.083
2011-05-19,188.333,2.417,7.667,8.583,9.167,0.583,6.5,27.25,196.0
2011-05-20,184.792,2.0,5.083,5.25,5.417,0.167,5.458,28.292,189.875
2011-05-21,182.0,1.542,4.458,4.0,4.167,0.167,4.417,19.667,186.458
2011-05-22,181.958,1.417,4.25,4.167,4.792,0.625,3.708,11.25,186.208
2011-05-23,187.667,3.042,9.125,12.458,14.25,1.792,4.174,11.522,196.792
2011-05-24,190.522,4.875,11.522,18.304,21.739,3.435,3.083,14.458,202.043
2011-05-25,196.792,3.261,13.333,13.042,16.167,3.125,5.083,14.208,210.125
2011-05-26,194.458,2.625,6.917,8.875,11.375,2.5,2.542,14.25,201.375
2011-05-27,195.75,2.5,6.333,9.833,11.833,2.0,2.375,11.333,202.083
2011-05-28,189.917,3.417,12.208,15.625,18.75,3.125,2.125,12.208,202.125
2011-05-29,186.25,2.667,7.333,8.5,10.417,1.917,2.0,7.958,193.583
2011-05-30,183.333,3.0,9.583,7.958,9.125,1.167,3.208,4.917,192.917
2011-05-31,187.043,2.875,1.652,8.043,10.087,2.043,3.667,14.792,188.696
2011-06-01,190.292,2.304,1.708,8.375,10.542,2.167,3.542,27.542,192.0
2011-06-02,198.625,3.083,7.333,15.375,22.417,7.042,2.958,16.125,205.958
2011-06-03,193.125,4.958,20.167,22.792,26.667,3.875,6.75,28.917,213.292
2011-06-04,190.0,2.542,6.458,8.167,9.083,0.917,4.792,25.292,196.458
2011-06-05,183.5,2.167,1.667,6.583,6.667,0.083,5.083,25.792,185.167
2011-06-06,190.375,3.375,16.958,13.417,14.583,1.167,4.391,27.87,207.333
2011-06-07,191.348,2.708,11.217,7.739,8.435,0.696,4.625,29.375,202.565
2011-06-08,190.875,4.13,14.667,16.083,18.5,2.417,3.333,14.5,205.542
2011-06-09,192.333,3.208,10.542,10.25,11.917,1.667,3.333,15.958,202.875
2011-06-10,185.917,2.208,6.833,5.333,6.125,0.792,2.417,13.583,192.75
2011-06-11,188.25,3.042,11.25,11.083,12.917,1.833,2.625,24.0,199.5
2011-06-12,201.625,3.667,9.958,8.75,10.125,1.375,2.958,27.375,211.583
2011-06-13,196.5,4.292,13.0,14.792,16.958,2.167,3.522,19.783,209.5
2011-06-14,195.391,3.458,4.652,10.87,13.522,2.652,2.542,22.667,200.043
2011-06-15,197.125,2.826,5.292,9.208,11.5,2.292,2.875,8.25,202.417
2011-06-16,201.792,3.167,5.792,9.125,11.167,2.042,2.583,12.083,207.583
2011-06-17,186.708,3.75,5.167,11.833,14.542,2.708,2.458,9.833,191.875
2011-06-18,197.083,3.292,4.583,10.75,13.292,2.542,2.417,12.667,201.667
2011-06-19,192.542,3.25,6.208,8.083,9.583,1.5,2.833,14.167,198.75
2011-06-20,185.478,2.458,3.348,6.75,8.292,1.542,2.696,9.0,188.826
2011-06-21,177.174,1.833,4.043,8.348,9.826,1.478,3.125,8.042,181.217
2011-06-22,185.833,3.652,18.167,16.042,20.542,4.5,5.708,34.25,204.0
2011-06-23,176.625,1.417,3.542,6.417,8.0,1.583,2.917,26.333,180.167
2011-06-24,173.917,1.042,2.167,3.833,5.375,1.542,2.167,24.75,176.083
2011-06-25,182.833,2.417,4.375,7.042,9.333,2.292,2.875,18.833,187.208
2011-06-26,193.75,3.25,8.375,8.75,11.25,2.5,2.0,19.875,202.125
2011-06-27,187.75,2.083,5.875,6.958,10.417,3.458,1.75,27.292,193.625
2011-06-28,183.87,3.208,22.609,12.609,20.261,7.652,4.167,26.375,206.478
2011-06-29,197.875,3.174,14.792,11.833,14.375,2.542,3.625,37.542,212.667
2011-06-30,190.917,2.958,25.458,20.917,24.708,3.792,5.333,39.917,216.375
2011-07-01,189.167,3.25,17.917,18.5,22.042,3.542,4.917,53.417,207.083
2011-07-02,184.792,1.917,8.208,7.375,11.667,4.292,2.125,16.083,193.0
2011-07-03,181.292,2.833,20.5,9.125,11.083,1.958,4.375,33.958,201.792
2011-07-04,174.417,0.958,6.667,2.792,3.625,0.833,2.826,50.652,181.083
2011-07-05,179.739,1.667,8.13,7.174,7.739,0.565,4.542,22.5,187.87
2011-07-06,192.25,3.565,14.542,12.042,14.083,2.042,5.208,31.0,206.792
2011-07-07,175.833,1.083,3.917,4.583,5.25,0.667,3.375,16.583,179.75
2011-07-08,174.958,2.292,6.292,9.375,15.167,5.792,5.292,21.042,181.25
2011-07-09,176.0,1.625,16.958,8.292,12.167,3.875,4.125,20.458,192.958
2011-07-10,176.792,0.542,6.0,3.125,4.5,1.375,3.083,9.833,182.792
