date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,THC_mean
2011-03-12,194.0,3.25,9.333,20.75,39.167,18.417,0.0,3.375,9.208,203.333
2011-03-13,196.625,2.708,9.208,20.542,31.958,11.417,0.0,1.958,4.917,205.833
2011-03-14,194.364,3.217,11.182,21.87,37.261,15.391,0.0,3.783,12.261,205.545
2011-03-15,195.125,3.167,11.625,18.75,32.875,14.125,0.0,2.625,19.667,206.75
2011-03-16,194.5,3.417,11.208,19.708,33.667,13.958,0.0,3.083,15.542,205.708
2011-03-17,195.75,4.667,18.917,33.167,59.833,26.667,20.0,1.958,28.208,214.667
2011-03-18,195.25,4.792,18.25,24.208,33.333,9.125,3.0,2.417,40.25,213.5
2011-03-19,189.833,3.208,10.625,21.667,33.5,11.833,0.0,3.667,16.0,200.458
2011-03-20,191.0,3.5,12.833,22.125,30.333,8.208,0.0,6.125,19.625,203.833
2011-03-21,192.913,2.696,9.652,18.609,29.391,10.783,0.0,1.478,8.13,202.565
2011-03-22,200.25,5.25,22.5,40.792,67.167,26.375,0.0,5.667,29.208,222.75
2011-03-23,199.042,5.5,23.833,53.292,93.375,40.083,24.0,5.292,49.042,222.875
2011-03-24,193.417,4.333,12.792,23.542,34.333,10.792,10.0,1.583,16.792,206.208
2011-03-25,193.875,3.625,11.083,13.5,18.792,5.292,0.0,2.458,8.417,204.958
2011-03-26,194.792,2.875,9.458,18.292,29.583,11.292,0.0,1.208,8.917,204.25
2011-03-27,196.5,2.792,8.958,18.5,29.875,11.375,0.0,1.625,12.542,205.458
2011-03-28,195.826,4.182,18.522,25.043,37.348,12.304,0.0,4.682,23.591,214.348
2011-03-29,192.875,2.167,7.667,18.0,27.417,9.417,0.0,2.958,14.583,200.542
2011-03-30,188.667,1.333,6.458,10.458,13.042,2.583,0.0,1.333,19.208,195.125
2011-03-31,185.0,1.458,6.125,5.25,6.542,1.292,9.0,1.25,10.375,191.125
2011-04-01,191.708,3.75,12.292,17.208,25.917,8.708,0.0,3.167,15.708,204.0
2011-04-02,190.708,5.208,15.417,26.542,36.333,9.792,0.0,5.792,32.0,206.125
2011-04-03,190.458,3.042,9.083,7.333,9.333,2.0,0.0,1.042,12.458,199.542
2011-04-04,191.833,3.125,10.375,17.167,25.458,8.292,0.0,2.833,12.083,202.208
2011-04-05,193.13,3.375,11.174,18.458,27.75,9.292,0.0,2.875,10.917,204.304
2011-04-06,191.609,4.609,11.217,22.174,36.391,14.217,0.0,3.913,20.833,202.826
2011-04-07,185.542,2.542,5.958,11.958,14.542,2.583,0.0,2.167,13.875,191.5
2011-04-08,183.75,2.25,5.083,7.708,9.125,1.417,0.0,1.458,14.125,188.833
2011-04-09,183.042,2.375,5.917,6.0,7.333,1.333,2.0,0.75,15.583,188.958
2011-04-10,188.917,3.25,5.875,5.208,6.958,1.75,0.0,1.083,13.542,194.792
2011-04-11,189.318,3.87,9.545,14.087,18.826,4.739,0.0,2.174,21.087,198.864
2011-04-12,195.875,2.917,8.458,14.583,21.042,6.458,1.0,1.833,16.75,204.333
2011-04-13,194.217,3.348,10.13,18.522,28.913,10.391,0.0,2.913,19.167,204.348
2011-04-14,190.625,4.458,12.125,26.292,40.333,14.042,0.0,5.542,30.833,202.75
2011-04-15,183.625,2.167,6.0,9.958,12.167,2.208,0.0,2.875,27.125,189.625
2011-04-16,184.125,3.125,7.792,9.667,12.5,2.833,1.0,2.25,19.708,191.917
2011-04-17,188.917,2.708,8.542,8.375,10.75,2.375,0.0,2.875,14.917,197.458
2011-04-18,190.125,2.292,6.625,9.833,17.167,7.333,0.0,0.792,12.625,196.75
2011-04-19,189.208,2.917,9.5,18.458,30.167,11.708,22.0,1.542,11.583,198.708
2011-04-20,193.522,1.739,8.522,12.478,20.0,7.522,0.0,2.696,4.125,202.043
2011-04-21,194.125,1.125,6.25,8.667,15.0,6.333,0.0,1.0,8.458,200.375
2011-04-22,191.833,2.292,9.167,16.5,26.625,10.125,0.0,2.5,20.667,201.0
2011-04-23,184.625,0.75,5.042,1.75,2.458,0.708,21.0,0.958,11.167,189.667
2011-04-24,187.792,1.875,7.917,9.458,12.125,2.667,1.0,2.458,10.75,195.708
2011-04-25,192.333,3.167,11.542,19.917,30.125,10.208,0.0,3.125,18.583,203.875
2011-04-26,192.958,2.292,11.583,15.75,22.583,6.833,0.0,2.958,19.125,204.542
2011-04-27,185.826,2.826,7.087,3.652,5.217,1.565,1.0,1.227,36.826,192.913
2011-04-28,185.292,3.375,8.5,10.375,13.417,3.042,4.0,1.708,21.25,193.792
2011-04-29,191.792,3.167,9.125,9.542,12.875,3.333,0.0,1.5,12.958,200.917
2011-04-30,194.042,3.333,10.333,10.5,14.958,4.458,0.0,1.375,19.583,204.375
