date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-06-12,3.917,5.333,6.833,1.5,,37.0
2011-06-13,3.792,12.391,15.739,3.348,,33.0
2011-06-14,3.083,7.458,11.083,3.625,,32.625
2011-06-15,3.217,4.625,5.708,1.083,,24.208
2011-06-16,3.042,5.583,9.292,3.708,,25.917
2011-06-17,4.25,13.042,17.042,4.0,,24.0
2011-06-18,3.292,7.042,8.875,1.833,,24.875
2011-06-19,3.208,6.125,8.0,1.875,,29.75
2011-06-20,2.083,3.87,4.652,0.783,,19.875
2011-06-21,1.625,4.667,5.75,1.083,,17.917
2011-06-22,2.739,8.417,11.083,2.667,,33.583
2011-06-23,1.667,5.583,7.833,2.25,,29.917
2011-06-24,1.167,4.0,5.792,1.792,,30.0
2011-06-25,2.125,4.292,5.25,0.958,,25.583
2011-06-26,3.958,8.542,11.167,2.625,,40.25
2011-06-27,2.042,4.87,10.391,5.522,,37.125
2011-06-28,1.583,4.091,8.364,4.273,,32.708
2011-06-29,2.957,5.429,6.929,1.5,,36.292
2011-06-30,3.167,10.5,13.583,3.083,,38.125
2011-07-01,3.417,10.042,13.083,3.042,,58.0
2011-07-02,2.333,3.125,5.792,2.667,,23.542
2011-07-03,3.042,4.417,6.583,2.167,,40.125
2011-07-04,1.625,0.958,2.208,1.25,,52.667
2011-07-05,2.375,3.333,4.625,1.292,,33.783
2011-07-06,3.478,7.13,9.435,2.304,,41.417
2011-07-07,2.0,3.792,4.5,0.708,,24.75
2011-07-08,1.958,5.083,7.167,2.083,,27.625
2011-07-09,2.0,3.917,6.042,2.125,,25.292
2011-07-10,1.792,2.042,3.083,1.042,,20.083
2011-07-11,1.625,2.958,5.0,2.042,,23.875
2011-07-12,1.458,1.833,3.042,1.208,,21.792
2011-07-13,1.957,2.696,4.435,1.739,,21.417
2011-07-14,2.0,2.458,3.917,1.458,,20.208
2011-07-15,2.083,3.417,5.083,1.667,,21.833
2011-07-16,2.25,2.833,4.083,1.25,,29.167
2011-07-17,1.958,1.292,2.292,1.0,,25.5
2011-07-18,1.792,1.458,2.417,0.958,,33.833
2011-07-19,1.542,1.208,2.5,1.292,,33.417
2011-07-20,2.0,1.304,2.304,1.0,,32.333
2011-07-21,3.375,7.0,10.583,3.583,,26.583
2011-07-22,4.208,10.417,14.792,4.375,,26.958
2011-07-23,4.333,13.125,17.958,4.833,,26.042
2011-07-24,3.0,5.042,7.042,2.0,,28.542
2011-07-25,2.0,2.542,3.167,0.625,,33.5
2011-07-26,2.0,3.958,4.875,0.917,,28.375
2011-07-27,2.087,6.522,7.913,1.391,,24.125
2011-07-28,4.333,16.708,25.083,8.375,,60.25
2011-07-29,4.667,12.0,14.0,2.0,,58.25
2011-07-30,3.708,8.542,10.917,2.375,,43.875
2011-07-31,3.667,7.208,9.125,1.917,,38.458
2011-08-01,3.083,5.958,8.042,2.083,,35.875
2011-08-02,2.833,4.625,6.25,1.625,,32.917
2011-08-03,3.261,7.087,11.87,4.783,,30.417
2011-08-04,2.125,4.208,10.75,6.542,,29.0
2011-08-05,1.833,2.417,4.208,1.792,,22.417
2011-08-06,1.958,2.542,3.958,1.417,,23.542
2011-08-07,3.429,9.217,13.043,3.826,,39.739
2011-08-08,,9.167,12.542,3.375,,43.208
2011-08-09,,7.417,9.792,2.375,,30.458
2011-08-10,1.846,4.522,5.304,0.783,,41.917
2011-08-11,1.792,5.292,6.417,1.125,,56.833
2011-08-12,2.833,9.125,10.542,1.417,,66.458
2011-08-13,3.167,5.625,6.792,1.167,,76.917
2011-08-14,2.0,2.333,2.958,0.625,,64.458
2011-08-15,1.125,1.75,2.583,0.833,,41.625
2011-08-16,3.208,5.292,6.667,1.375,,51.458
2011-08-17,3.381,7.81,9.095,1.286,,59.783
2011-08-18,2.087,4.304,5.652,1.348,,55.917
2011-08-19,3.375,9.667,11.917,2.25,,39.917
2011-08-20,3.917,9.583,12.208,2.625,,29.5
2011-08-21,3.833,8.292,10.292,2.0,,27.083
2011-08-22,3.708,12.5,18.208,5.708,,34.667
2011-08-23,2.25,3.042,4.875,1.833,,41.167
2011-08-24,1.833,1.583,3.667,2.083,,29.208
2011-08-25,2.043,2.348,4.304,1.957,,28.667
2011-08-26,3.542,9.042,15.958,6.917,,29.583
2011-08-27,3.792,10.125,12.917,2.792,,35.292
2011-08-28,3.083,5.125,6.292,1.167,,33.375
2011-08-29,3.833,11.125,15.167,4.042,,38.958
2011-08-30,4.083,11.875,16.292,4.417,,30.522
2011-08-31,3.333,11.333,21.958,10.625,,35.292
2011-09-01,1.783,1.522,3.391,1.87,,31.625
2011-09-02,1.917,1.375,3.542,2.167,,37.042
2011-09-03,1.5,0.042,0.958,0.917,,39.208
2011-09-04,1.5,0.25,1.208,0.958,,30.167
2011-09-05,2.0,2.375,3.708,1.333,,28.917
2011-09-06,2.75,11.417,14.917,3.5,,25.542
2011-09-07,3.958,14.125,18.375,4.25,,38.208
2011-09-08,2.87,5.217,6.652,1.435,,35.708
2011-09-09,2.583,3.708,6.25,2.542,,31.667
2011-09-10,2.292,2.875,4.625,1.75,,34.375
2011-09-11,2.417,2.75,5.542,2.792,,28.333
2011-09-12,2.333,3.125,10.708,7.583,,26.333
2011-09-13,2.0,2.708,4.625,1.917,,33.958
2011-09-14,2.958,4.208,7.5,3.292,,32.458
2011-09-15,2.217,3.261,5.957,2.696,,25.292
2011-09-16,2.0,2.042,3.792,1.75,,27.208
2011-09-17,2.0,1.458,2.75,1.292,,27.208
2011-09-18,2.083,1.792,2.875,1.083,,27.708
2011-09-19,3.25,5.667,9.042,3.375,,37.375
2011-09-20,4.25,14.708,24.667,9.958,,40.5
2011-09-21,2.625,5.75,9.125,3.375,,33.583
2011-09-22,2.696,9.957,12.826,2.87,,24.125
2011-09-23,3.625,11.875,15.667,3.792,,29.333
2011-09-24,3.208,7.292,10.708,3.417,,26.083
2011-09-25,2.917,6.0,6.833,0.833,,22.583
2011-09-26,4.792,20.042,28.833,8.792,,31.0
2011-09-27,4.136,18.682,28.591,9.909,,31.208
2011-09-28,3.917,15.917,21.208,5.292,,29.667
2011-09-29,3.435,12.478,16.652,4.174,,31.833
2011-09-30,2.5,6.958,7.25,0.292,,43.583
2011-10-01,3.583,10.542,12.083,1.542,,35.75
2011-10-02,3.625,7.875,8.667,0.792,,25.167
2011-10-03,3.542,15.25,19.25,4.0,,28.292
2011-10-04,3.667,13.417,17.375,3.958,,25.083
