date,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean
2011-06-24,1.391,1.826,0.435,0.0,0.0,19.75
2011-06-25,1.833,2.208,0.375,0.0,0.25,16.333
2011-06-26,2.208,2.542,0.333,0.0,0.0,25.917
2011-06-27,1.792,2.542,0.75,0.0,0.0,24.958
2011-06-28,1.792,2.25,0.458,0.0,0.167,20.792
2011-06-29,2.565,3.174,0.609,0.0,0.565,22.826
2011-06-30,4.375,5.583,1.208,1.0,0.917,23.25
2011-07-01,5.435,6.435,1.0,0.0,2.375,42.208
2011-07-02,1.417,2.083,0.667,0.0,0.167,13.75
2011-07-03,3.625,4.708,1.083,0.0,1.5,29.042
2011-07-04,0.667,0.875,0.208,0.0,0.391,41.917
2011-07-05,1.75,1.792,0.042,0.0,0.292,28.333
2011-07-06,2.083,2.292,0.208,0.0,0.625,32.565
2011-07-07,1.458,1.875,0.417,2.0,0.0,12.292
2011-07-08,1.696,2.304,0.609,0.0,0.0,12.958
2011-07-09,1.667,2.333,0.667,0.0,0.0,11.5
2011-07-10,1.083,1.5,0.417,0.0,0.167,8.667
2011-07-11,1.083,2.25,1.167,0.0,1.609,10.783
2011-07-12,1.042,1.833,0.792,0.0,1.958,9.792
2011-07-13,1.208,1.958,0.75,0.0,3.667,12.667
2011-07-14,1.208,1.958,0.75,0.0,0.0,9.958
2011-07-15,1.478,2.174,0.696,0.0,0.042,10.833
2011-07-16,1.292,2.167,0.875,0.0,2.292,17.708
2011-07-17,1.0,1.375,0.375,0.0,3.875,18.208
2011-07-18,0.875,1.417,0.542,0.0,0.435,27.667
2011-07-19,0.958,1.667,0.708,16.0,0.0,29.25
2011-07-20,1.208,1.542,0.333,15.0,0.042,28.167
2011-07-21,1.542,1.583,0.042,8.0,0.0,13.25
2011-07-22,2.522,3.13,0.609,0.0,0.542,14.042
2011-07-23,1.875,2.375,0.5,0.0,0.0,7.458
2011-07-24,2.042,3.25,1.208,0.0,0.208,15.208
2011-07-25,1.583,2.208,0.625,0.0,2.217,24.292
2011-07-26,1.792,2.167,0.375,0.0,0.0,18.167
2011-07-27,2.333,3.0,0.667,0.0,0.042,14.333
2011-07-28,9.208,12.333,3.125,7.0,1.5,51.333
2011-07-29,4.783,5.826,1.043,2.0,1.708,38.417
2011-07-30,2.417,2.625,0.208,23.0,0.167,27.542
2011-07-31,1.917,2.167,0.25,8.0,0.292,26.667
2011-08-01,1.583,1.958,0.375,0.0,0.0,26.25
2011-08-02,1.0,1.333,0.333,0.0,0.0,22.833
2011-08-03,1.333,2.125,0.792,0.0,0.0,17.833
2011-08-04,0.833,1.958,1.125,11.0,0.0,24.25
2011-08-05,1.435,2.13,0.696,2.0,0.0,12.208
2011-08-06,1.292,1.625,0.333,0.0,0.0,14.0
2011-08-07,4.417,6.208,1.792,0.0,1.083,31.667
2011-08-08,3.208,4.083,0.875,7.0,0.565,36.917
2011-08-09,2.25,3.083,0.833,0.0,0.375,24.375
2011-08-10,2.25,2.458,0.208,0.0,0.667,29.043
2011-08-11,2.958,3.208,0.25,0.0,0.958,44.217
2011-08-12,3.913,4.391,0.478,0.0,1.25,47.5
2011-08-13,2.042,2.542,0.5,0.0,2.042,56.583
2011-08-14,1.125,1.875,0.75,0.0,0.625,42.0
2011-08-15,1.208,1.417,0.208,0.0,0.348,29.125
2011-08-16,3.25,3.833,0.583,0.0,1.333,37.333
2011-08-17,3.0,3.75,0.75,0.0,1.083,46.917
