date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2012-02-07,5.75,9.583,3.833,2.375
2012-02-08,1.375,1.708,0.333,2.583
2012-02-09,1.375,1.625,0.25,1.833
2012-02-10,6.5,8.542,2.042,2.833
2012-02-11,7.375,10.583,3.208,3.167
2012-02-12,23.792,88.25,64.458,1.958
2012-02-13,2.957,3.739,0.783,3.083
2012-02-14,9.167,33.917,24.75,2.0
2012-02-15,6.625,8.875,2.25,1.542
2012-02-16,4.458,12.5,8.042,1.542
2012-02-17,7.25,30.083,22.833,1.708
2012-02-18,5.417,10.625,5.208,1.042
2012-02-19,1.875,1.875,0.0,1.0
2012-02-20,11.478,23.348,11.87,1.913
2012-02-21,13.583,26.583,13.0,3.667
2012-02-22,9.083,11.917,2.833,3.083
2012-02-23,13.458,19.792,6.333,3.333
2012-02-24,2.458,3.583,1.125,3.625
2012-02-25,5.458,11.542,6.083,2.875
2012-02-26,14.25,40.667,26.417,1.542
2012-02-27,6.739,20.957,14.217,1.708
2012-02-28,9.833,36.5,26.667,2.5
2012-03-01,17.0,70.458,53.458,1.208
2012-03-02,3.542,5.542,2.0,2.292
2012-03-03,2.0,2.75,0.75,1.958
2012-03-04,12.125,40.292,28.167,3.625
2012-03-05,18.0,53.792,35.792,4.625
2012-03-06,19.609,127.783,108.174,4.957
2012-03-07,20.417,131.667,111.25,3.667
2012-03-08,22.909,155.091,132.182,5.5
2012-03-09,25.5,104.625,79.125,6.5
2012-03-10,19.583,92.042,72.458,3.292
2012-03-11,2.583,5.292,2.708,2.5
2012-03-12,13.5,107.625,94.125,2.792
2012-03-13,8.375,21.125,12.75,1.792
2012-03-14,1.125,1.625,0.5,2.292
2012-03-15,7.625,27.333,19.708,2.042
2012-03-16,17.292,90.542,73.25,3.875
2012-03-17,17.167,72.417,55.25,4.0
2012-03-18,9.833,19.708,9.875,1.417
2012-03-19,14.522,48.174,33.652,3.087
2012-03-20,11.583,30.708,19.125,1.583
2012-03-21,5.583,9.875,4.292,2.167
2012-03-22,12.708,54.417,41.708,2.208
2012-03-23,12.625,42.917,30.292,2.708
2012-03-24,7.5,10.083,2.583,2.625
2012-03-25,10.125,16.542,6.417,3.583
2012-03-26,2.375,3.125,0.75,2.542
2012-03-27,2.087,2.609,0.522,2.042
2012-03-28,9.208,31.125,21.917,2.458
2012-03-29,4.583,25.042,20.458,2.75
2012-03-30,1.542,2.208,0.667,2.75
2012-03-31,6.583,10.375,3.792,3.333
2012-04-01,18.375,115.333,96.958,4.208
2012-04-02,12.833,51.125,38.292,3.292
