date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2015-04-02,190.375,14.75,5.167,6.083,0.917,27.042,3.958,205.125
2015-04-03,179.905,12.524,2.0,2.714,0.714,15.571,2.048,192.429
2015-04-04,188.083,15.333,5.208,6.125,0.917,16.75,0.042,203.417
2015-04-05,179.167,13.167,2.0,2.542,0.542,9.375,0.0,192.333
2015-04-06,182.083,13.417,3.583,4.75,1.167,8.917,0.0,195.5
2015-04-07,191.739,5.174,4.25,4.917,0.667,8.917,0.0,196.913
2015-04-08,194.238,2.381,4.3,4.85,0.55,12.524,2.05,196.619
2015-04-09,194.25,4.667,6.417,7.875,1.458,16.375,1.0,198.917
2015-04-10,193.792,8.833,9.5,10.833,1.333,4.333,0.167,202.625
2015-04-11,193.625,4.083,4.125,5.0,0.875,7.833,1.208,197.708
2015-04-12,196.167,4.75,4.708,5.958,1.25,9.708,0.042,200.917
2015-04-13,189.417,4.917,5.5,6.75,1.25,7.0,0.0,194.333
2015-04-14,192.5,2.05,2.143,2.429,0.286,11.0,0.143,194.55
2015-04-15,196.417,1.792,3.652,4.304,0.652,20.125,1.435,198.208
2015-04-16,194.0,3.542,4.583,5.958,1.375,23.0,0.833,197.542
2015-04-17,193.25,2.958,5.042,6.375,1.333,23.458,0.875,196.208
2015-04-18,195.292,6.042,6.5,8.0,1.5,18.25,0.875,201.333
2015-04-19,193.167,8.583,4.125,5.292,1.167,26.042,2.083,201.75
2015-04-20,186.625,6.917,3.75,5.125,1.375,10.917,0.167,193.542
2015-04-21,191.5,7.55,4.762,5.952,1.19,11.952,0.286,199.05
2015-04-22,194.542,7.125,5.652,6.957,1.304,20.5,0.957,201.667
2015-04-23,199.0,7.292,7.333,8.5,1.167,31.667,1.458,206.292
2015-04-24,196.917,5.375,6.125,7.0,0.875,28.208,1.583,202.292
2015-04-25,199.083,7.208,7.292,8.375,1.083,28.917,1.208,206.292
2015-04-26,195.708,5.208,4.375,5.25,0.875,22.333,1.042,200.917
2015-04-27,194.714,5.571,5.381,6.667,1.286,26.095,3.714,200.286
2015-04-28,195.0,9.826,8.0,9.333,1.333,32.542,1.875,204.826
2015-04-29,192.125,8.25,5.0,7.13,2.13,10.25,0.522,200.375
2015-04-30,186.292,6.75,3.25,4.167,0.917,5.083,0.25,193.042
2015-05-01,191.75,8.792,5.625,9.083,3.458,7.875,0.375,200.542
2015-05-02,186.333,8.0,3.833,5.875,2.042,15.583,1.125,194.333
2015-05-03,188.083,9.25,3.292,3.917,0.625,13.917,0.125,197.333
2015-05-04,188.375,7.625,2.083,2.667,0.583,15.542,0.125,196.0
2015-05-05,195.435,7.565,3.792,4.958,1.167,23.125,0.542,203.0
2015-05-06,193.583,7.0,3.565,4.304,0.739,24.583,2.739,200.583
2015-05-07,195.238,8.857,4.619,5.095,0.476,20.19,0.143,204.095
2015-05-08,193.208,8.0,4.75,7.625,2.875,15.25,0.583,201.208
2015-05-09,191.833,8.167,4.458,5.167,0.708,17.958,2.542,200.0
2015-05-10,191.208,6.917,2.792,3.875,1.083,20.208,1.458,198.125
2015-05-11,194.958,9.792,5.25,6.917,1.667,26.667,0.583,204.75
2015-05-12,192.0,7.2,2.476,3.143,0.667,10.048,0.286,199.2
2015-05-13,197.083,5.708,2.652,2.87,0.217,24.708,1.13,202.792
2015-05-14,193.375,6.583,3.083,3.583,0.5,17.458,1.542,199.958
2015-05-15,190.125,10.167,3.25,3.417,0.167,12.667,0.333,200.292
2015-05-16,193.167,11.375,4.375,4.667,0.292,17.875,0.458,204.542
2015-05-17,199.417,9.667,4.458,5.417,0.958,27.208,2.125,209.083
2015-05-18,192.667,9.708,4.208,5.208,1.0,17.25,0.208,202.375
2015-05-19,189.55,8.45,3.762,4.81,1.048,8.19,0.571,198.0
