date,CH4_mean,CO2_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-16,194.917,4127.917,59.0,42.292,28.0,16.458,22.0,28.435,6.435,0.833,12.458,4.3,1.633,-1.0,211.375
2011-01-17,193.042,4107.083,57.0,42.667,28.0,15.292,21.458,30.375,8.917,1.083,10.125,6.5,2.25,-0.4,208.333
2011-01-18,194.208,4158.333,59.0,46.417,28.0,19.375,28.292,39.833,11.542,1.875,16.0,7.6,2.117,-2.5,213.583
2011-01-19,196.905,4114.348,61.0,51.458,33.0,19.619,28.4,50.7,22.3,2.292,16.625,9.3,3.988,-0.8,216.524
2011-01-20,187.75,4037.917,96.0,86.708,56.0,10.833,13.4,14.9,1.5,0.435,10.667,3.1,1.562,0.9,198.583
2011-01-21,187.625,4145.0,100.0,93.833,79.0,11.375,10.125,11.292,1.167,0.042,6.583,1.9,1.192,0.4,199.0
2011-01-22,187.125,4209.583,99.0,86.792,78.0,14.125,10.917,15.208,4.292,1.208,4.083,5.6,3.392,1.4,201.25
2011-01-23,193.917,4241.25,100.0,78.125,47.0,18.333,16.435,23.304,6.87,0.375,7.417,6.5,2.667,0.4,212.25
2011-01-24,189.583,4121.25,97.0,49.5,33.0,15.792,16.708,20.208,3.5,0.458,8.542,4.3,1.329,-1.7,205.375
2011-01-25,191.958,4165.0,75.0,52.708,15.0,20.833,22.667,35.792,13.125,1.333,9.25,7.0,1.271,-2.7,212.792
2011-01-26,192.636,4138.696,66.0,42.25,21.0,10.818,15.167,17.25,2.083,0.667,6.583,3.9,-0.204,-3.6,203.455
2011-01-27,195.75,4277.917,67.0,50.5,27.0,13.875,22.708,31.833,9.125,1.783,10.958,4.9,-0.675,-5.8,209.625
2011-01-28,193.375,4218.333,63.0,42.958,24.0,8.792,13.583,15.75,2.167,1.583,10.708,3.0,-0.45,-3.1,202.167
2011-01-29,195.958,4329.167,61.0,39.833,18.0,11.625,16.917,20.75,3.833,2.583,7.542,4.5,-0.592,-4.9,207.583
2011-01-30,196.125,4303.333,67.0,43.125,25.0,13.042,21.0,27.304,6.304,1.25,7.417,3.3,-0.662,-5.0,209.167
2011-01-31,196.958,4245.417,63.0,42.292,17.0,10.875,20.375,26.042,5.667,2.0,7.875,7.0,0.142,-5.3,207.833
2011-02-01,191.792,4174.583,65.0,42.792,26.0,10.667,19.25,24.833,5.583,1.917,8.583,7.6,0.858,-4.9,202.458
2011-02-02,193.391,4093.913,49.0,28.375,12.0,14.304,10.375,12.0,1.625,1.0,5.125,3.4,0.192,-2.0,207.696
2011-02-03,198.917,4387.083,66.0,42.25,21.0,24.625,25.125,40.042,14.917,2.913,9.292,5.1,-0.271,-5.6,223.542
2011-02-04,198.583,4342.083,63.0,38.667,17.0,23.375,21.708,33.333,11.625,2.292,10.917,9.3,2.079,-5.0,221.958
2011-02-05,200.625,4330.417,67.0,50.792,27.0,21.75,17.208,21.292,4.083,2.125,12.708,7.7,2.85,-2.2,222.375
2011-02-06,195.6,4253.5,98.0,73.833,53.0,17.05,19.316,22.263,2.947,1.381,22.652,6.7,3.271,-0.8,212.65
2011-02-07,192.458,4221.667,100.0,96.375,88.0,14.792,23.208,35.708,12.5,0.208,13.583,9.1,6.179,3.7,207.25
2011-02-08,190.542,4116.25,100.0,44.875,16.0,8.25,12.542,18.917,6.375,0.792,6.292,8.1,4.233,-1.1,198.792
2011-02-09,193.636,4102.174,68.0,50.792,31.0,12.455,14.609,18.0,3.391,0.292,5.667,4.7,0.112,-3.1,206.091
2011-02-10,194.208,4149.583,69.0,50.333,24.0,15.333,20.208,27.5,7.292,1.0,9.25,7.0,1.492,-3.1,209.542
2011-02-11,193.708,4122.917,71.0,42.708,24.0,13.083,13.609,15.87,2.261,0.708,8.167,6.3,1.725,-1.7,206.792
2011-02-12,194.0,4066.667,62.0,39.25,19.0,12.375,11.208,13.417,2.208,1.083,8.75,6.0,1.0,-3.6,206.375
2011-02-13,197.958,4257.5,58.0,44.417,28.0,18.083,22.174,29.478,7.304,2.042,13.583,6.2,2.492,-2.2,216.042
2011-02-14,193.583,4216.667,95.0,68.542,53.0,18.5,22.958,28.75,5.792,1.708,23.708,6.2,3.929,1.8,212.083
2011-02-15,195.125,4170.417,97.0,68.208,39.0,22.25,21.783,30.826,9.043,1.875,25.833,9.9,4.742,0.8,217.375
2011-02-16,194.652,4190.87,69.0,49.375,31.0,18.957,23.5,29.917,6.417,1.0,15.292,4.1,1.354,0.2,213.609
2011-02-17,192.208,4185.0,92.0,62.208,28.0,16.333,17.217,22.087,4.87,0.652,14.625,5.4,1.238,-1.2,208.542
2011-02-18,192.167,4210.833,73.0,41.333,21.0,13.417,10.708,12.75,2.042,1.208,6.75,2.5,-0.342,-3.3,205.583
2011-02-19,197.083,4325.833,61.0,39.25,19.0,13.458,13.304,16.217,2.913,1.292,7.333,5.5,0.008,-5.7,210.542
2011-02-20,198.417,4326.667,57.0,38.625,22.0,16.333,18.875,24.042,5.167,1.375,8.667,8.1,2.796,-3.2,214.75
2011-02-21,197.458,4322.5,59.0,41.375,22.0,17.667,20.217,26.522,6.304,2.208,12.833,11.4,5.017,-1.5,215.125
2011-02-22,195.625,4217.0,62.0,48.167,30.0,13.375,14.667,17.042,2.375,2.042,22.833,9.9,5.071,0.9,209.0
2011-02-23,193.478,4186.087,100.0,91.792,42.0,22.826,23.348,31.261,7.913,0.583,22.833,8.8,5.625,3.0,216.304
2011-02-24,192.917,4182.083,82.0,50.75,27.0,18.292,19.417,22.875,3.458,1.739,18.208,12.2,7.229,2.8,211.208
2011-02-25,191.167,4205.0,100.0,91.042,62.0,15.458,14.458,16.5,2.042,0.25,11.292,4.1,2.108,0.4,206.625
2011-02-26,192.458,4260.833,85.0,61.25,36.0,17.292,14.917,17.625,2.708,0.5,8.458,5.6,3.133,0.8,209.75
2011-02-27,194.292,4228.75,68.0,42.25,21.0,13.917,14.208,17.458,3.25,0.625,10.417,6.2,1.638,-2.0,208.208
2011-02-28,196.542,4288.333,62.0,46.667,26.0,16.667,20.167,27.333,7.167,1.25,9.917,5.3,0.692,-4.3,213.208
2011-03-01,193.826,4245.652,99.0,80.917,60.0,17.957,22.304,29.783,7.478,0.625,8.292,11.5,6.196,0.8,211.783
2011-03-02,190.875,4188.75,99.0,94.458,88.0,14.083,17.75,20.792,3.042,0.0,14.708,4.8,3.258,1.1,204.958
2011-03-03,190.75,4156.667,98.0,62.375,38.0,11.583,9.875,11.167,1.292,0.5,10.833,9.5,4.262,0.9,202.333
2011-03-04,191.625,4131.667,100.0,60.208,41.0,11.167,8.125,9.542,1.417,0.083,12.583,7.2,2.8,0.2,202.792
2011-03-05,189.458,4000.0,100.0,99.083,94.0,12.25,13.958,16.458,2.5,0.042,5.875,8.3,4.117,0.3,201.708
2011-03-06,189.286,4097.0,100.0,91.958,68.0,18.619,18.727,21.909,3.182,0.045,18.696,15.4,9.829,5.5,207.905
2011-03-07,193.375,3997.083,100.0,64.917,33.0,18.5,12.75,14.5,1.75,0.417,18.5,14.2,10.558,7.0,211.875
2011-03-08,194.5,4136.522,63.0,54.708,44.0,13.5,16.261,17.826,1.565,0.75,20.875,10.7,8.175,6.0,208.0
2011-03-09,191.333,4132.917,98.0,91.875,63.0,9.542,11.583,12.333,0.75,0.043,12.167,6.9,4.367,2.1,200.875
2011-03-10,190.125,4133.75,99.0,82.833,65.0,6.458,6.75,7.0,0.25,0.042,3.417,6.1,3.254,1.3,196.583
2011-03-11,190.0,4112.5,99.0,80.542,56.0,8.625,8.75,9.542,0.792,0.083,6.583,7.5,3.638,1.8,198.625
2011-03-12,189.917,4040.417,96.0,56.25,25.0,9.542,12.25,13.458,1.208,0.833,6.125,9.1,3.704,-0.2,199.458
2011-03-13,192.208,4112.5,69.0,39.542,18.0,9.292,10.917,12.125,1.208,0.833,3.958,8.5,3.975,0.2,201.5
2011-03-14,193.292,4152.5,64.0,44.5,22.0,23.083,14.0,15.292,1.292,0.458,11.333,9.5,4.412,-0.3,216.375
2011-03-15,192.955,4157.391,85.0,47.375,16.0,13.0,14.478,18.087,3.609,1.833,12.208,9.5,4.304,-0.1,205.955
2011-03-16,194.417,4248.75,56.0,40.75,24.0,17.958,20.583,23.625,3.042,1.348,16.625,9.3,4.554,0.0,212.375
2011-03-17,193.375,4293.75,100.0,87.792,56.0,19.5,22.917,27.0,4.083,0.417,25.5,7.2,5.121,3.3,212.875
2011-03-18,196.167,4352.083,100.0,98.875,93.0,26.625,22.417,31.583,9.167,0.167,22.417,9.7,7.508,4.4,222.792
2011-03-19,188.042,3830.833,100.0,44.708,22.0,14.042,9.0,9.458,0.458,0.125,7.875,9.3,6.121,2.4,202.083
2011-03-20,190.708,4061.25,58.0,37.375,17.0,15.917,12.667,13.958,1.292,0.458,11.917,11.6,5.808,-0.3,206.625
2011-03-21,191.25,4122.917,49.0,33.417,18.0,15.583,13.792,15.5,1.708,1.125,7.083,10.7,5.271,0.8,206.833
2011-03-22,197.913,4297.391,60.0,40.292,23.0,22.13,30.217,41.739,11.522,2.958,21.25,11.7,6.042,-1.2,220.043
2011-03-23,197.833,4242.5,100.0,74.0,39.0,21.708,26.375,33.375,7.0,2.174,33.708,10.7,6.912,4.7,219.542
2011-03-24,187.708,4088.75,96.0,67.0,24.0,13.167,13.375,15.083,1.708,1.0,6.125,13.5,6.425,3.0,200.875
2011-03-25,190.25,4088.261,75.0,41.208,14.0,11.208,10.0,10.792,0.792,0.958,6.083,11.7,6.2,1.4,201.458
2011-03-26,196.333,4181.667,64.0,35.542,13.0,12.708,15.792,17.542,1.75,1.917,6.75,8.8,4.962,0.0,209.042
2011-03-27,196.792,4168.261,56.0,36.458,16.0,17.458,19.583,21.833,2.25,0.75,14.042,13.7,6.9,0.4,214.25
2011-03-28,194.958,4106.25,58.0,40.0,22.0,16.958,16.125,19.0,2.875,1.542,17.125,15.4,8.137,2.8,211.917
2011-03-29,194.435,4160.0,52.0,32.958,13.0,18.087,19.913,21.435,1.522,0.792,14.458,16.3,9.654,2.8,212.522
2011-03-30,194.364,4195.833,64.0,48.167,24.0,22.545,27.792,33.5,5.708,1.261,21.0,18.4,11.542,5.4,216.909
2011-03-31,188.696,4030.435,92.0,60.792,42.0,16.696,13.667,14.792,1.125,0.125,21.875,17.2,11.129,4.9,205.391
2011-04-01,191.136,4219.13,69.0,42.583,17.0,14.227,22.652,24.696,2.043,1.304,14.625,15.6,8.854,0.9,205.364
2011-04-02,191.417,4175.833,71.0,46.583,24.0,14.958,18.583,21.292,2.708,2.0,23.667,17.5,9.675,3.7,206.375
2011-04-03,187.875,4061.667,51.0,35.583,24.0,8.5,9.174,9.522,0.348,0.458,11.25,10.2,6.75,4.1,196.375
2011-04-04,189.083,4040.417,45.0,29.417,16.0,6.333,7.625,7.875,0.25,1.208,7.917,11.6,6.3,2.8,195.417
2011-04-05,191.875,4192.083,51.0,28.542,12.0,12.042,24.087,28.696,4.609,1.292,11.833,17.0,8.733,-0.1,203.917
2011-04-06,190.958,4206.667,53.0,28.583,10.0,14.5,22.875,24.792,1.917,1.542,17.333,19.6,12.021,1.9,205.458
2011-04-07,193.476,4257.5,60.0,43.083,20.0,20.905,30.095,33.905,3.81,4.636,25.727,19.3,12.738,6.4,214.381
2011-04-08,189.773,4096.25,82.0,54.625,31.0,19.091,23.417,26.875,3.458,1.5,20.417,18.9,13.946,6.7,208.864
2011-04-09,189.958,4119.167,100.0,90.083,64.0,14.542,14.667,15.5,0.833,0.042,13.208,12.4,10.979,9.7,204.5
2011-04-10,187.792,4081.667,94.0,65.542,43.0,12.917,10.583,10.875,0.292,0.167,16.292,16.3,11.912,8.4,200.708
2011-04-11,188.125,4049.583,91.0,67.583,39.0,14.5,13.957,14.957,1.0,0.875,23.875,18.3,10.517,6.4,202.625
2011-04-12,187.5,4000.0,49.0,24.708,13.0,10.5,9.958,10.25,0.292,0.667,13.583,13.3,8.975,6.0,198.0
2011-04-13,190.292,4163.333,62.0,35.125,11.0,17.667,24.958,27.958,3.0,1.833,20.958,21.4,12.367,2.3,207.958
2011-04-14,188.458,4200.87,45.0,27.417,12.0,17.625,21.792,22.458,0.667,1.87,28.417,22.8,15.471,6.5,206.083
2011-04-15,189.318,4257.917,55.0,42.333,15.0,16.545,25.208,26.417,1.208,2.833,32.125,24.2,16.796,9.8,205.864
2011-04-16,186.917,4188.75,77.0,44.625,20.0,12.167,15.25,17.083,1.833,1.042,20.375,23.9,15.812,8.8,199.083
2011-04-17,187.792,4127.083,60.0,35.75,15.0,9.083,8.042,8.125,0.083,0.542,12.708,18.1,11.596,6.2,196.875
2011-04-18,185.542,4035.833,71.0,57.917,47.0,7.625,9.87,10.217,0.348,0.875,16.625,15.1,11.967,8.8,193.167
2011-04-19,186.125,4003.75,97.0,88.125,77.0,5.667,8.625,8.708,0.083,0.125,7.792,10.1,6.729,3.6,191.792
2011-04-20,188.5,4091.667,86.0,66.708,37.0,6.083,11.042,11.75,0.708,0.25,4.875,14.0,7.575,3.6,194.583
2011-04-21,190.708,4081.304,93.0,68.417,59.0,8.667,13.208,14.375,1.167,0.478,17.375,12.3,8.958,5.8,199.375
2011-04-22,189.682,4158.75,98.0,83.5,65.0,16.727,16.875,17.75,0.875,0.708,32.167,15.6,12.438,8.7,206.409
2011-04-23,184.417,4087.083,100.0,97.708,95.0,14.792,11.917,12.875,0.958,0.0,16.792,15.6,13.983,11.2,199.208
2011-04-24,184.375,3995.417,98.0,58.292,16.0,10.5,7.167,7.167,0.0,0.25,8.625,20.3,13.117,8.7,194.875
2011-04-25,188.333,4176.667,89.0,57.208,20.0,12.875,13.739,14.609,0.87,1.0,13.667,16.8,11.196,5.8,201.208
2011-04-26,188.792,4206.25,76.0,49.667,21.0,14.792,19.042,20.0,0.958,2.542,15.5,17.2,11.725,4.9,203.583
2011-04-27,186.708,4200.417,87.0,64.958,40.0,17.25,16.583,17.625,1.042,1.583,38.75,24.2,17.104,9.7,203.958
2011-04-28,181.583,4019.565,100.0,56.458,27.0,12.833,8.375,8.5,0.125,0.913,11.583,23.4,16.733,10.8,194.417
2011-04-29,187.864,4160.417,83.0,49.125,27.0,9.773,9.417,9.583,0.167,0.75,12.542,18.4,12.712,8.6,197.636
2011-04-30,194.125,4418.333,89.0,62.042,41.0,17.333,21.125,22.583,1.458,2.0,24.375,19.5,14.638,8.6,211.458
2011-05-01,189.167,4278.75,90.0,69.542,36.0,16.458,14.833,15.583,0.75,0.458,23.083,21.2,16.454,13.3,205.625
2011-05-02,187.304,4008.75,93.0,36.125,17.0,10.913,11.091,11.318,0.227,0.435,51.087,22.9,17.812,12.9,198.217
2011-05-03,190.125,4200.417,97.0,62.417,28.0,11.542,11.833,12.083,0.25,0.375,40.25,18.4,13.408,8.9,201.667
2011-05-04,189.708,4230.0,99.0,60.875,13.0,12.583,9.625,10.042,0.417,0.25,24.417,23.2,16.208,11.3,202.292
2011-05-05,189.833,4069.565,64.0,56.333,49.0,9.667,8.833,9.0,0.167,0.13,17.083,14.7,11.912,10.0,199.5
2011-05-06,187.773,4023.333,85.0,64.375,46.0,20.909,11.375,11.75,0.375,0.125,19.375,17.6,13.762,9.7,208.682
2011-05-07,187.5,4064.167,98.0,92.667,84.0,17.167,17.292,18.333,1.042,0.042,24.667,16.1,14.854,14.0,204.667
2011-05-08,188.083,4070.833,100.0,55.25,16.0,14.75,12.375,13.917,1.542,0.958,22.375,26.6,18.8,12.4,202.833
2011-05-09,189.5,4093.333,82.0,44.667,23.0,16.583,16.174,16.652,0.478,1.75,17.458,23.9,17.888,11.6,206.083
2011-05-10,190.05,4131.818,97.0,80.208,31.0,23.05,21.091,23.409,2.318,0.773,34.364,24.7,18.6,14.7,213.1
2011-05-11,189.375,3980.0,100.0,91.0,77.0,17.167,16.167,16.875,0.708,0.0,15.667,14.7,13.729,12.7,206.542
2011-05-12,187.917,4025.217,100.0,93.583,75.0,17.833,14.167,14.792,0.625,0.0,11.167,17.9,15.321,12.9,205.75
2011-05-13,187.0,4091.667,100.0,66.083,25.0,19.0,14.917,17.25,2.333,0.25,27.333,25.2,19.204,14.7,206.0
2011-05-14,189.875,4127.5,92.0,43.75,22.0,18.875,13.417,14.458,1.042,0.708,37.708,23.8,18.283,12.6,208.75
2011-05-15,192.333,4210.417,51.0,30.208,13.0,16.708,12.625,13.0,0.375,1.208,17.417,25.9,19.217,12.3,209.042
2011-05-16,193.542,4296.25,73.0,47.875,25.0,18.792,17.087,17.739,0.652,2.375,29.083,23.3,17.921,12.6,212.333
2011-05-17,192.792,4199.583,90.0,70.417,33.0,19.542,15.042,15.333,0.292,0.625,34.208,21.7,16.758,14.0,212.333
2011-05-18,195.0,4165.0,93.0,55.958,29.0,19.667,15.292,15.792,0.5,0.958,28.333,23.3,17.992,12.8,214.667
2011-05-19,195.5,4150.87,87.0,52.292,27.0,20.5,19.667,20.167,0.5,2.348,31.208,26.3,19.783,12.0,216.0
2011-05-20,190.909,4140.833,75.0,49.958,24.0,20.318,21.375,22.0,0.625,2.958,40.333,28.4,21.962,15.6,211.227
2011-05-21,186.625,4055.833,92.0,65.0,33.0,19.958,17.417,18.625,1.208,1.792,47.542,29.3,22.45,16.8,206.583
2011-05-22,184.792,4032.083,98.0,86.917,65.0,14.25,10.208,10.75,0.542,0.625,30.292,23.9,18.208,13.0,199.042
2011-05-23,188.125,3996.667,99.0,75.917,33.0,11.5,12.565,13.217,0.652,0.25,10.458,19.6,15.129,13.0,199.625
2011-05-24,187.333,3964.762,98.0,75.708,48.0,12.571,12.583,13.167,0.583,0.0,8.667,18.1,14.233,11.5,199.905
2011-05-25,191.458,4042.5,92.0,61.25,33.0,21.375,20.542,21.875,1.333,0.958,21.5,24.4,18.221,12.4,212.833
2011-05-26,190.042,4020.435,93.0,74.792,51.0,15.125,13.875,14.708,0.833,0.435,21.417,20.3,16.604,13.2,205.167
2011-05-27,187.545,4016.667,99.0,78.375,50.0,18.818,15.833,16.708,0.875,0.0,18.625,19.9,17.388,15.6,206.364
2011-05-28,185.667,3990.0,100.0,96.875,82.0,18.833,12.125,13.208,1.083,0.0,10.792,20.2,17.375,15.2,204.5
2011-05-29,184.208,3936.667,100.0,99.917,98.0,15.75,8.792,9.0,0.208,0.0,7.792,18.7,17.3,15.4,199.958
2011-05-30,180.25,3812.917,99.0,71.625,48.0,10.833,4.261,4.261,0.0,0.0,2.583,19.1,16.179,14.2,191.083
2011-05-31,184.167,3902.5,66.0,55.917,38.0,11.667,6.083,6.542,0.458,0.042,13.25,18.3,14.162,10.7,195.833
2011-06-01,185.833,3968.75,89.0,62.625,51.0,13.417,11.125,12.375,1.25,0.167,27.167,15.6,12.625,10.2,199.25
2011-06-02,189.333,4143.913,100.0,96.833,89.0,23.875,22.958,27.125,4.167,0.174,27.5,15.1,13.625,11.6,213.208
2011-06-03,190.591,4054.583,100.0,73.0,42.0,19.455,17.458,19.0,1.542,0.792,21.375,24.5,19.383,14.2,210.045
2011-06-04,191.167,4150.0,96.0,69.708,33.0,21.875,17.458,18.667,1.208,1.083,37.5,27.0,21.379,16.3,213.042
2011-06-05,190.958,4003.333,100.0,79.0,46.0,17.083,10.875,11.042,0.167,1.458,47.542,26.2,20.971,17.3,208.042
2011-06-06,188.667,4002.083,100.0,61.167,27.0,15.292,11.652,11.957,0.304,0.917,33.625,28.4,22.383,16.4,203.958
2011-06-07,192.095,4122.381,83.0,62.083,42.0,20.429,15.045,15.318,0.273,2.864,33.091,25.9,20.958,17.5,212.524
2011-06-08,189.5,3975.0,89.0,72.833,57.0,16.833,14.583,14.792,0.208,0.792,19.0,23.0,19.417,15.8,206.333
2011-06-09,194.792,4060.87,95.0,70.0,44.0,19.083,19.583,21.0,1.417,0.826,23.042,25.1,20.833,16.2,213.875
2011-06-10,194.045,4018.333,95.0,80.708,65.0,21.773,21.042,22.5,1.458,1.208,39.458,24.7,21.738,18.8,215.818
2011-06-11,189.75,3937.083,100.0,83.125,57.0,16.958,15.083,16.333,1.25,0.708,31.875,25.2,22.167,19.8,206.708
2011-06-12,194.083,3987.083,93.0,68.708,40.0,14.917,11.667,12.0,0.333,0.75,29.833,26.5,22.704,20.0,209.0
2011-06-13,194.333,3945.833,100.0,80.417,56.0,15.042,12.783,13.261,0.478,0.667,27.417,25.3,21.358,17.4,209.375
2011-06-14,188.75,3929.583,100.0,78.125,52.0,14.833,12.875,13.208,0.333,0.417,15.375,25.2,20.521,17.7,203.583
2011-06-15,195.292,3948.333,83.0,62.0,44.0,12.875,13.875,14.708,0.833,0.5,12.0,22.6,19.379,16.1,208.167
2011-06-16,198.167,3986.957,99.0,86.417,67.0,14.375,16.208,17.833,1.625,0.652,17.583,22.8,18.892,15.9,212.542
2011-06-17,186.091,3828.75,100.0,91.0,73.0,14.227,10.667,11.083,0.417,0.042,10.292,20.9,18.338,16.6,200.318
2011-06-18,190.417,3957.083,100.0,96.875,86.0,19.167,16.833,18.042,1.208,0.208,24.5,19.6,17.967,16.8,209.583
2011-06-19,198.625,3987.5,100.0,81.375,58.0,17.583,10.458,11.042,0.583,0.917,19.5,25.4,20.758,16.2,216.208
2011-06-20,195.5,4129.583,100.0,79.333,52.0,23.667,18.652,19.739,1.087,0.75,37.958,28.2,23.617,19.2,219.167
2011-06-21,193.5,4202.917,100.0,88.25,50.0,28.458,25.167,30.375,5.208,0.958,33.083,29.6,23.462,21.4,221.958
2011-06-22,200.905,4122.917,100.0,65.625,28.0,24.952,17.857,21.143,3.286,1.095,27.25,33.5,26.521,19.4,225.857
2011-06-23,202.545,4269.13,93.0,67.375,44.0,33.5,24.208,27.042,2.833,1.0,46.667,32.6,27.638,23.8,236.045
2011-06-24,184.417,4052.5,90.0,58.208,25.0,28.083,18.917,25.292,6.375,1.083,26.25,37.3,29.688,24.1,212.5
2011-06-25,188.083,4042.5,96.0,87.0,75.0,19.625,12.333,14.0,1.667,0.667,13.0,26.4,21.533,18.5,207.708
2011-06-26,192.333,4039.583,100.0,94.917,90.0,18.125,10.208,11.792,1.583,0.083,11.667,20.8,19.588,18.3,210.458
2011-06-27,192.917,4129.583,98.0,91.5,81.0,21.708,15.087,18.609,3.522,0.208,23.083,23.0,21.433,19.8,214.625
2011-06-28,197.083,4172.917,99.0,77.5,58.0,25.042,13.917,16.583,2.667,0.458,34.792,31.0,26.392,21.2,222.125
2011-06-29,192.167,4272.917,95.0,76.375,44.0,25.125,15.083,17.208,2.125,1.208,25.708,33.6,27.621,24.7,217.292
2011-06-30,201.227,4296.087,98.0,85.292,44.0,29.636,21.25,25.833,4.583,0.783,30.583,32.2,25.838,23.2,230.864
2011-07-01,201.0,4175.0,100.0,77.542,36.0,25.125,18.583,22.5,3.917,0.875,36.708,33.1,26.279,23.1,226.125
2011-07-02,189.625,4032.083,96.0,79.792,61.0,19.542,10.583,12.417,1.833,0.333,29.0,29.8,25.721,22.7,209.167
2011-07-03,183.667,3957.917,95.0,79.958,62.0,20.167,12.25,15.125,2.875,0.875,28.333,29.7,26.308,23.3,203.833
2011-07-04,184.958,3969.167,97.0,72.458,36.0,26.0,15.783,17.913,2.13,1.042,48.708,35.6,28.417,24.2,210.958
2011-07-05,189.458,4025.0,93.0,77.625,48.0,22.917,14.292,16.25,1.958,0.583,14.583,31.3,25.821,23.1,212.375
2011-07-06,198.789,3972.273,94.0,59.333,39.0,20.579,13.143,14.19,1.048,0.818,16.348,31.2,25.929,21.6,219.368
2011-07-07,191.091,4045.217,88.0,70.167,59.0,25.545,17.375,20.458,3.083,1.273,26.167,28.7,25.525,22.0,216.636
2011-07-08,195.75,4207.083,100.0,82.625,64.0,28.917,19.292,26.917,7.625,1.458,27.792,30.6,26.867,23.9,224.667
2011-07-09,195.208,4225.0,93.0,65.75,38.0,24.917,15.417,18.0,2.583,1.75,28.167,34.9,29.3,25.5,220.125
2011-07-10,190.042,4236.667,86.0,64.625,35.0,22.542,11.292,13.0,1.708,1.792,16.792,35.2,28.775,24.4,212.583
2011-07-11,197.667,4353.75,92.0,63.833,34.0,26.292,15.696,19.826,4.13,1.458,20.833,35.2,29.5,24.4,223.958
2011-07-12,185.167,4161.25,94.0,70.75,41.0,25.417,14.708,20.208,5.5,1.333,20.667,33.1,28.379,25.0,210.583
2011-07-13,184.333,4105.833,93.0,69.5,41.0,24.625,15.583,19.792,4.208,1.583,20.542,34.0,28.229,24.4,208.958
2011-07-14,184.636,4055.652,90.0,64.208,42.0,20.182,17.167,21.667,4.5,2.091,21.875,34.1,29.046,24.3,204.818
2011-07-15,186.417,4067.5,89.0,69.5,35.0,18.208,17.167,19.375,2.208,2.083,24.833,36.2,29.1,24.9,204.625
2011-07-16,192.417,4184.167,93.0,64.125,33.0,19.167,16.375,20.0,3.625,2.583,28.625,35.4,29.388,25.1,211.583
2011-07-17,188.333,4091.667,95.0,68.333,32.0,21.667,14.0,19.167,5.167,2.25,28.0,36.1,29.317,24.7,210.0
2011-07-18,182.042,4101.25,92.0,67.792,33.0,21.667,13.348,18.348,5.0,1.708,20.375,36.1,29.804,25.4,203.708
2011-07-19,180.5,4044.583,100.0,96.333,88.0,17.0,11.292,15.875,4.583,0.75,13.708,27.3,24.375,22.5,197.5
2011-07-20,180.667,3901.667,100.0,96.5,88.0,16.125,10.0,13.708,3.708,0.125,14.167,25.7,22.533,18.8,196.792
