date,CH4_mean,NMHC_mean,THC_mean
2012-02-17,200.583,12.167,212.75
2012-02-18,199.458,16.833,216.292
2012-02-19,196.25,12.208,208.458
2012-02-20,197.783,8.478,206.261
2012-02-21,195.368,5.947,201.316
2012-02-22,198.087,13.087,211.174
2012-02-23,190.583,5.208,195.792
2012-02-24,194.583,6.167,200.75
2012-02-25,194.167,4.958,199.125
2012-02-26,197.542,12.708,210.25
2012-02-27,194.875,12.292,207.167
2012-02-28,197.917,16.25,214.167
2012-03-01,195.957,22.304,218.261
2012-03-02,192.0,8.909,200.909
2012-03-03,193.167,9.25,202.417
2012-03-04,193.417,9.5,202.917
2012-03-05,194.917,13.708,208.625
2012-03-06,196.417,18.667,215.083
2012-03-07,198.0,19.15,217.15
2012-03-08,198.522,18.043,216.565
2012-03-09,191.458,5.583,197.042
2012-03-10,194.75,8.292,203.042
2012-03-11,194.167,4.083,198.25
2012-03-12,197.917,11.583,209.5
2012-03-13,194.25,19.167,213.417
2012-03-14,192.792,4.708,197.5
2012-03-15,195.435,10.652,206.087
2012-03-16,192.542,11.833,204.375
2012-03-17,193.208,6.875,200.083
2012-03-18,190.75,8.958,199.708
2012-03-19,185.75,7.708,193.458
2012-03-20,189.292,11.292,200.583
2012-03-21,188.458,4.833,193.292
2012-03-22,193.136,7.773,200.909
2012-03-23,193.083,4.667,197.75
2012-03-24,192.333,3.042,195.375
2012-03-25,194.0,6.783,200.783
2012-03-26,195.542,4.375,199.917
2012-03-27,198.583,11.042,209.625
2012-03-28,196.458,11.375,207.833
2012-03-29,193.125,8.583,201.708
2012-03-30,194.667,5.375,200.042
2012-03-31,195.917,6.125,202.042
2012-04-01,196.875,4.0,200.875
2012-04-02,202.292,8.667,210.958
2012-04-03,195.0,8.417,203.417
2012-04-04,193.0,2.625,195.625
2012-04-05,196.375,9.042,205.417
2012-04-06,197.652,7.435,205.087
2012-04-07,199.833,6.75,206.583
2012-04-08,202.208,6.75,208.958
2012-04-09,201.864,11.682,213.545
2012-04-10,199.875,7.458,207.333
2012-04-11,199.958,18.417,218.375
2012-04-12,193.625,9.25,202.875
2012-04-13,196.304,7.739,204.043
2012-04-14,196.292,4.542,200.833
2012-04-15,199.042,6.292,205.333
2012-04-16,200.292,6.0,206.292
2012-04-17,198.708,9.583,208.292
2012-04-18,198.458,9.5,207.958
2012-04-19,196.333,2.583,198.917
2012-04-20,192.217,1.261,193.478
2012-04-21,192.5,0.917,193.417
2012-04-22,193.208,3.167,196.375
2012-04-23,194.0,11.182,205.182
2012-04-24,194.208,7.083,201.292
2012-04-25,195.542,5.458,201.0
2012-04-26,192.625,4.958,197.583
2012-04-27,193.435,4.261,197.696
2012-04-28,197.75,5.083,202.833
2012-04-29,205.083,9.458,214.542
2012-04-30,199.042,6.208,205.25
2012-05-01,194.542,2.875,197.417
2012-05-02,192.292,2.458,194.75
2012-05-03,189.042,4.417,193.458
2012-05-04,193.043,4.522,197.565
2012-05-05,196.083,5.25,201.333
2012-05-06,199.167,5.542,204.708
2012-05-07,199.542,5.125,204.667
2012-05-08,201.208,8.167,209.375
2012-05-09,200.391,6.826,207.217
2012-05-10,199.792,7.458,207.25
2012-05-11,198.174,7.391,205.565
2012-05-12,195.333,5.208,200.542
2012-05-13,198.875,7.5,206.375
2012-05-14,199.792,9.292,209.083
2012-05-15,192.75,10.875,203.625
2012-05-16,195.625,11.25,206.875
2012-05-17,195.75,10.208,205.958
2012-05-18,197.682,4.591,202.273
2012-05-19,202.792,8.625,211.417
2012-05-20,207.792,7.333,215.125
2012-05-21,208.292,5.792,214.083
2012-05-22,196.792,3.917,200.708
2012-05-23,189.571,3.095,192.667
2012-05-24,192.333,8.125,200.458
2012-05-25,192.435,10.261,202.696
2012-05-26,191.875,7.042,198.917
2012-05-27,195.375,5.125,200.5
2012-05-28,193.333,6.667,200.0
2012-05-29,193.083,6.875,199.958
2012-05-30,190.708,4.333,195.042
2012-05-31,192.75,5.042,197.792
2012-06-01,192.217,8.609,200.826
2012-06-02,194.833,8.333,203.167
2012-06-03,188.708,4.958,193.667
2012-06-04,192.208,7.75,199.958
2012-06-05,195.125,8.875,204.0
2012-06-06,191.917,7.708,199.625
2012-06-07,194.5,11.318,205.818
2012-06-08,196.739,7.522,204.261
2012-06-09,186.75,2.958,189.708
2012-06-10,185.417,2.583,188.0
2012-06-11,189.708,3.708,193.417
2012-06-12,188.0,1.208,189.208
2012-06-13,188.292,1.625,189.917
2012-06-14,190.875,1.25,192.125
2012-06-15,192.609,2.783,195.391
2012-06-16,195.042,3.792,198.833
2012-06-17,201.417,5.75,207.167
2012-06-18,200.542,6.125,206.667
2012-06-19,191.167,3.583,194.75
2012-06-20,181.833,4.125,185.958
2012-06-21,198.9,10.75,209.65
2012-06-22,193.826,3.652,197.478
2012-06-23,199.542,3.417,202.958
2012-06-24,199.875,2.417,202.292
2012-06-25,190.409,1.682,192.091
2012-06-26,197.217,9.478,206.696
2012-06-27,200.917,10.375,211.292
2012-06-28,200.292,14.375,214.667
2012-06-29,191.583,11.125,202.708
2012-06-30,197.667,11.125,208.792
2012-07-01,195.375,12.083,207.458
2012-07-02,188.0,10.5,198.5
2012-07-03,194.435,10.957,205.391
2012-07-04,194.083,9.042,203.125
2012-07-05,204.833,12.042,216.875
2012-07-06,211.333,13.905,225.238
2012-07-07,194.042,5.458,199.5
2012-07-08,192.542,4.0,196.542
2012-07-09,196.917,5.75,202.667
2012-07-10,207.826,11.391,219.217
2012-07-11,204.583,11.667,216.25
2012-07-12,184.417,8.75,193.167
2012-07-13,190.583,14.375,204.958
2012-07-14,191.75,11.292,203.042
2012-07-15,194.667,12.333,207.0
2012-07-16,197.917,11.375,209.292
2012-07-17,201.913,14.652,216.565
2012-07-18,212.208,12.375,224.583
2012-07-19,198.75,10.042,208.792
2012-07-20,189.864,5.409,195.273
2012-07-21,191.542,5.25,196.792
2012-07-22,196.792,6.875,203.667
2012-07-23,199.583,8.625,208.208
2012-07-24,218.217,16.522,234.739
2012-07-25,241.792,23.458,265.25
2012-07-26,220.667,19.25,239.917
2012-07-27,218.625,18.833,237.458
2012-07-28,206.458,14.917,221.375
2012-07-29,205.958,11.5,217.458
2012-07-30,194.25,9.25,203.5
2012-07-31,198.652,6.609,205.261
2012-08-01,215.208,7.917,223.125
2012-08-02,204.667,7.958,212.625
2012-08-03,200.25,8.0,208.25
2012-08-04,195.75,5.917,201.667
2012-08-05,211.083,8.458,219.542
2012-08-06,200.75,11.083,211.833
2012-08-07,200.696,11.522,212.217
2012-08-08,193.25,6.792,200.042
2012-08-09,201.182,7.5,208.682
2012-08-10,204.917,10.0,214.917
2012-08-11,200.125,8.208,208.333
2012-08-12,203.333,7.333,210.667
2012-08-13,204.25,7.375,211.625
2012-08-14,201.087,6.739,207.826
2012-08-15,197.292,4.708,202.0
2012-08-16,212.5,8.917,221.417
2012-08-17,205.708,8.083,213.792
2012-08-18,202.636,10.045,212.682
2012-08-19,207.0,8.333,215.333
2012-08-20,209.0,8.083,217.083
2012-08-21,225.087,9.565,234.652
2012-08-22,201.25,8.625,209.875
2012-08-23,212.682,16.0,228.682
2012-08-24,207.478,10.652,218.13
2012-08-25,212.625,8.208,220.833
2012-08-26,203.375,6.333,209.708
2012-08-27,210.75,8.958,219.708
2012-08-28,207.625,8.167,215.792
2012-08-29,208.667,10.292,218.958
2012-08-30,199.792,10.125,209.917
2012-08-31,195.348,8.348,203.696
2012-09-01,195.542,6.125,201.667
2012-09-02,189.792,5.5,195.292
2012-09-03,199.333,9.583,208.917
2012-09-04,194.833,13.583,208.417
2012-09-05,210.375,17.042,227.417
2012-09-06,211.174,15.957,227.13
2012-09-07,204.087,9.174,213.261
2012-09-08,201.125,7.958,209.083
2012-09-09,196.0,7.583,203.583
2012-09-10,195.75,10.583,206.333
2012-09-11,196.625,10.833,207.458
2012-09-12,192.583,12.958,205.542
2012-09-13,190.958,13.208,204.167
2012-09-14,190.913,10.217,201.13
2012-09-15,189.083,8.5,197.583
2012-09-16,188.125,10.042,198.167
2012-09-17,185.208,5.208,190.417
2012-09-18,184.917,4.458,189.375
2012-09-19,184.773,7.955,192.727
2012-09-20,187.708,8.833,196.542
2012-09-21,190.261,8.957,199.217
2012-09-22,189.833,8.625,198.458
2012-09-23,189.458,5.75,195.208
2012-09-24,188.458,7.0,195.458
2012-09-25,190.375,9.75,200.125
2012-09-26,194.25,11.0,205.25
2012-09-27,192.167,7.708,199.875
2012-09-28,185.261,4.87,190.13
2012-09-29,184.5,6.917,191.417
2012-09-30,183.042,6.667,189.708
2012-10-01,182.042,8.833,190.875
2012-10-02,186.917,8.292,195.208
2012-10-03,186.5,6.583,193.083
2012-10-04,184.917,6.667,191.583
2012-10-05,191.4,9.3,200.7
2012-10-06,190.083,8.0,198.083
2012-10-07,189.958,6.917,196.875
2012-10-08,193.292,6.083,199.375
2012-10-09,188.957,6.348,195.304
2012-10-10,188.958,7.75,196.708
2012-10-11,186.375,6.792,193.167
2012-10-12,188.583,8.208,196.792
2012-10-13,194.208,11.375,205.583
2012-10-14,193.208,9.75,202.958
2012-10-15,191.25,11.25,202.5
2012-10-16,195.652,8.391,204.043
2012-10-17,197.292,15.25,212.542
2012-10-18,193.625,13.583,207.208
2012-10-19,191.833,6.5,198.333
2012-10-20,198.25,13.042,211.292
2012-10-21,200.667,16.292,216.958
2012-10-22,196.25,13.208,209.458
2012-10-23,195.4,15.45,210.85
2012-10-24,196.583,10.417,207.0
2012-10-25,201.5,16.5,218.0
2012-10-26,200.25,13.25,213.5
2012-10-27,198.042,6.75,204.792
2012-10-28,198.792,10.167,208.958
2012-10-29,197.333,9.375,206.708
2012-10-30,198.13,19.913,218.043
2012-10-31,199.208,21.25,220.458
2012-11-01,196.417,17.125,213.542
2012-11-02,195.458,9.875,205.333
2012-11-03,200.0,18.375,218.375
2012-11-04,202.583,22.25,224.833
2012-11-05,199.833,24.125,223.958
2012-11-06,193.13,15.087,208.217
2012-11-07,193.833,13.958,207.792
2012-11-08,196.5,17.364,213.864
2012-11-09,198.125,17.583,215.708
2012-11-10,198.375,15.292,213.667
2012-11-11,194.708,12.417,207.125
2012-11-12,189.292,9.833,199.125
2012-11-13,195.958,18.333,214.292
2012-11-14,196.261,13.261,209.522
2012-11-15,204.667,24.333,229.0
2012-11-16,203.75,16.25,220.0
2012-11-17,206.75,23.208,229.958
2012-11-18,200.292,10.375,210.667
2012-11-19,202.333,17.417,219.75
2012-11-20,206.417,17.292,223.708
2012-11-21,197.65,17.8,215.45
2012-11-22,198.708,18.5,217.208
2012-11-23,203.833,29.958,233.792
2012-11-24,192.958,8.625,201.583
2012-11-25,200.792,12.25,213.042
2012-11-26,199.083,19.0,218.083
2012-11-27,192.417,7.125,199.542
2012-11-28,200.0,25.913,225.913
2012-11-29,203.333,24.125,227.458
2012-11-30,196.917,12.208,209.125
2012-12-01,196.833,12.125,208.958
2012-12-02,200.125,11.208,211.333
2012-12-03,193.625,8.75,202.375
2012-12-04,195.583,14.958,210.542
2012-12-05,194.955,16.455,211.409
2012-12-06,195.167,18.708,213.875
2012-12-07,196.625,17.833,214.458
2012-12-08,192.875,13.0,205.875
2012-12-09,190.5,10.75,201.25
2012-12-10,193.417,11.583,205.0
2012-12-11,197.292,20.208,217.5
2012-12-12,198.304,25.652,223.957
2012-12-13,199.875,23.375,223.25
2012-12-14,202.792,35.375,238.167
2012-12-15,200.042,27.708,227.75
2012-12-16,200.708,21.5,222.208
2012-12-17,199.042,25.25,224.292
2012-12-18,201.917,25.375,227.292
2012-12-19,194.0,6.478,200.478
2012-12-20,200.409,15.909,216.318
2012-12-21,202.708,29.375,232.083
2012-12-22,201.25,23.917,225.167
2012-12-23,197.833,12.5,210.333
2012-12-24,196.167,8.083,204.25
2012-12-25,200.458,25.833,226.292
2012-12-26,193.739,6.13,199.87
2012-12-27,202.833,25.0,227.833
2012-12-28,203.833,26.25,230.083
2012-12-29,194.208,8.833,203.042
2012-12-30,194.083,11.667,205.75
2012-12-31,193.667,9.917,203.583
2013-01-01,199.583,9.792,209.375
2013-01-02,192.625,3.833,196.458
2013-01-03,199.333,10.0,209.333
