date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-19,194.542,71.0,56.292,51.0,17.0,,3.792,28.583,10.0,6.471,3.3,211.542
2011-01-20,191.045,99.0,93.0,75.0,11.318,,1.25,15.826,4.7,3.042,2.3,202.364
2011-01-21,191.0,99.0,89.875,73.0,12.667,,0.583,10.917,3.6,3.329,2.9,203.667
2011-01-22,194.417,98.0,87.583,64.0,14.667,,0.75,9.292,8.2,5.371,3.6,209.083
2011-01-23,216.958,99.0,88.5,53.0,28.208,,3.043,17.542,8.7,5.175,0.8,245.167
2011-01-24,193.522,99.0,53.792,32.0,12.522,,1.75,11.208,4.8,2.921,0.9,206.043
2011-01-25,200.0,88.0,58.375,30.0,24.75,,2.25,22.0,8.4,4.2,0.2,224.75
2011-01-26,194.708,88.0,44.5,26.0,14.0,,1.174,15.292,6.7,3.388,0.8,208.708
2011-01-27,201.045,62.0,47.792,28.0,23.636,,1.739,19.304,8.5,3.833,-0.4,224.682
2011-01-28,196.208,62.0,43.25,30.0,15.792,,1.208,18.333,6.5,2.921,0.6,212.0
2011-01-29,192.125,39.0,33.042,24.0,9.25,,1.087,11.25,6.7,3.225,1.5,201.375
2011-01-30,191.609,36.0,31.542,27.0,9.565,,3.125,11.583,7.0,4.017,1.7,201.174
2011-01-31,196.0,49.0,40.958,35.0,17.167,,3.292,16.292,8.6,4.308,0.5,213.167
2011-02-01,191.792,52.0,41.042,31.0,13.375,,2.261,18.083,11.7,6.462,1.2,205.167
2011-02-02,190.0,43.0,32.417,20.0,9.833,,1.25,11.042,5.1,2.588,0.6,199.833
2011-02-03,202.476,49.0,32.391,19.0,15.905,,4.13,13.087,6.8,3.079,-0.3,218.381
2011-02-04,198.083,54.0,35.958,20.0,20.542,,3.174,14.083,10.7,5.662,0.2,218.625
2011-02-05,195.783,76.0,43.125,32.0,13.696,,3.792,14.875,8.1,6.0,3.3,209.478
2011-02-06,199.0,99.0,82.167,60.0,22.542,,1.417,28.792,5.6,4.962,4.4,221.542
2011-02-07,198.125,99.0,95.417,87.0,25.042,,2.522,33.333,14.6,8.154,5.4,223.167
2011-02-08,190.667,92.0,40.708,28.0,14.375,,1.75,9.375,9.3,6.6,3.8,205.042
2011-02-09,190.458,34.0,26.458,16.0,12.875,,2.0,8.417,8.1,5.033,1.2,203.333
2011-02-10,196.565,78.0,39.375,27.0,16.043,,4.182,14.652,8.9,5.683,2.4,212.609
2011-02-11,191.652,80.0,43.625,26.0,9.826,,1.917,14.208,9.0,5.642,2.2,201.478
2011-02-12,192.458,45.0,32.125,24.0,9.25,,1.0,12.0,9.8,5.362,1.5,201.708
2011-02-13,194.417,60.0,40.792,31.0,11.708,,5.261,18.292,10.4,6.008,2.2,206.125
2011-02-14,196.417,99.0,79.458,44.0,18.75,,0.958,29.083,6.7,5.325,4.2,215.167
2011-02-15,199.042,95.0,62.0,35.0,18.0,,2.292,25.75,11.8,7.625,5.3,217.042
2011-02-16,195.292,97.0,59.083,35.0,7.958,,2.348,13.708,5.0,3.146,1.8,203.25
2011-02-17,191.682,99.0,70.833,29.0,14.955,,2.304,18.217,8.3,4.088,1.5,206.636
2011-02-18,190.625,92.0,40.417,17.0,8.417,,1.208,11.042,6.5,2.779,0.4,199.042
2011-02-19,192.917,52.0,35.0,21.0,9.792,,1.87,11.208,7.1,3.683,-0.1,202.708
2011-02-20,200.042,61.0,42.583,19.0,18.583,,3.75,18.333,10.2,6.108,1.2,218.625
2011-02-21,198.167,59.0,39.333,18.0,22.042,,3.625,22.25,12.7,8.267,3.0,220.208
2011-02-22,195.083,70.0,58.833,54.0,9.792,,8.0,29.958,9.7,7.888,6.2,204.875
2011-02-23,194.045,99.0,87.042,41.0,22.227,,0.957,23.174,10.7,7.704,5.3,216.273
2011-02-24,194.25,69.0,39.125,20.0,12.708,,3.958,27.167,15.2,11.35,8.3,206.958
2011-02-25,191.375,98.0,88.917,65.0,13.125,,2.0,17.583,8.9,5.879,3.9,204.5
2011-02-26,191.25,62.0,46.667,30.0,9.708,,3.167,11.583,8.3,5.654,3.9,200.958
2011-02-27,189.625,35.0,27.708,21.0,8.833,,0.333,12.0,8.6,4.662,2.0,198.458
2011-02-28,193.833,54.0,40.625,31.0,9.5,,3.435,11.5,6.5,3.658,0.4,203.333
2011-03-01,199.417,94.0,77.792,53.0,13.667,,2.917,15.583,12.2,8.308,3.5,213.083
2011-03-02,190.143,98.0,90.083,73.0,15.0,,3.318,17.652,9.6,7.179,4.3,205.143
2011-03-03,189.833,98.0,63.583,35.0,8.833,,3.667,15.708,11.9,7.175,3.9,198.667
2011-03-04,191.042,93.0,63.292,52.0,8.083,,3.125,18.042,6.2,5.4,4.0,199.125
2011-03-05,195.208,98.0,97.333,93.0,17.125,,0.217,10.625,9.3,5.638,3.0,212.333
2011-03-06,247.174,98.0,92.625,71.0,26.609,,4.75,27.958,14.4,11.262,8.7,273.783
2011-03-07,193.792,98.0,72.75,47.0,13.125,,6.0,32.625,14.3,12.054,10.7,206.917
2011-03-08,192.083,86.0,66.583,51.0,9.875,,1.652,19.375,10.3,9.167,7.4,201.958
2011-03-09,194.19,98.0,96.542,86.0,13.381,,0.591,16.043,8.9,7.408,5.3,207.571
2011-03-10,190.826,98.0,85.708,66.0,9.696,,2.042,7.167,7.1,5.1,2.5,200.522
2011-03-11,191.833,78.0,65.0,46.0,11.375,,3.913,15.583,10.7,7.362,3.9,203.208
2011-03-12,189.5,66.0,33.958,17.0,9.833,,0.958,10.25,10.8,7.038,3.5,199.333
2011-03-13,190.875,59.0,33.625,20.0,9.792,,1.25,9.958,11.1,6.896,3.2,200.667
2011-03-14,193.083,69.0,51.625,35.0,11.583,,3.304,12.583,10.3,7.279,3.2,204.667
2011-03-15,196.542,80.0,45.292,23.0,18.042,,0.958,20.083,13.2,7.983,4.1,214.583
2011-03-16,189.955,63.0,40.304,23.0,10.773,,1.609,21.391,11.6,7.779,3.6,200.727
2011-03-17,198.5,98.0,88.083,57.0,25.583,,0.826,31.958,9.4,7.35,5.6,224.083
2011-03-18,200.375,98.0,91.083,75.0,22.583,,3.333,30.042,11.6,9.571,7.1,222.958
2011-03-19,189.125,98.0,38.125,19.0,12.167,,1.083,12.375,12.1,9.238,6.4,201.292
2011-03-20,189.625,45.0,33.208,23.0,12.708,,2.478,18.458,12.3,8.412,4.5,202.333
2011-03-21,186.542,35.0,26.375,17.0,8.75,,0.792,12.875,12.3,8.204,5.0,195.292
2011-03-22,208.6,42.0,33.091,27.0,38.333,,2.867,32.6,13.5,10.027,4.8,246.933
2011-03-23,202.458,98.0,68.125,36.0,19.833,,2.417,28.458,12.1,9.962,8.0,222.292
2011-03-24,189.875,98.0,82.792,36.0,17.667,,1.042,7.833,9.9,8.221,7.1,207.542
2011-03-25,195.833,65.0,39.708,26.0,16.375,,1.667,8.875,12.3,9.321,5.8,212.208
2011-03-26,191.13,38.0,28.917,21.0,9.913,,2.136,9.042,11.7,8.296,4.6,201.043
2011-03-27,193.917,69.0,38.333,21.0,11.917,,1.792,12.583,13.6,9.471,4.7,205.833
2011-03-28,204.083,69.0,50.5,35.0,22.125,,5.542,34.2,16.5,10.888,6.5,226.208
2011-03-29,191.826,50.0,38.083,20.0,11.696,,1.647,15.571,16.0,11.542,7.2,203.522
2011-03-30,188.625,60.0,51.75,42.0,9.458,,0.667,14.875,18.0,14.912,12.0,198.083
2011-03-31,184.292,97.0,60.917,37.0,8.042,,0.25,15.458,18.0,13.912,8.5,192.333
2011-04-01,191.042,66.0,48.208,33.0,12.542,,3.304,13.0,15.3,11.417,6.5,203.583
2011-04-02,201.375,75.0,53.875,33.0,18.917,,5.792,27.083,18.5,13.671,9.3,220.292
2011-04-03,190.125,69.0,49.667,34.0,11.042,,1.833,9.667,9.3,8.029,7.4,201.167
2011-04-04,189.917,64.0,44.792,19.0,10.375,,2.348,8.833,13.8,9.204,6.2,200.292
2011-04-05,191.857,61.0,38.458,23.0,12.714,,3.353,9.826,14.8,10.129,4.4,204.571
2011-04-06,195.304,64.0,45.708,26.0,19.609,,4.875,21.417,19.0,13.888,7.8,214.913
2011-04-07,188.458,72.0,57.625,41.0,18.25,,1.261,12.417,19.1,15.383,11.2,206.708
2011-04-08,184.75,70.0,60.625,52.0,10.292,,0.583,11.0,17.9,16.958,15.5,195.042
2011-04-09,186.208,98.0,87.75,67.0,13.667,,0.958,12.333,17.4,16.179,12.5,199.875
2011-04-10,189.917,90.0,62.208,34.0,9.875,,2.957,12.917,17.4,13.667,10.1,199.792
2011-04-11,223.583,98.0,71.875,43.0,17.833,,6.083,23.792,18.9,13.967,8.4,241.417
2011-04-12,188.409,81.0,33.958,15.0,8.545,,1.583,14.292,16.4,11.629,8.1,196.955
2011-04-13,194.833,63.0,45.917,26.0,18.125,,4.652,23.417,20.4,14.325,7.5,212.958
2011-04-14,195.591,69.0,46.208,14.0,21.364,,5.652,33.783,22.4,16.725,11.8,216.955
2011-04-15,184.292,93.0,57.625,41.0,11.958,,2.542,25.667,21.3,18.067,14.9,196.25
2011-04-16,183.375,95.0,60.292,29.0,12.083,,1.609,19.208,24.2,18.371,13.2,195.458
2011-04-17,187.792,73.0,44.0,31.0,9.292,,2.083,13.292,16.8,13.667,10.1,197.083
2011-04-18,200.727,76.0,62.583,49.0,12.409,,3.583,12.75,17.3,14.983,12.8,213.136
2011-04-19,187.75,98.0,78.125,26.0,13.792,,1.13,7.625,18.2,11.562,8.0,201.542
2011-04-20,189.917,69.0,56.458,44.0,11.375,,4.333,7.458,14.9,11.096,6.8,201.292
2011-04-21,194.476,85.0,73.458,58.0,15.0,,4.652,9.783,15.8,12.479,9.3,209.476
2011-04-22,188.913,91.0,71.75,52.0,15.739,,3.391,16.0,18.1,15.517,11.9,204.652
2011-04-23,185.458,98.0,94.667,84.0,14.875,,2.167,16.167,17.7,16.308,15.0,200.333
2011-04-24,183.208,95.0,46.417,27.0,8.625,,1.875,10.375,19.9,16.542,12.0,191.833
2011-04-25,188.083,90.0,52.958,27.0,10.333,,4.261,14.542,19.1,15.2,11.0,198.417
2011-04-26,190.818,68.0,44.083,32.0,14.0,,3.208,17.833,20.7,16.796,11.7,204.818
2011-04-27,186.667,97.0,73.333,54.0,13.792,,1.833,37.708,22.8,19.908,16.9,200.458
2011-04-28,186.545,97.0,51.583,28.0,13.636,,1.091,18.043,24.1,19.483,14.4,200.182
2011-04-29,190.833,77.0,45.708,32.0,13.792,,3.292,11.458,18.8,15.521,12.5,204.625
2011-04-30,192.5,85.0,59.708,36.0,14.458,,3.0,17.5,21.5,17.55,12.4,206.958
2011-05-01,187.0,98.0,73.25,53.0,12.625,,0.696,14.958,20.1,18.238,15.5,199.625
2011-05-02,192.625,96.0,43.708,19.0,16.833,,2.083,73.708,24.9,19.867,15.6,209.458
2011-05-03,193.417,98.0,69.708,48.0,15.792,,3.0,50.708,18.0,16.171,14.1,209.208
2011-05-04,188.739,93.0,62.25,37.0,14.087,,2.261,20.667,21.5,17.438,13.7,202.826
2011-05-05,188.667,82.0,63.125,46.0,13.5,,3.458,17.542,16.9,15.371,13.4,202.167
2011-05-06,191.348,90.0,71.542,52.0,13.652,,4.261,20.043,20.1,16.533,12.7,205.0
2011-05-07,215.625,97.0,91.458,83.0,20.083,,5.565,20.125,18.1,17.088,15.8,235.708
2011-05-08,192.292,97.0,59.458,26.0,24.542,,3.667,25.25,25.7,20.733,15.0,216.833
2011-05-09,191.333,77.0,48.792,30.0,16.667,,2.75,24.292,23.0,19.929,16.5,208.0
2011-05-10,190.696,97.0,73.542,42.0,22.522,,4.652,31.958,28.4,22.871,17.8,213.217
2011-05-11,201.417,97.0,95.208,88.0,13.833,,4.25,11.208,16.6,14.967,14.1,215.25
2011-05-12,190.0,97.0,94.875,80.0,17.5,,1.609,6.609,16.5,15.708,14.1,207.5
2011-05-13,189.458,97.0,81.083,63.0,17.833,,4.391,17.0,24.0,20.088,16.5,207.292
2011-05-14,187.75,79.0,49.042,26.0,15.042,,5.542,51.333,24.8,20.367,16.3,202.792
2011-05-15,186.708,55.0,31.708,17.0,10.417,,2.458,22.125,24.8,20.771,16.1,197.125
2011-05-16,189.696,74.0,52.5,33.0,15.087,,4.217,32.292,23.1,20.221,18.3,204.783
2011-05-17,190.042,95.0,75.0,51.0,21.083,,2.333,27.833,21.7,18.308,15.5,211.125
2011-05-18,194.542,92.0,64.458,42.0,23.792,,4.083,30.292,23.4,19.483,15.5,218.333
2011-05-19,193.083,79.0,56.25,35.0,24.583,,3.043,34.042,24.9,21.088,16.0,217.667
2011-05-20,188.087,70.0,56.458,40.0,21.043,,2.783,37.174,26.0,22.029,18.6,209.13
2011-05-21,184.958,82.0,66.167,49.0,18.667,,2.375,26.0,26.6,22.696,19.6,203.625
2011-05-22,182.87,97.0,79.833,52.0,15.13,,1.261,11.958,27.6,20.771,15.6,198.0
2011-05-23,188.292,89.0,68.625,48.0,14.75,,2.375,9.875,18.5,15.767,13.5,203.042
2011-05-24,194.417,98.0,78.75,53.0,16.083,,1.958,8.875,17.4,14.442,12.3,210.5
2011-05-25,196.417,86.0,58.292,30.0,24.583,,4.696,18.125,23.4,18.642,13.5,221.0
2011-05-26,198.609,88.0,73.917,50.0,19.0,,6.174,17.0,22.1,19.4,17.0,217.609
2011-05-27,210.792,97.0,78.25,61.0,23.125,,5.042,14.583,20.5,18.775,17.4,233.917
2011-05-28,193.87,97.0,97.0,97.0,22.0,,1.826,8.667,19.5,18.633,17.6,215.87
2011-05-29,188.542,97.0,97.0,97.0,15.125,,2.542,5.25,18.8,18.108,16.6,203.667
2011-05-30,183.0,97.0,72.292,45.0,13.167,,2.583,5.083,22.3,17.575,16.1,196.167
2011-05-31,186.583,62.0,53.667,48.0,10.917,,2.957,16.667,17.9,15.404,12.4,197.5
2011-06-01,188.292,74.0,57.167,46.0,11.625,,3.458,30.0,18.4,15.471,12.2,199.917
2011-06-02,211.652,97.0,91.667,76.0,25.739,,5.783,28.522,17.3,16.317,15.3,237.391
2011-06-03,193.348,97.0,73.708,45.0,26.522,,4.522,18.083,23.8,19.825,15.2,219.87
2011-06-04,184.583,94.0,72.792,51.0,21.042,,3.208,28.542,25.5,22.233,19.1,205.625
2011-06-05,184.708,91.0,69.417,57.0,20.167,,2.917,35.583,26.3,22.738,19.2,204.875
2011-06-06,188.333,97.0,65.458,33.0,21.375,,4.478,33.542,28.2,23.146,18.2,209.708
2011-06-07,186.417,93.0,74.5,54.0,23.542,,7.042,34.75,23.8,21.546,20.0,209.958
2011-06-08,187.042,97.0,79.75,61.0,17.75,,3.875,12.0,22.5,20.012,17.7,204.792
2011-06-09,201.2,95.0,72.13,45.0,19.3,,8.182,20.435,25.2,21.712,18.3,220.5
2011-06-10,183.125,93.0,83.0,74.0,21.042,,4.0,18.333,24.8,22.808,20.6,204.167
2011-06-11,189.042,97.0,89.792,74.0,23.083,,2.667,27.917,23.9,21.838,20.9,212.125
2011-06-12,197.3,94.0,75.905,39.0,30.5,,5.526,32.55,26.4,22.924,21.0,227.8
2011-06-13,194.208,97.0,88.375,78.0,24.417,,7.625,23.333,22.6,20.638,18.8,218.625
2011-06-14,192.458,97.0,79.125,65.0,21.875,,5.958,20.083,23.3,21.338,19.8,214.333
2011-06-15,193.957,71.0,58.708,47.0,16.0,,4.87,10.917,23.1,21.229,19.9,209.957
2011-06-16,203.739,97.0,79.0,67.0,21.957,,9.0,20.0,23.4,21.158,18.5,225.696
2011-06-17,189.958,97.0,94.375,89.0,16.208,,2.458,11.0,20.5,19.267,18.3,206.167
2011-06-18,215.583,97.0,87.042,68.0,21.583,,4.435,16.083,22.3,20.225,18.7,237.167
2011-06-19,202.5,97.0,81.542,60.0,19.625,,3.667,20.208,24.4,21.862,19.5,222.125
2011-06-20,187.083,96.0,84.917,70.0,19.75,,3.125,17.167,25.9,23.608,21.3,206.833
2011-06-21,184.304,97.0,74.75,56.0,17.87,,1.565,10.958,28.4,25.342,23.3,202.174
2011-06-22,191.958,92.0,69.708,48.0,35.792,,7.125,32.042,31.2,27.079,22.8,227.75
2011-06-23,182.208,85.0,70.833,55.0,23.417,,2.5,28.333,31.2,27.904,25.7,205.625
2011-06-24,175.739,80.0,67.417,52.0,13.304,,0.0,19.565,31.7,28.558,26.0,189.043
2011-06-25,185.792,94.0,77.125,61.0,16.583,,3.542,20.333,29.1,24.933,20.7,202.375
2011-06-26,194.792,97.0,93.417,83.0,16.417,,2.458,22.75,23.0,21.292,20.1,211.208
2011-06-27,198.783,97.0,95.583,90.0,29.0,,5.391,27.792,24.3,22.346,20.3,227.783
2011-06-28,192.75,97.0,73.417,50.0,33.25,,5.708,29.75,32.3,27.446,23.1,226.0
2011-06-29,204.208,90.0,62.167,43.0,23.125,,10.042,27.542,34.2,29.771,25.4,227.333
2011-06-30,191.25,92.0,64.292,41.0,23.333,,7.522,23.542,33.8,29.012,26.1,214.583
2011-07-01,183.409,89.0,65.958,44.0,26.273,,4.364,25.545,32.6,28.788,25.3,209.682
2011-07-02,185.458,92.0,77.0,58.0,18.417,,5.958,24.208,30.1,27.05,24.9,203.875
2011-07-03,185.565,92.0,74.417,56.0,22.826,,3.696,23.833,31.4,28.067,24.8,208.391
2011-07-04,177.417,86.0,70.25,52.0,16.208,,1.042,32.833,32.5,29.025,26.7,193.625
2011-07-05,182.708,93.0,72.792,57.0,23.5,,4.792,23.375,32.1,28.012,24.6,206.208
2011-07-06,194.208,81.0,63.875,44.0,26.458,,3.957,27.167,31.7,28.283,26.0,220.667
2011-07-07,179.5,97.0,78.583,65.0,16.375,,0.542,11.875,28.4,26.575,24.2,195.875
2011-07-08,180.19,76.0,70.292,55.0,22.19,,2.182,16.0,30.8,28.488,26.9,202.381
2011-07-09,184.957,88.0,73.75,60.0,34.174,,7.043,26.875,31.8,28.983,26.7,219.13
2011-07-10,180.75,89.0,70.875,50.0,21.5,,4.208,14.917,32.6,29.05,26.1,202.25
2011-07-11,181.208,94.0,73.542,48.0,23.708,,5.875,16.208,33.2,29.229,26.3,204.917
2011-07-12,180.083,92.0,76.125,57.0,19.792,,3.696,14.5,32.1,28.7,26.4,199.875
2011-07-13,180.583,88.0,70.625,56.0,20.792,,4.583,14.458,31.5,28.529,26.0,201.375
2011-07-14,181.917,83.0,67.708,47.0,22.0,,5.083,17.25,32.7,28.767,25.8,203.917
2011-07-15,181.762,92.0,66.708,47.0,26.952,,4.591,18.087,33.3,29.338,26.0,208.714
2011-07-16,179.458,94.0,74.375,53.0,22.125,,7.25,22.25,32.7,28.979,26.3,201.583
2011-07-17,176.208,90.0,69.708,52.0,18.333,,3.125,15.375,33.2,29.542,26.4,194.542
2011-07-18,175.0,93.0,76.833,57.0,18.417,,5.87,24.458,33.0,29.7,27.8,193.417
2011-07-19,174.542,97.0,91.833,85.0,19.625,,2.417,24.292,28.2,27.658,26.8,194.167
2011-07-20,178.333,97.0,94.208,80.0,16.917,,1.583,26.458,28.4,25.7,21.6,195.25
2011-07-21,184.727,97.0,72.583,46.0,12.727,,1.682,13.174,22.9,20.854,18.9,197.455
2011-07-22,186.25,76.0,59.125,45.0,12.75,,2.292,11.833,24.5,21.229,18.4,199.0
2011-07-23,187.083,78.0,64.167,54.0,15.458,,2.25,8.417,26.9,23.4,19.6,202.542
2011-07-24,188.25,92.0,69.708,54.0,18.5,,3.652,14.5,29.4,26.225,23.2,206.75
2011-07-25,185.708,89.0,72.542,55.0,21.042,,3.833,21.208,30.8,27.508,25.0,206.75
2011-07-26,185.25,83.0,73.5,63.0,17.292,,0.5,13.75,29.5,27.242,26.0,202.542
2011-07-27,184.391,78.0,69.333,54.0,22.913,,1.652,15.833,31.1,28.171,26.0,207.304
2011-07-28,202.348,97.0,85.458,67.0,25.522,,4.826,31.087,29.0,26.729,25.0,227.87
2011-07-29,230.417,97.0,87.667,57.0,30.25,,5.75,40.292,28.8,26.571,25.2,260.667
2011-07-30,191.417,97.0,83.958,53.0,21.833,,5.348,21.292,30.2,25.975,23.9,213.25
2011-07-31,183.542,97.0,85.833,68.0,13.625,,3.292,20.542,24.8,23.604,22.5,197.167
2011-08-01,188.208,93.0,73.625,50.0,13.917,,4.625,24.333,27.9,24.546,22.2,202.125
2011-08-02,191.391,93.0,75.0,51.0,20.348,,5.783,20.667,29.3,25.688,22.2,211.739
2011-08-03,201.5,97.0,80.833,56.0,20.375,,7.542,20.208,30.8,27.008,24.5,221.875
2011-08-04,181.682,97.0,79.25,52.0,17.045,,3.5,18.783,31.3,27.483,24.5,198.727
2011-08-05,189.667,97.0,77.917,52.0,20.792,,4.696,14.083,31.4,28.05,25.0,210.458
2011-08-06,180.292,92.0,74.458,53.0,23.667,,4.458,18.292,32.8,29.183,26.3,203.958
2011-08-07,201.667,90.0,73.042,46.0,25.208,,4.5,25.917,34.2,29.612,27.0,226.875
2011-08-08,188.391,85.0,70.417,52.0,26.609,,4.522,24.708,34.0,29.871,26.5,215.0
2011-08-09,191.708,86.0,71.25,54.0,25.042,,4.292,27.5,33.9,30.5,28.1,216.75
2011-08-10,179.792,88.0,71.833,53.0,23.083,,3.542,32.792,34.4,30.833,27.9,202.875
2011-08-11,182.542,88.0,71.292,51.0,34.833,,5.696,40.125,34.8,31.133,28.3,217.375
2011-08-12,193.048,89.0,60.792,36.0,25.476,,5.435,37.0,35.6,31.4,28.0,218.524
2011-08-13,185.75,91.0,70.833,42.0,21.042,,5.458,43.417,34.7,30.221,27.8,206.792
2011-08-14,181.0,91.0,70.875,54.0,22.957,,3.174,43.792,33.8,30.5,28.1,203.957
2011-08-15,179.125,80.0,64.708,53.0,22.833,,2.417,28.792,34.0,30.758,27.9,201.958
2011-08-16,188.375,82.0,69.167,57.0,26.083,,3.625,35.25,33.4,30.808,28.2,214.458
2011-08-17,188.917,82.0,66.625,51.0,25.458,,3.13,38.042,34.4,31.112,28.5,214.375
2011-08-18,178.174,77.0,62.333,47.0,21.522,,1.5,34.739,35.6,31.992,29.0,199.696
2011-08-19,182.958,97.0,82.667,61.0,16.792,,1.125,19.75,31.8,25.588,22.1,199.75
2011-08-20,190.348,80.0,69.625,57.0,15.609,,2.261,11.625,25.7,24.204,23.1,205.957
2011-08-21,189.042,97.0,94.375,89.0,13.0,,1.25,9.333,23.2,21.029,20.0,202.042
2011-08-22,192.625,97.0,93.542,84.0,15.458,,2.292,12.0,22.8,21.412,20.0,208.083
2011-08-23,192.542,97.0,83.375,60.0,18.708,,3.957,31.583,30.4,26.046,21.8,211.25
2011-08-24,182.5,97.0,79.833,59.0,16.5,,4.625,22.167,31.7,28.042,25.4,199.0
2011-08-25,180.609,97.0,85.875,70.0,13.652,,2.13,17.957,28.9,27.117,25.7,194.261
2011-08-26,183.739,97.0,81.75,54.0,18.739,,2.261,15.583,32.1,26.808,23.3,202.478
2011-08-27,188.25,97.0,84.25,71.0,14.667,,3.083,15.25,26.4,24.175,22.1,202.917
2011-08-28,193.125,90.0,69.125,45.0,15.917,,2.625,14.375,30.4,26.217,22.5,209.042
2011-08-29,187.875,91.0,73.167,52.0,14.542,,4.217,16.25,29.8,26.388,23.6,202.417
2011-08-30,184.583,97.0,67.5,36.0,15.25,,2.042,12.875,31.7,26.867,23.6,199.833
2011-08-31,193.042,97.0,77.25,57.0,16.292,,4.042,16.333,30.4,26.888,22.4,209.333
2011-09-01,196.043,97.0,84.292,63.0,16.957,,9.217,24.875,31.0,28.242,26.2,213.0
2011-09-02,190.739,97.0,80.25,58.0,16.435,,3.652,23.609,31.1,28.262,25.3,207.174
2011-09-03,176.542,97.0,78.125,64.0,17.833,,1.875,26.167,30.3,28.108,25.1,194.375
2011-09-04,179.25,91.0,76.583,57.0,14.833,,1.565,21.125,30.0,27.288,25.7,194.083
2011-09-05,199.0,97.0,84.417,65.0,19.25,,6.417,21.75,28.4,26.383,24.3,218.25
2011-09-06,188.167,97.0,69.917,48.0,20.375,,4.75,15.958,28.1,25.217,22.4,208.542
2011-09-07,192.565,87.0,58.958,40.0,22.261,,2.913,19.375,29.1,25.196,20.7,214.826
2011-09-08,197.286,81.0,63.125,38.0,27.143,,3.048,26.952,30.2,26.283,22.8,224.429
2011-09-09,188.375,76.0,66.625,57.0,21.833,,2.625,24.708,31.3,28.05,24.7,210.208
2011-09-10,186.542,93.0,73.083,54.0,23.25,,4.174,23.958,32.3,28.817,26.2,209.792
2011-09-11,192.667,97.0,76.75,49.0,19.833,,4.208,18.625,31.6,28.017,25.9,212.5
2011-09-12,186.458,91.0,68.625,41.0,20.458,,3.458,20.833,32.4,28.738,26.3,206.917
2011-09-13,182.348,92.0,72.125,49.0,18.783,,5.609,20.583,33.0,28.508,26.0,201.13
2011-09-14,182.875,87.0,69.25,47.0,21.208,,3.708,22.167,32.3,28.708,25.8,204.083
2011-09-15,182.083,97.0,72.292,42.0,19.083,,4.167,17.083,32.7,28.475,25.8,201.167
2011-09-16,181.261,97.0,74.667,47.0,16.783,,3.0,17.348,32.3,28.471,26.1,198.043
2011-09-17,178.917,95.0,81.25,66.0,16.083,,3.458,20.25,30.5,28.104,26.7,195.0
2011-09-18,180.208,92.0,73.542,52.0,16.458,,4.708,17.75,31.6,28.462,26.3,196.667
2011-09-19,187.304,97.0,80.958,53.0,18.609,,4.043,24.125,31.7,26.342,20.7,205.913
2011-09-20,188.458,97.0,96.458,91.0,17.875,,1.542,15.083,21.2,20.275,19.2,206.333
2011-09-21,187.15,97.0,92.048,67.0,18.95,,1.2,22.85,26.4,21.91,17.9,206.1
2011-09-22,181.174,92.0,72.542,37.0,16.522,,2.182,24.043,30.3,23.808,18.8,197.696
