date,CO_mean
2012-02-10,4.75
2012-02-11,6.0
2012-02-12,7.565
2012-02-13,7.125
2012-02-14,6.958
2012-02-15,7.5
2012-02-16,5.458
2012-02-17,4.833
2012-02-18,7.708
2012-02-19,6.261
2012-02-20,5.208
2012-02-21,5.5
2012-02-22,4.75
2012-02-23,5.042
2012-02-24,3.917
2012-02-25,6.167
2012-02-26,7.208
2012-02-27,7.042
2012-02-28,7.609
2012-03-01,5.5
2012-03-02,5.333
2012-03-03,4.25
2012-03-04,4.667
2012-03-05,6.542
2012-03-06,5.875
2012-03-07,7.619
2012-03-08,6.667
2012-03-09,7.708
2012-03-10,4.875
2012-03-11,5.083
2012-03-12,7.042
2012-03-13,4.792
2012-03-14,4.696
2012-03-15,5.75
2012-03-16,5.417
2012-03-17,6.083
2012-03-18,4.273
2012-03-19,6.5
2012-03-20,6.917
2012-03-21,5.458
2012-03-22,5.708
2012-03-23,5.125
2012-03-24,4.792
2012-03-25,5.565
2012-03-26,5.292
2012-03-27,6.542
2012-03-28,6.958
2012-03-29,6.125
2012-03-30,5.25
2012-03-31,4.458
2012-04-01,3.792
2012-04-02,5.917
2012-04-03,3.125
2012-04-04,3.25
2012-04-05,4.2
2012-04-06,3.083
2012-04-07,4.375
2012-04-08,4.208
2012-04-09,5.0
2012-04-10,6.625
2012-04-11,5.792
2012-04-12,4.652
2012-04-13,5.042
2012-04-14,5.0
2012-04-15,5.0
2012-04-16,5.591
2012-04-17,4.625
2012-04-18,4.75
2012-04-19,5.167
2012-04-20,5.0
2012-04-21,4.333
2012-04-22,3.458
2012-04-23,5.478
2012-04-24,5.917
2012-04-25,6.5
2012-04-26,4.667
2012-04-27,4.958
2012-04-28,5.167
2012-04-29,4.625
2012-04-30,5.13
2012-05-01,4.375
2012-05-02,3.952
2012-05-03,2.958
2012-05-04,3.25
2012-05-05,3.5
2012-05-06,3.833
2012-05-07,7.625
2012-05-08,7.292
2012-05-09,6.261
2012-05-10,4.417
2012-05-11,3.792
2012-05-12,3.792
2012-05-13,4.25
2012-05-14,5.542
2012-05-15,5.045
2012-05-16,4.833
2012-05-17,3.917
2012-05-18,4.708
2012-05-19,5.792
2012-05-20,4.708
2012-05-21,4.75
2012-05-22,4.348
2012-05-23,4.667
2012-05-24,5.208
2012-05-25,6.042
2012-05-26,4.958
2012-05-27,3.708
2012-05-28,4.208
2012-05-29,4.087
2012-05-30,4.75
2012-05-31,5.292
2012-06-01,4.571
2012-06-02,4.292
2012-06-03,4.0
2012-06-04,4.0
2012-06-05,5.917
2012-06-06,3.875
2012-06-07,4.5
2012-06-08,5.217
2012-06-09,2.875
2012-06-10,3.667
2012-06-11,5.417
2012-06-12,5.917
2012-06-13,4.619
2012-06-14,4.083
2012-06-15,4.5
2012-06-16,4.75
2012-06-17,3.208
2012-06-18,5.042
2012-06-19,5.375
2012-06-20,3.739
2012-06-21,5.583
2012-06-22,5.208
2012-06-23,4.667
2012-06-24,5.583
2012-06-25,6.095
2012-06-26,5.125
2012-06-27,5.542
2012-06-28,4.083
2012-06-29,4.042
2012-06-30,4.792
2012-07-01,3.417
2012-07-02,5.174
2012-07-03,5.208
2012-07-04,5.583
2012-07-05,5.042
2012-07-06,4.0
2012-07-07,3.565
2012-07-08,4.083
2012-07-09,4.476
2012-07-10,5.542
2012-07-11,5.667
2012-07-12,3.958
2012-07-13,5.833
2012-07-14,4.625
2012-07-15,3.708
2012-07-16,3.435
2012-07-17,4.125
2012-07-18,3.5
2012-07-19,3.75
2012-07-20,2.917
2012-07-21,3.667
2012-07-22,4.208
2012-07-23,3.87
2012-07-24,3.792
2012-07-25,3.542
2012-07-26,3.125
2012-07-27,3.333
2012-07-28,2.917
2012-07-29,2.833
2012-07-30,3.917
2012-07-31,3.667
2012-08-01,3.708
2012-08-02,3.083
2012-08-03,3.087
2012-08-04,3.417
2012-08-05,2.875
2012-08-06,3.227
2012-08-07,3.167
2012-08-08,3.583
2012-08-09,3.125
2012-08-10,4.708
2012-08-11,4.875
2012-08-12,3.375
2012-08-13,3.304
2012-08-14,4.458
2012-08-15,3.083
2012-08-16,3.583
2012-08-17,3.875
2012-08-18,3.333
2012-08-19,4.0
2012-08-20,4.043
2012-08-21,4.682
2012-08-22,4.708
2012-08-23,4.792
2012-08-24,3.958
2012-08-25,3.792
2012-08-26,2.75
2012-08-27,2.542
2012-08-28,4.522
2012-08-29,4.292
2012-08-30,3.083
2012-08-31,2.208
2012-09-01,4.167
2012-09-02,3.042
2012-09-03,3.417
2012-09-04,4.304
2012-09-05,4.167
2012-09-06,2.727
2012-09-07,4.5
2012-09-08,3.667
2012-09-09,3.417
2012-09-10,2.875
2012-09-11,4.083
2012-09-12,4.083
2012-09-13,4.13
2012-09-14,5.125
2012-09-15,4.417
2012-09-16,4.042
2012-09-17,2.375
2012-09-18,2.667
2012-09-19,4.0
2012-09-20,4.238
2012-09-21,4.083
2012-09-22,4.167
2012-09-23,3.875
2012-09-24,5.583
2012-09-25,5.25
2012-09-26,8.125
2012-09-27,4.696
2012-09-28,4.833
2012-09-29,4.667
2012-09-30,4.75
2012-10-01,5.375
2012-10-02,6.0
2012-10-03,4.917
2012-10-04,5.333
2012-10-05,5.292
2012-10-06,5.75
2012-10-07,4.542
2012-10-08,4.25
2012-10-09,5.435
2012-10-10,4.083
2012-10-11,4.542
2012-10-12,5.208
2012-10-13,4.792
2012-10-14,4.375
2012-10-15,6.167
2012-10-16,6.696
2012-10-17,7.208
2012-10-18,5.182
2012-10-19,5.625
2012-10-20,4.5
2012-10-21,4.333
2012-10-22,3.375
2012-10-23,4.292
2012-10-24,5.042
2012-10-25,5.957
2012-10-26,5.583
2012-10-27,6.25
2012-10-28,4.542
2012-10-29,6.458
2012-10-30,6.5
2012-10-31,4.958
2012-11-01,3.958
2012-11-02,5.75
2012-11-03,5.417
2012-11-04,5.25
2012-11-05,6.5
2012-11-06,5.739
2012-11-07,3.875
2012-11-08,6.25
2012-11-09,6.792
2012-11-10,6.625
2012-11-11,5.708
2012-11-12,3.875
2012-11-13,3.435
2012-11-14,3.917
2012-11-15,6.5
2012-11-16,5.25
2012-11-17,4.583
2012-11-18,5.667
2012-11-19,4.083
2012-11-20,6.042
2012-11-21,5.958
2012-11-22,7.217
2012-11-23,6.292
2012-11-24,5.542
2012-11-25,5.208
2012-11-26,5.227
2012-11-27,5.5
2012-11-28,4.917
2012-11-29,7.75
2012-11-30,8.458
2012-12-01,6.125
2012-12-02,5.917
2012-12-03,6.957
2012-12-04,3.583
2012-12-05,5.125
2012-12-06,4.375
2012-12-07,5.5
2012-12-08,3.625
2012-12-09,3.042
2012-12-10,3.783
2012-12-11,4.208
2012-12-12,6.042
2012-12-13,5.111
2012-12-14,8.231
2012-12-15,9.625
2012-12-16,5.625
2012-12-17,8.208
2012-12-18,4.917
2012-12-19,5.083
2012-12-20,5.708
