date,SO2_mean,SPM_mean
2012-01-09,3.167,18.5
2012-01-10,2.167,10.958
2012-01-11,2.292,9.375
2012-01-12,2.917,22.958
2012-01-13,3.042,47.167
2012-01-14,1.833,12.5
2012-01-15,2.136,20.333
2012-01-16,2.292,21.583
2012-01-17,2.583,26.042
2012-01-18,1.417,8.083
2012-01-19,2.042,13.083
2012-01-20,2.875,22.917
2012-01-21,3.958,47.208
2012-01-22,1.348,32.5
2012-01-23,1.833,14.417
2012-01-24,1.667,20.083
2012-01-25,2.667,20.708
2012-01-26,4.833,19.208
2012-01-27,2.125,9.75
2012-01-28,1.87,14.391
2012-01-29,2.826,18.625
2012-01-30,3.125,33.667
2012-01-31,4.083,51.875
2012-02-01,3.083,72.5
2012-02-02,1.917,50.667
2012-02-03,2.25,20.333
2012-02-04,2.174,45.652
2012-02-05,3.435,28.083
2012-02-06,1.917,22.417
2012-02-07,2.75,23.042
2012-02-08,2.0,7.833
2012-02-09,2.208,13.083
2012-02-10,2.583,17.583
2012-02-11,3.833,29.958
2012-02-12,4.333,25.182
2012-02-13,3.292,21.625
2012-02-14,3.75,19.625
2012-02-15,2.667,19.333
2012-02-16,2.5,16.458
2012-02-17,4.042,17.292
2012-02-18,3.167,32.042
2012-02-19,1.909,15.522
2012-02-20,1.958,11.083
2012-02-21,3.75,19.958
2012-02-22,3.917,22.542
2012-02-23,4.292,37.042
2012-02-24,2.667,15.292
2012-02-25,4.125,16.583
2012-02-26,4.636,36.261
2012-02-27,2.125,26.833
2012-02-28,3.208,26.917
2012-03-01,3.833,36.375
2012-03-02,3.042,26.125
2012-03-03,2.958,21.375
2012-03-04,4.217,26.348
2012-03-05,4.087,45.542
2012-03-06,3.083,22.833
2012-03-07,5.958,42.75
2012-03-08,4.25,43.792
2012-03-09,6.583,75.167
2012-03-10,2.667,29.875
2012-03-11,2.208,17.333
2012-03-12,4.783,35.792
2012-03-13,2.875,53.792
2012-03-14,1.583,16.542
2012-03-15,3.542,20.792
2012-03-16,2.792,27.917
2012-03-17,3.167,62.583
2012-03-18,2.13,40.174
2012-03-19,3.957,49.667
2012-03-20,2.792,60.0
2012-03-21,2.292,13.792
2012-03-22,3.542,29.792
2012-03-23,2.417,25.083
2012-03-24,3.625,43.833
2012-03-25,1.889,30.526
2012-03-26,2.348,18.167
2012-03-27,1.542,35.958
2012-03-28,2.083,46.708
2012-03-29,3.708,48.625
2012-03-30,3.167,33.958
2012-03-31,3.583,33.292
2012-04-01,2.25,25.917
2012-04-02,2.917,29.458
2012-04-03,1.87,32.625
2012-04-04,2.167,19.375
2012-04-05,2.667,30.833
2012-04-06,1.625,19.542
2012-04-07,1.167,16.5
2012-04-08,3.458,26.75
2012-04-09,4.5,36.958
2012-04-10,4.333,61.955
2012-04-11,1.0,53.875
2012-04-12,1.708,32.375
2012-04-13,2.208,27.375
2012-04-14,1.25,27.5
2012-04-15,3.083,27.042
2012-04-16,4.042,43.125
2012-04-17,3.727,26.826
2012-04-18,3.458,39.875
2012-04-19,3.0,45.458
2012-04-20,2.375,56.542
2012-04-21,2.292,39.917
2012-04-22,1.292,11.458
2012-04-23,2.75,38.083
2012-04-24,3.857,65.864
2012-04-25,5.042,66.083
2012-04-26,1.417,31.25
2012-04-27,3.75,20.875
2012-04-28,6.958,25.833
2012-04-29,4.75,37.917
2012-04-30,2.083,41.333
2012-05-01,4.609,36.667
2012-05-02,1.292,24.542
2012-05-03,1.0,12.417
2012-05-04,1.0,12.208
2012-05-05,2.167,24.667
2012-05-06,2.75,27.708
2012-05-07,4.125,51.333
2012-05-08,5.696,97.417
2012-05-09,3.957,67.783
2012-05-10,3.958,45.375
2012-05-11,1.5,9.958
2012-05-12,2.083,15.042
2012-05-13,4.667,21.458
2012-05-14,4.292,48.417
2012-05-15,1.391,40.5
2012-05-16,1.583,33.625
2012-05-17,5.261,46.174
2012-05-18,2.083,30.667
2012-05-19,5.208,36.708
2012-05-20,4.0,36.458
2012-05-21,2.167,34.583
2012-05-22,3.318,33.043
2012-05-23,3.0,31.542
2012-05-24,2.958,32.833
2012-05-25,1.917,30.958
2012-05-26,1.958,48.542
2012-05-27,1.917,30.5
2012-05-28,2.25,33.917
2012-05-29,3.5,49.391
2012-05-30,2.708,44.542
2012-05-31,2.333,48.042
2012-06-01,2.917,38.708
2012-06-02,3.167,55.958
2012-06-03,3.125,50.125
2012-06-04,2.917,37.75
2012-06-05,2.864,36.652
2012-06-06,2.375,33.0
2012-06-07,4.875,46.833
2012-06-08,2.625,54.958
2012-06-09,1.458,18.25
2012-06-10,3.167,28.0
2012-06-11,3.826,42.739
2012-06-12,1.783,44.333
2012-06-13,2.25,31.208
2012-06-14,4.042,36.208
2012-06-15,2.167,35.417
2012-06-16,1.25,31.0
2012-06-17,1.625,22.417
2012-06-18,3.5,37.5
2012-06-19,2.0,24.913
2012-06-20,2.292,15.5
2012-06-21,2.125,19.542
2012-06-22,3.0,21.625
2012-06-23,3.167,31.583
2012-06-24,2.125,58.792
2012-06-25,2.25,46.5
2012-06-26,2.818,51.174
2012-06-27,2.125,31.375
2012-06-28,1.875,31.042
2012-06-29,4.25,35.875
2012-06-30,2.375,65.417
2012-07-01,1.167,40.917
2012-07-02,1.375,27.583
2012-07-03,2.522,25.75
2012-07-04,2.458,24.583
2012-07-05,2.5,27.708
2012-07-06,3.75,40.125
2012-07-07,2.042,25.125
2012-07-08,3.292,21.583
2012-07-09,5.0,32.5
2012-07-10,2.714,39.818
2012-07-11,0.125,38.833
2012-07-12,0.708,52.792
2012-07-13,0.833,52.0
2012-07-14,0.625,50.375
2012-07-15,1.958,63.083
2012-07-16,1.75,28.792
2012-07-17,3.043,28.667
2012-07-18,1.708,27.667
2012-07-19,2.917,34.667
2012-07-20,2.667,31.625
2012-07-21,2.5,44.958
2012-07-22,2.208,54.5
2012-07-23,3.13,41.522
2012-07-24,3.13,43.042
2012-07-25,3.583,43.417
2012-07-26,3.25,42.667
2012-07-27,3.833,45.417
2012-07-28,3.0,56.417
2012-07-29,3.083,29.042
2012-07-30,3.75,44.667
2012-07-31,3.435,30.333
2012-08-01,2.458,26.125
2012-08-02,3.375,22.833
2012-08-03,4.375,27.792
2012-08-04,3.0,25.208
2012-08-05,2.958,27.583
2012-08-06,3.125,24.042
2012-08-07,1.286,31.045
2012-08-08,0.583,28.25
2012-08-09,0.083,29.25
2012-08-10,1.083,41.125
2012-08-11,0.167,75.042
2012-08-12,0.0,48.542
2012-08-13,0.0,33.208
2012-08-14,1.304,25.542
2012-08-15,1.917,35.125
2012-08-16,2.75,24.125
2012-08-17,3.417,32.208
2012-08-18,3.417,42.875
2012-08-19,2.5,30.708
2012-08-20,3.667,21.125
2012-08-21,2.227,20.913
2012-08-22,2.417,18.375
2012-08-23,2.208,22.125
2012-08-24,3.125,17.208
2012-08-25,3.75,20.458
2012-08-26,2.625,17.292
2012-08-27,2.0,12.208
2012-08-28,1.045,20.739
2012-08-29,1.792,19.875
2012-08-30,2.042,25.958
2012-08-31,1.917,22.25
2012-09-01,1.792,24.042
2012-09-02,2.875,27.583
2012-09-03,2.0,26.217
2012-09-04,3.391,33.917
2012-09-05,2.364,29.545
2012-09-06,3.375,21.0
2012-09-07,3.333,35.292
2012-09-08,2.792,30.917
2012-09-09,3.375,36.375
2012-09-10,3.125,21.208
2012-09-11,2.727,20.043
2012-09-12,3.792,32.458
2012-09-13,3.625,43.083
2012-09-14,3.25,48.75
2012-09-15,2.75,26.292
2012-09-16,1.5,24.25
2012-09-17,1.333,22.542
2012-09-18,2.727,25.087
2012-09-19,2.208,24.667
2012-09-20,2.417,26.125
2012-09-21,2.708,36.875
2012-09-22,3.391,35.304
2012-09-23,1.542,28.667
2012-09-24,1.826,13.478
2012-09-25,2.304,18.0
2012-09-26,2.875,19.75
2012-09-27,3.25,18.167
2012-09-28,2.917,19.208
2012-09-29,2.167,21.458
2012-09-30,1.667,12.958
2012-10-01,1.667,14.0
2012-10-02,2.182,14.478
2012-10-03,2.917,18.167
2012-10-04,1.875,13.958
2012-10-05,3.167,17.042
2012-10-06,3.5,22.333
2012-10-07,2.583,20.042
2012-10-08,3.0,16.917
2012-10-09,2.913,15.917
2012-10-10,4.042,23.958
2012-10-11,2.708,20.208
2012-10-12,2.375,18.792
2012-10-13,3.333,14.292
2012-10-14,3.708,22.333
2012-10-15,3.478,32.522
2012-10-16,2.739,30.25
2012-10-17,1.625,25.625
2012-10-18,1.625,16.5
2012-10-19,1.667,12.417
2012-10-20,3.042,22.0
2012-10-21,4.958,27.417
2012-10-22,4.917,38.75
2012-10-23,3.048,15.909
2012-10-24,4.167,18.167
2012-10-25,5.292,19.958
2012-10-26,7.417,35.292
2012-10-27,5.125,36.375
2012-10-28,4.583,32.5
2012-10-29,4.542,15.917
2012-10-30,1.435,23.083
2012-10-31,1.792,19.458
2012-11-01,1.609,17.217
2012-11-02,1.292,14.75
2012-11-03,1.375,20.875
2012-11-04,2.5,23.833
2012-11-05,1.708,28.417
2012-11-06,2.696,25.667
2012-11-07,2.458,23.583
2012-11-08,2.667,30.958
2012-11-09,3.125,30.667
2012-11-10,2.583,29.208
2012-11-11,2.083,18.417
2012-11-12,3.25,26.875
2012-11-13,2.55,23.381
2012-11-14,2.208,17.292
2012-11-15,1.5,12.917
2012-11-16,2.458,15.667
2012-11-17,1.708,17.167
2012-11-18,2.0,20.667
2012-11-19,2.792,20.792
2012-11-20,2.391,26.167
2012-11-21,2.875,23.167
2012-11-22,3.875,24.458
2012-11-23,2.25,28.042
2012-11-24,1.542,16.958
2012-11-25,2.292,18.0
2012-11-26,2.25,24.875
2012-11-27,1.045,12.522
2012-11-28,1.75,14.375
2012-11-29,1.917,24.875
2012-11-30,1.708,26.833
2012-12-01,2.125,18.375
2012-12-02,2.5,12.75
2012-12-03,2.875,27.458
2012-12-04,1.739,20.167
2012-12-05,1.583,9.5
2012-12-06,2.083,14.375
2012-12-07,2.0,15.167
2012-12-08,2.625,20.125
2012-12-09,2.583,11.583
2012-12-10,1.75,6.125
2012-12-11,2.136,9.304
2012-12-12,1.75,8.583
2012-12-13,2.292,11.125
2012-12-14,3.458,35.625
2012-12-15,2.375,59.958
2012-12-16,2.292,17.25
2012-12-17,2.792,26.708
2012-12-18,1.591,20.348
2012-12-19,1.0,10.625
2012-12-20,1.0,12.792
2012-12-21,2.7,20.364
2012-12-22,1.792,16.625
2012-12-23,2.042,19.167
2012-12-24,2.0,11.125
2012-12-25,2.087,19.083
2012-12-26,1.917,13.042
2012-12-27,2.565,12.043
2012-12-28,1.625,22.958
2012-12-29,1.762,17.0
2012-12-30,1.917,23.458
2012-12-31,2.0,10.667
2013-01-01,5.375,36.208
2013-01-02,5.625,26.833
2013-01-03,3.125,21.458
2013-01-04,3.042,23.0
2013-01-05,2.333,12.458
2013-01-06,2.5,11.917
2013-01-07,3.565,17.958
2013-01-08,1.917,48.167
2013-01-09,1.083,12.625
2013-01-10,1.083,8.667
2013-01-11,3.083,20.375
2013-01-12,2.167,26.0
2013-01-13,3.0,33.792
2013-01-14,2.182,19.304
2013-01-15,1.417,10.208
2013-01-16,1.5,9.25
2013-01-17,2.25,18.0
2013-01-18,5.0,33.125
2013-01-19,2.25,14.875
2013-01-20,3.958,32.875
2013-01-21,1.5,26.478
2013-01-22,1.083,19.292
2013-01-23,2.125,19.542
2013-01-24,3.75,23.667
2013-01-25,4.0,45.458
2013-01-26,0.208,19.708
2013-01-27,0.833,14.25
2013-01-28,2.545,17.043
2013-01-29,2.958,30.583
2013-01-30,2.792,57.667
2013-01-31,2.917,33.125
2013-02-01,4.125,40.25
2013-02-02,3.208,63.792
2013-02-03,2.833,73.958
2013-02-04,1.826,14.125
2013-02-05,1.667,10.833
2013-02-06,1.583,12.208
2013-02-07,1.292,16.125
2013-02-08,1.0,10.696
2013-02-09,1.542,8.083
2013-02-10,1.043,10.87
2013-02-11,2.087,7.417
2013-02-12,2.0,9.0
2013-02-13,2.0,8.5
2013-02-14,1.958,12.917
2013-02-15,1.917,9.542
2013-02-16,2.875,22.0
2013-02-17,3.542,27.042
2013-02-18,1.783,13.5
2013-02-19,2.25,12.667
2013-02-20,2.0,17.696
2013-02-21,1.875,13.625
2013-02-22,2.083,14.542
2013-02-23,2.125,17.208
2013-02-24,2.958,23.875
2013-02-25,3.227,41.217
2013-02-26,2.708,81.542
2013-02-27,1.75,71.333
2013-02-28,2.958,30.458
2013-03-01,2.042,61.25
2013-03-02,2.083,41.917
2013-03-03,2.292,12.75
2013-03-04,3.391,19.167
2013-03-05,1.958,33.583
2013-03-06,1.583,12.333
2013-03-07,1.75,9.542
2013-03-08,2.083,13.708
2013-03-09,2.917,27.542
2013-03-10,1.917,11.667
2013-03-11,1.158,13.15
2013-03-12,3.708,22.792
2013-03-13,0.458,28.167
2013-03-14,0.333,9.583
2013-03-15,1.333,26.375
2013-03-16,3.125,41.208
2013-03-17,3.083,50.25
