Station ID,Prefecture Code,Prefecture Name,City Code,City Name,Lat Deg,Lat Min,Lat Sec,Lon Deg,Lon Min,Lon Sec,Altitude (m),Year Start,Month Start,Day Start,Year End,Month End,Day End
1332020,1,Hokkai-do,1332,Fukushima-cho,41,33,27,140,16,9,100,1983,12,,,,
1333010,1,Hokkai-do,1333,Shiriuchi-cho,41,35,58,140,25,2,3,1983,12,,,,
1333020,1,Hokkai-do,1333,Shiriuchi-cho,41,33,55,140,25,30,7,1983,12,,,,
1333030,1,Hokkai-do,1333,Shiriuchi-cho,41,35,55,140,21,34,45,1983,12,,,,
1333040,1,Hokkai-do,1333,Shiriuchi-cho,41,35,55,140,19,2,32,1983,12,,,,
1334010,1,Hokkai-do,1334,Kikonai-cho,41,40,50,140,26,4,10,1983,12,,,,
1334020,1,Hokkai-do,1334,Kikonai-cho,41,42,16,140,30,20,15,1983,12,,,,
1335030,1,Hokkai-do,1236,Hokuto-shi,41,49,32,140,41,53,5,1976,10,,,,
1424010,1,Hokkai-do,1424,Naie-cho,43,25,36,141,52,30,18,1974,10,,,,
1571010,1,Hokkai-do,1571,Toyoura-cho,42,35,6,140,42,51,30,1976,4,,,,
1571020,1,Hokkai-do,1571,Toyoura-cho,42,36,33,140,43,40,230,1973,4,,,,
1572020,1,Hokkai-do,1584,Touyako-cho,42,34,6,140,48,10,107,1981,8,,,,
1572040,1,Hokkai-do,1584,Touyako-cho,42,33,3,140,46,2,20,1976,4,,,,
1572050,1,Hokkai-do,1584,Touyako-cho,42,35,58,140,47,7,110,1989,7,,,,
1573010,1,Hokkai-do,1584,Touyako-cho,42,38,56,140,49,48,91,1976,4,,,,
1573020,1,Hokkai-do,1584,Touyako-cho,42,37,57,140,47,3,275,1973,4,,,,
1574010,1,Hokkai-do,1233,Date-shi,42,37,24,141,1,20,310,1973,2,,,,
1575020,1,Hokkai-do,1575,Soubetsu-cho,42,33,38,140,54,14,80,1972,7,,,,
1575030,1,Hokkai-do,1575,Soubetsu-cho,42,34,14,141,0,40,305,1973,4,,,,
1575040,1,Hokkai-do,1575,Soubetsu-cho,42,33,23,140,53,5,65,1976,4,,,,
1578010,1,Hokkai-do,1578,Shiraoi-cho,42,33,3,141,21,20,6,1975,12,,,,
1579020,1,Hokkai-do,1585,Abira-cho,42,44,46,141,45,40,10,1975,12,,,,
1579030,1,Hokkai-do,1585,Abira-cho,42,45,28,141,47,54,15,1980,2,,,,
1581010,1,Hokkai-do,1581,Atsuma-cho,42,43,17,141,53,5,20,1975,12,,,,
1581020,1,Hokkai-do,1581,Atsuma-cho,42,38,42,141,50,59,5,1975,12,,,,
1582020,1,Hokkai-do,1586,Mukawa-cho,42,35,53,141,54,41,6,1975,12,,,,
1582030,1,Hokkai-do,1586,Mukawa-cho,42,34,44,141,55,33,5,1980,2,,,,
2201070,2,Aomori-ken,2201,Aomori-shi,40,49,9,140,45,44,10,1980,1,,,,
2201080,2,Aomori-ken,2201,Aomori-shi,40,48,50,140,44,1,4,2001,3,,,,
2201090,2,Aomori-ken,2201,Aomori-shi,40,49,31,140,40,28,29,2002,2,,,,
2201520,2,Aomori-ken,2201,Aomori-shi,40,49,27,140,45,9,1.3,2015,12,25,,,
2202060,2,Aomori-ken,2202,Hirosaki-shi,40,36,31,140,28,35,30,2001,3,,,,
2202510,2,Aomori-ken,2202,Hirosaki-shi,40,35,5,140,28,29,60,2001,3,,,,
2203050,2,Aomori-ken,2203,Hachinohe-shi,40,32,32,141,29,4,15,1974,4,,,,
2203220,2,Aomori-ken,2203,Hachinohe-shi,40,33,34,141,26,50,40,1977,4,,,,
2203240,2,Aomori-ken,2203,Hachinohe-shi,40,30,59,141,28,41,10,1996,4,,,,
2203260,2,Aomori-ken,2203,Hachinohe-shi,40,31,39,141,31,17,27.1,2010,4,1,,,
2203510,2,Aomori-ken,2203,Hachinohe-shi,40,30,34,141,29,28,20,1977,4,,,,
2204010,2,Aomori-ken,2204,Kuroishi-shi,40,39,4,140,35,40,46,2002,2,,,,
2205010,2,Aomori-ken,2205,Gosyogawara-shi,40,46,54,140,27,54,9,2002,2,,,,
2206030,2,Aomori-ken,2206,Towada-shi,40,36,30,141,12,9,70,2003,3,12,,,
2207020,2,Aomori-ken,2207,Misawa-shi,40,41,38,141,22,35,33,2003,3,10,,,
2208030,2,Aomori-ken,2208,Mutsu-shi,41,17,5,141,12,28,3,2003,3,14,,,
2321010,2,Aomori-ken,2321,Ajigasawa-Cho,40,46,58,140,14,19,12,2010,4,1,,,
2364510,2,Aomori-ken,2201,Aomori-shi,40,45,26,140,35,27,55,2002,2,,,,
2411010,2,Aomori-ken,2411,Rokkasho-Mura,40,58,7,141,22,25,6,1975,5,,,,
3201070,3,Iwate-ken,3201,Morioka-shi,39,39,16,141,9,30,115,2001,4,27,,,
3201550,3,Iwate-ken,3201,Morioka-shi,39,43,13,141,8,19,139,2001,4,27,,,
3202050,3,Iwate-ken,3202,Miyako-shi,39,38,39,141,56,57,3.1,2012,3,1,,,
3203090,3,Iwate-ken,3203,Oofunato-shi,39,5,43,141,42,16,16,2012,3,1,,,
3204010,3,Iwate-ken,3215,Ousyuu-shi,39,8,39,141,8,24,50,1989,4,1,,,
3205010,3,Iwate-ken,3205,Hanamaki-shi,39,23,24,141,6,57,75,1985,4,1,,,
3206010,3,Iwate-ken,3206,Kitakami-shi,39,17,13,141,6,41,60,2007,8,8,,,
3207010,3,Iwate-ken,3207,Kuji-shi,40,11,32,141,45,49,5,1977,4,1,,,
3209010,3,Iwate-ken,3209,Ichinoseki-shi,38,56,9,141,7,36,29,1982,3,1,,,
3209510,3,Iwate-ken,3209,Ichinoseki-shi,38,55,56,141,7,6,35,1995,4,1,,,
