date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-27,5.227,56.0,43.917,27.0,32.429,51.762,19.333,14.696,8.9,4.262,0.8
2011-01-28,3.583,60.0,41.0,28.0,26.25,34.625,8.375,14.208,5.4,3.096,1.3
2011-01-29,2.208,34.0,26.292,15.0,7.292,7.333,0.042,5.458,6.3,3.721,2.3
2011-01-30,3.167,37.0,28.958,21.0,18.208,19.625,1.417,7.375,5.4,3.921,1.8
2011-01-31,3.667,50.0,38.417,29.0,28.5,38.708,10.208,11.0,8.7,4.8,1.1
2011-02-01,3.5,49.0,37.75,30.0,11.042,11.458,0.417,12.083,11.4,7.5,2.3
2011-02-02,3.292,41.0,27.292,13.0,21.583,23.667,2.083,7.333,4.7,2.846,1.7
2011-02-03,4.261,57.0,38.167,24.0,25.87,31.478,5.609,9.304,5.6,3.104,-0.4
2011-02-04,3.75,51.0,38.333,26.0,21.625,28.208,6.583,10.167,11.0,6.788,1.2
2011-02-05,5.375,66.0,43.75,31.0,28.958,37.958,9.0,19.458,8.0,6.104,4.5
2011-02-06,5.667,87.0,75.542,61.0,43.458,62.792,19.333,43.708,6.3,5.225,4.4
2011-02-07,4.25,90.0,84.333,80.0,27.5,46.875,19.375,42.292,17.6,11.267,5.5
2011-02-08,3.167,84.0,52.083,36.0,22.458,26.167,3.708,10.042,9.5,6.579,3.3
2011-02-09,2.75,53.0,32.25,22.0,15.667,17.667,2.0,4.333,8.2,5.888,2.4
2011-02-10,3.174,75.0,43.792,30.0,25.7,31.95,6.25,12.583,9.3,6.292,3.9
2011-02-11,3.292,77.0,47.833,30.0,19.708,21.792,2.083,13.5,7.4,5.746,3.8
2011-02-12,2.583,46.0,34.458,25.0,21.833,26.167,4.333,11.208,8.4,5.617,3.2
2011-02-13,4.458,58.0,45.292,33.0,34.875,43.667,8.792,21.125,8.4,5.788,3.4
2011-02-14,4.042,81.0,71.292,47.0,38.542,48.5,9.958,38.292,6.8,5.7,4.7
2011-02-15,5.583,81.0,61.875,34.0,38.458,60.042,21.583,40.25,10.4,7.588,5.7
2011-02-16,3.583,78.0,56.417,35.0,22.083,24.167,2.083,15.125,5.4,3.475,2.0
2011-02-17,3.591,83.0,63.833,34.0,28.5,38.455,9.955,23.708,6.9,4.383,2.9
2011-02-18,4.2,82.0,38.143,17.0,10.95,11.4,0.45,11.3,5.9,3.076,1.5
2011-02-19,4.0,61.0,37.583,24.0,20.542,22.958,2.417,11.125,7.0,3.608,1.2
2011-02-20,4.5,58.0,42.917,25.0,34.292,42.833,8.542,16.083,9.7,5.717,1.8
2011-02-21,5.167,58.0,42.75,23.0,46.458,64.083,17.625,22.792,10.7,7.325,3.4
2011-02-22,4.292,69.0,58.0,52.0,23.042,25.958,2.917,27.5,8.7,7.892,6.8
2011-02-23,6.0,87.0,79.792,43.0,36.333,58.75,22.417,41.083,11.2,7.321,5.4
2011-02-24,4.0,71.0,44.208,27.0,19.682,20.636,0.955,27.458,12.9,11.042,8.7
2011-02-25,3.958,86.0,78.875,61.0,23.0,25.667,2.667,21.875,9.9,6.55,4.4
2011-02-26,3.167,60.0,47.125,31.0,15.333,16.792,1.458,8.583,7.5,6.271,4.1
2011-02-27,2.417,36.0,27.708,22.0,12.542,13.667,1.125,9.458,7.9,4.95,2.8
2011-02-28,2.708,63.0,44.917,30.0,17.5,19.875,2.375,10.083,5.6,3.604,1.7
2011-03-01,4.958,84.0,74.042,60.0,35.333,54.167,18.833,23.292,10.2,7.875,4.2
2011-03-02,3.87,88.0,83.708,76.0,32.652,43.348,10.696,22.417,9.3,7.279,5.1
2011-03-03,3.375,86.0,64.833,48.0,16.792,18.542,1.75,15.875,10.3,7.108,4.4
2011-03-04,3.958,83.0,61.708,54.0,16.833,17.875,1.042,20.583,6.8,6.029,4.5
2011-03-05,4.25,87.0,84.417,80.0,29.042,33.083,4.042,15.5,9.9,6.154,3.6
2011-03-06,6.458,87.0,79.625,56.0,32.958,63.208,30.25,38.667,17.9,13.017,10.0
2011-03-07,4.0,91.0,75.208,60.0,31.833,45.625,13.792,39.542,12.9,11.433,10.4
2011-03-08,2.917,80.0,68.708,61.0,20.125,22.375,2.25,19.708,10.3,8.912,7.7
2011-03-09,3.3,84.0,82.583,79.0,24.545,28.182,3.636,19.478,8.9,7.654,6.0
2011-03-10,2.875,85.0,75.792,64.0,14.125,14.875,0.75,4.292,7.4,5.625,3.5
2011-03-11,3.208,71.0,60.917,37.0,14.542,16.417,1.875,13.958,11.3,7.908,5.4
2011-03-12,2.667,57.0,33.458,24.0,11.0,11.542,0.542,5.042,11.0,7.746,5.0
2011-03-13,2.542,56.0,28.792,17.0,19.542,21.0,1.458,5.917,8.9,6.8,3.3
2011-03-14,2.667,67.0,51.708,34.0,21.375,23.625,2.25,9.542,10.1,7.217,4.5
2011-03-15,3.75,62.0,42.083,25.0,30.167,39.875,9.708,18.583,11.8,7.938,5.3
2011-03-16,2.591,53.0,40.417,23.0,17.45,19.95,2.5,16.833,11.6,8.192,4.8
2011-03-17,2.875,89.0,79.458,54.0,13.458,15.333,1.875,26.875,15.6,12.233,8.3
2011-03-18,5.833,88.0,82.583,77.0,38.292,59.167,20.875,52.542,11.0,9.988,8.9
2011-03-19,3.167,87.0,44.333,26.0,22.625,24.125,1.5,12.75,10.2,9.321,7.2
2011-03-20,3.417,55.0,40.333,28.0,25.0,27.375,2.375,14.708,11.8,8.208,4.9
2011-03-21,3.333,51.0,30.0,15.0,18.208,19.458,1.25,9.917,11.1,8.292,5.4
2011-03-22,5.429,64.0,48.25,31.0,52.833,77.292,24.458,27.25,16.4,10.396,6.0
2011-03-23,,88.0,67.917,40.0,45.136,59.545,14.409,39.458,12.0,9.938,8.1
2011-03-24,,87.0,75.583,38.0,30.667,36.0,5.333,23.083,11.5,9.271,8.0
2011-03-25,,55.0,37.75,23.0,13.042,13.625,0.583,7.667,13.8,10.583,8.3
2011-03-26,,54.0,36.042,25.0,24.833,27.25,2.417,12.583,9.9,8.038,6.3
2011-03-27,,63.0,41.0,24.0,26.125,31.5,5.375,14.375,13.1,9.417,5.9
2011-03-28,,63.0,47.083,24.0,26.167,33.208,7.042,28.125,17.9,11.15,7.1
2011-03-29,,48.0,36.125,18.0,14.833,16.75,1.917,14.042,15.2,11.621,8.3
2011-03-30,,58.0,50.875,42.0,5.045,5.045,0.0,16.917,17.7,15.321,12.9
2011-03-31,,80.0,60.125,45.0,5.958,6.0,0.042,19.667,19.0,14.629,8.2
2011-04-01,3.042,58.0,46.208,24.0,17.208,18.875,1.667,16.417,15.2,11.471,7.7
2011-04-02,3.375,62.0,45.833,29.0,15.208,15.917,0.708,26.417,20.0,15.425,10.8
2011-04-03,2.833,66.0,44.458,28.0,10.708,11.208,0.5,11.458,10.1,8.525,8.0
2011-04-04,2.375,59.0,41.083,17.0,15.417,16.625,1.208,11.625,12.9,8.971,6.8
2011-04-05,3.208,50.0,33.875,18.0,20.667,22.625,1.958,12.042,13.7,9.667,5.9
2011-04-06,3.417,64.0,44.5,15.0,26.833,34.5,7.667,19.708,18.2,13.254,8.7
2011-04-07,1.833,70.0,57.083,43.0,6.167,6.667,0.5,14.083,19.1,15.846,13.5
2011-04-08,1.591,77.0,60.542,50.0,5.273,6.045,0.773,17.167,18.0,16.762,15.6
2011-04-09,1.625,86.0,80.458,73.0,5.917,6.917,1.0,19.875,17.0,16.271,13.2
2011-04-10,3.292,86.0,66.458,40.0,16.792,18.458,1.667,16.875,16.8,13.4,11.0
2011-04-11,3.5,79.0,60.875,37.0,16.083,17.917,1.833,24.042,19.1,14.783,9.3
2011-04-12,2.542,71.0,35.583,15.0,11.125,11.708,0.583,17.375,15.6,11.379,8.5
2011-04-13,3.0,65.0,40.75,20.0,19.333,22.625,3.292,22.875,19.5,14.229,8.1
2011-04-14,4.417,67.0,48.167,14.0,32.292,37.833,5.542,33.167,21.3,16.1,11.5
2011-04-15,2.143,86.0,65.667,48.0,7.05,7.7,0.65,27.458,20.1,17.525,15.6
2011-04-16,2.458,86.0,61.917,29.0,10.208,11.208,1.0,22.417,21.9,17.725,13.7
2011-04-17,2.167,71.0,45.958,30.0,12.667,13.917,1.25,13.625,17.0,13.388,11.0
2011-04-18,2.375,76.0,64.458,52.0,15.792,18.0,2.208,14.792,16.5,14.562,13.1
2011-04-19,2.542,87.0,65.958,33.0,14.667,16.208,1.542,10.0,17.8,12.658,9.2
2011-04-20,2.75,67.0,57.625,43.0,20.0,23.125,3.125,8.25,15.3,11.404,8.2
2011-04-21,4.208,78.0,66.0,56.0,17.375,20.208,2.833,13.708,17.0,13.192,10.4
2011-04-22,2.565,77.0,63.375,43.0,16.381,18.476,2.095,19.5,18.9,15.921,12.0
2011-04-23,1.625,84.0,79.292,73.0,3.292,4.167,0.875,19.375,18.7,17.246,15.9
2011-04-24,2.792,78.0,46.875,30.0,8.167,9.417,1.25,13.458,19.4,16.438,13.8
2011-04-25,2.75,77.0,46.167,29.0,10.792,11.875,1.083,13.333,18.9,15.646,11.6
2011-04-26,2.875,71.0,46.542,31.0,20.458,25.292,4.833,18.792,19.7,16.288,11.6
2011-04-27,2.25,82.0,70.458,60.0,4.958,5.792,0.833,48.083,22.4,19.871,17.8
2011-04-28,2.591,85.0,55.125,33.0,7.5,8.5,1.0,21.0,22.2,18.804,14.9
2011-04-29,2.625,70.0,48.292,35.0,16.042,17.417,1.375,12.75,19.4,15.704,13.4
2011-04-30,2.625,78.0,62.0,41.0,10.917,12.0,1.083,19.917,20.0,17.383,13.4
2011-05-01,1.917,86.0,72.25,58.0,3.417,4.292,0.875,19.625,20.1,18.146,15.9
2011-05-02,3.167,82.0,51.333,21.0,20.0,24.708,4.708,62.0,23.5,19.183,16.2
2011-05-03,2.917,82.0,65.75,36.0,20.125,21.375,1.25,53.417,17.5,16.275,14.7
2011-05-04,2.75,80.0,63.542,44.0,10.292,11.458,1.167,21.625,20.3,17.054,14.2
2011-05-05,3.083,73.0,64.75,57.0,13.375,14.375,1.0,23.75,17.4,15.817,14.2
2011-05-06,3.478,76.0,67.917,59.0,22.5,25.273,2.773,24.542,18.6,16.046,13.6
2011-05-07,3.333,88.0,81.458,76.0,28.333,32.542,4.208,27.958,17.9,16.604,15.6
2011-05-08,2.958,84.0,55.25,27.0,11.75,13.458,1.708,22.292,25.2,20.862,15.2
2011-05-09,3.083,74.0,50.583,27.0,12.792,14.125,1.333,26.167,22.8,20.008,16.7
2011-05-10,2.417,87.0,68.667,48.0,13.833,15.667,1.833,32.167,27.8,22.362,17.9
2011-05-11,3.208,89.0,86.125,80.0,16.167,17.333,1.167,10.5,17.3,15.083,14.5
2011-05-12,3.957,90.0,86.875,82.0,26.609,29.87,3.261,11.609,16.8,15.629,14.7
2011-05-13,2.5,86.0,59.667,29.0,14.375,16.583,2.208,27.167,26.3,21.408,17.0
2011-05-14,3.083,74.0,47.583,27.0,14.125,15.208,1.083,41.667,23.9,20.596,17.3
2011-05-15,2.25,62.0,33.208,14.0,11.542,12.5,0.958,22.667,24.0,20.429,17.3
2011-05-16,2.125,68.0,51.792,25.0,9.083,10.083,1.0,30.5,24.0,20.371,18.5
2011-05-17,2.125,82.0,67.458,54.0,10.167,11.5,1.333,23.167,20.7,18.3,15.0
2011-05-18,3.542,84.0,63.208,33.0,21.542,27.75,6.208,29.917,23.4,18.867,14.9
2011-05-19,2.708,67.0,51.292,30.0,8.25,9.25,1.0,27.667,24.5,20.946,16.8
2011-05-20,2.5,71.0,61.792,52.0,5.545,6.545,1.0,33.208,24.4,21.171,18.8
2011-05-21,1.708,82.0,70.083,57.0,5.375,6.375,1.0,21.417,24.5,21.662,19.4
2011-05-22,2.042,84.0,75.917,61.0,8.25,9.917,1.667,13.458,24.9,20.092,16.2
2011-05-23,2.208,84.0,65.542,50.0,15.25,16.583,1.333,9.458,17.3,16.2,14.2
2011-05-24,2.5,85.0,73.583,59.0,18.125,19.542,1.417,10.5,17.1,14.538,12.6
2011-05-25,3.5,78.0,60.958,35.0,18.417,22.583,4.167,16.208,22.3,18.225,13.9
2011-05-26,2.875,80.0,70.5,58.0,22.5,25.333,2.833,20.542,20.8,19.008,17.3
2011-05-27,2.174,89.0,75.167,66.0,17.652,19.0,1.348,14.542,19.6,18.267,17.3
2011-05-28,3.833,90.0,88.375,86.0,24.792,26.583,1.792,13.667,19.4,18.367,17.1
2011-05-29,2.75,91.0,89.958,88.0,18.167,19.542,1.375,7.458,18.6,18.275,17.3
2011-05-30,2.167,88.0,70.583,52.0,12.042,12.667,0.625,4.625,21.0,17.942,16.5
2011-05-31,2.75,63.0,58.625,52.0,11.458,12.375,0.917,15.208,17.0,15.508,13.1
2011-06-01,2.625,65.0,58.792,49.0,14.833,16.708,1.875,29.417,18.3,15.542,13.0
2011-06-02,2.958,90.0,84.125,67.0,29.583,50.25,20.667,30.167,17.6,16.496,15.2
2011-06-03,3.739,87.0,73.167,55.0,21.217,26.783,5.565,27.136,23.6,19.479,15.6
2011-06-04,2.208,86.0,68.625,50.0,7.875,8.167,0.292,31.333,25.7,22.296,19.1
2011-06-05,1.542,78.0,66.458,53.0,4.25,4.5,0.25,29.875,25.1,22.708,19.7
2011-06-06,3.292,81.0,65.375,32.0,18.625,19.875,1.25,36.75,27.2,21.883,18.3
2011-06-07,2.375,82.0,70.625,49.0,11.583,11.875,0.292,34.833,23.4,21.367,19.8
2011-06-08,2.833,88.0,80.083,69.0,27.125,28.833,1.708,18.208,21.5,19.438,17.8
2011-06-09,3.083,82.0,70.458,43.0,15.375,17.167,1.792,22.333,25.7,21.375,18.5
2011-06-10,1.783,80.0,72.667,64.0,7.636,7.955,0.318,15.455,25.5,23.396,21.2
2011-06-11,2.542,87.0,82.708,76.0,17.542,18.667,1.125,34.625,23.7,22.333,20.9
2011-06-12,3.5,84.0,72.875,52.0,23.667,28.208,4.542,38.917,25.5,22.483,20.7
2011-06-13,2.792,90.0,80.958,70.0,24.583,27.125,2.542,22.875,23.7,20.879,18.5
2011-06-14,2.583,85.0,79.125,72.0,21.792,25.583,3.792,30.208,22.7,21.354,20.1
2011-06-15,2.542,84.0,63.125,51.0,16.833,18.667,1.833,12.833,22.8,21.279,20.0
2011-06-16,3.0,88.0,73.708,64.0,20.708,26.0,5.292,17.708,23.7,20.846,18.3
2011-06-17,2.409,89.0,85.083,80.0,17.864,19.591,1.727,12.417,20.7,19.35,18.0
2011-06-18,2.583,88.0,79.875,64.0,21.375,24.792,3.417,12.917,22.8,20.188,18.9
2011-06-19,3.375,87.0,79.0,66.0,19.167,21.375,2.208,22.792,24.0,21.517,19.9
2011-06-20,1.625,86.0,80.542,72.0,9.75,10.958,1.208,12.208,25.1,23.058,21.5
2011-06-21,1.542,80.0,72.583,62.0,6.167,7.667,1.5,11.875,27.2,24.692,23.3
2011-06-22,1.708,83.0,63.25,46.0,11.125,13.5,2.375,29.167,30.9,27.175,22.7
2011-06-23,1.708,78.0,68.875,61.0,5.125,7.458,2.333,25.0,28.9,26.771,24.8
2011-06-24,1.238,78.0,68.417,59.0,3.286,5.524,2.238,22.714,29.3,27.029,24.8
2011-06-25,2.083,82.0,69.75,49.0,13.042,16.583,3.542,24.167,32.5,25.688,21.0
2011-06-26,2.25,89.0,86.125,79.0,19.708,24.5,4.792,27.625,23.1,21.396,20.1
2011-06-27,2.042,91.0,83.5,73.0,13.708,25.25,11.542,31.417,28.2,24.375,21.1
2011-06-28,1.042,77.0,62.708,46.0,5.625,7.333,1.708,22.292,34.1,29.092,26.1
2011-06-29,2.708,80.0,62.417,44.0,25.917,36.042,10.125,38.042,34.7,28.892,24.9
2011-06-30,2.667,83.0,66.5,38.0,18.375,25.083,6.708,35.208,33.5,28.033,24.7
2011-07-01,2.435,82.0,64.0,36.0,13.381,16.571,3.19,38.208,34.5,28.217,25.5
2011-07-02,2.167,84.0,76.0,68.0,22.333,30.542,8.208,25.417,28.1,26.088,24.4
2011-07-03,2.167,85.0,71.125,49.0,10.458,15.583,5.125,32.208,31.7,27.5,24.5
2011-07-04,1.125,82.0,72.875,63.0,4.333,5.625,1.292,53.375,29.9,27.638,26.2
2011-07-05,2.042,80.0,67.583,58.0,9.375,10.5,1.125,31.5,30.3,27.212,24.5
2011-07-06,3.375,80.0,61.875,45.0,26.958,30.958,4.0,36.917,32.3,27.529,24.6
2011-07-07,0.917,83.0,73.125,64.0,4.958,6.25,1.292,19.542,27.7,26.1,24.3
2011-07-08,1.091,77.0,68.833,57.0,6.409,8.727,2.318,21.0,30.2,27.875,26.5
2011-07-09,1.083,80.0,72.667,60.0,7.167,9.833,2.667,21.417,31.2,27.658,26.0
2011-07-10,1.0,81.0,66.625,44.0,6.292,8.208,1.917,14.0,32.5,28.546,25.4
2011-07-11,1.167,81.0,65.792,47.0,6.375,9.333,2.958,15.042,33.0,29.258,26.0
2011-07-12,1.042,79.0,66.875,54.0,5.25,7.833,2.583,14.917,31.9,29.021,27.1
2011-07-13,1.0,75.0,63.417,50.0,6.458,8.875,2.417,12.375,32.3,28.729,26.3
2011-07-14,1.042,77.0,59.083,41.0,7.375,9.917,2.542,12.083,32.4,28.838,25.7
2011-07-15,1.043,80.0,58.583,37.0,9.905,12.333,2.429,15.875,33.3,29.4,26.1
2011-07-16,1.167,81.0,65.667,48.0,7.083,8.667,1.583,23.083,32.1,28.933,26.2
2011-07-17,1.0,78.0,65.125,47.0,4.25,6.125,1.875,17.917,33.4,29.525,26.4
2011-07-18,1.0,78.0,69.792,54.0,3.75,5.708,1.958,35.167,32.7,29.808,27.9
2011-07-19,0.958,81.0,76.583,70.0,4.0,6.167,2.167,40.667,29.6,28.133,25.4
2011-07-20,1.458,87.0,78.958,69.0,4.5,5.542,1.042,40.125,29.6,26.754,22.5
2011-07-21,1.125,88.0,71.167,55.0,7.542,8.792,1.25,16.792,22.6,21.383,19.7
2011-07-22,0.957,71.0,60.042,50.0,8.091,9.727,1.636,14.75,23.9,21.662,19.5
2011-07-23,1.667,79.0,66.917,57.0,15.292,18.208,2.917,14.25,24.9,22.829,20.6
2011-07-24,1.708,79.0,64.917,50.0,12.5,18.208,5.708,19.583,30.0,26.462,23.6
2011-07-25,1.083,77.0,64.792,50.0,6.792,7.917,1.125,22.917,30.9,27.921,25.6
2011-07-26,1.542,78.0,70.708,63.0,6.25,7.5,1.25,17.875,28.6,27.142,26.3
2011-07-27,1.417,77.0,66.542,57.0,5.792,7.458,1.667,14.458,29.9,28.012,26.6
2011-07-28,3.167,87.0,76.125,63.0,23.667,32.25,8.583,36.458,29.3,26.712,25.1
2011-07-29,3.318,85.0,75.5,54.0,18.409,22.727,4.318,48.25,30.2,26.817,25.2
2011-07-30,3.083,88.0,79.708,57.0,21.958,26.0,4.042,30.333,28.4,25.625,23.7
2011-07-31,2.167,86.0,81.167,77.0,13.75,16.75,3.0,29.375,24.5,23.846,23.0
2011-08-01,2.917,80.0,70.625,60.0,19.5,25.708,6.208,31.792,27.2,24.538,22.7
2011-08-02,3.167,83.0,73.292,57.0,21.667,26.042,4.375,36.25,29.3,25.238,23.0
2011-08-03,2.5,85.0,78.125,65.0,20.542,31.5,10.958,29.208,28.1,25.871,24.0
2011-08-04,1.667,88.0,79.792,67.0,13.333,24.083,10.75,28.0,27.9,26.133,24.5
2011-08-05,1.045,86.0,71.5,55.0,7.318,11.5,4.182,13.167,32.0,28.104,24.9
2011-08-06,1.333,80.0,68.167,52.0,8.208,11.333,3.125,17.708,32.4,29.062,26.6
2011-08-07,2.292,81.0,69.667,45.0,15.5,19.583,4.083,33.0,33.9,29.062,26.9
2011-08-08,2.25,81.0,68.25,48.0,17.125,20.625,3.5,30.25,34.1,29.246,26.4
2011-08-09,1.417,79.0,68.458,51.0,9.5,11.958,2.458,30.125,33.4,29.775,27.4
2011-08-10,1.167,77.0,66.542,50.0,6.708,7.833,1.125,37.333,33.9,30.333,28.1
2011-08-11,1.826,76.0,63.125,47.0,8.05,9.25,1.2,52.5,35.3,31.162,28.2
2011-08-12,3.542,82.0,65.417,41.0,13.75,15.583,1.833,60.125,35.4,30.275,27.6
2011-08-13,2.125,80.0,71.167,47.0,12.167,13.958,1.792,58.583,34.4,29.308,27.3
2011-08-14,1.583,81.0,67.708,50.0,5.0,6.042,1.042,58.708,33.9,30.067,27.6
2011-08-15,1.125,77.0,66.5,51.0,4.75,5.958,1.208,38.125,33.3,29.946,27.9
2011-08-16,1.958,77.0,64.583,47.0,8.417,9.542,1.125,42.625,34.4,30.238,28.1
2011-08-17,2.167,75.0,61.625,43.0,8.208,9.25,1.042,47.667,34.9,30.846,28.4
2011-08-18,1.125,79.0,65.042,54.0,5.417,6.708,1.292,52.583,33.0,30.408,28.0
2011-08-19,2.318,84.0,75.667,59.0,15.091,17.682,2.591,35.708,32.1,26.208,22.5
2011-08-20,1.917,80.0,70.75,64.0,21.167,24.333,3.167,16.417,25.5,24.312,22.8
2011-08-21,1.583,88.0,83.75,78.0,13.833,15.167,1.333,13.708,23.7,21.588,20.6
2011-08-22,2.792,89.0,83.792,79.0,28.75,36.917,8.167,23.875,23.9,22.3,20.7
2011-08-23,2.583,89.0,75.75,59.0,16.833,23.875,7.042,44.792,30.8,26.929,23.0
2011-08-24,1.458,82.0,71.042,60.0,7.083,10.792,3.708,23.292,31.6,28.546,26.0
2011-08-25,0.833,83.0,74.792,63.0,6.667,10.667,4.0,18.75,30.0,27.938,26.0
2011-08-26,1.545,87.0,70.25,48.0,10.955,13.818,2.864,16.167,32.7,28.038,24.1
2011-08-27,2.583,85.0,78.5,71.0,18.5,22.0,3.5,23.958,26.8,24.958,23.9
2011-08-28,2.292,81.0,70.667,54.0,13.625,15.0,1.375,23.5,28.5,25.729,23.6
2011-08-29,2.625,82.0,73.917,62.0,21.25,26.25,5.0,26.875,28.1,26.083,24.3
2011-08-30,1.667,88.0,71.208,53.0,18.042,21.417,3.375,19.917,28.7,25.8,23.3
2011-08-31,1.667,85.0,76.583,65.0,17.167,24.958,7.792,22.667,29.1,26.121,23.1
2011-09-01,1.208,87.0,75.583,56.0,5.75,12.542,6.792,26.083,31.8,28.304,26.1
2011-09-02,1.174,86.0,71.167,51.0,4.5,8.409,3.909,30.875,33.3,28.971,26.2
2011-09-03,1.042,77.0,69.583,60.0,2.0,3.417,1.417,43.625,31.1,28.779,27.5
2011-09-04,1.042,75.0,66.75,55.0,3.083,4.583,1.5,26.625,30.9,28.383,26.6
2011-09-05,1.792,84.0,75.333,61.0,11.083,15.25,4.167,26.25,29.6,27.042,24.6
2011-09-06,1.583,83.0,64.25,41.0,15.875,19.667,3.792,13.667,29.3,26.196,23.7
2011-09-07,2.5,80.0,61.833,47.0,18.125,20.708,2.583,23.583,29.0,25.171,21.6
2011-09-08,2.417,74.0,59.417,32.0,15.208,17.875,2.667,27.375,30.3,26.446,22.4
2011-09-09,1.565,78.0,66.958,53.0,8.227,10.364,2.136,25.167,32.1,28.467,26.0
2011-09-10,1.208,80.0,67.542,53.0,7.292,9.75,2.458,20.875,31.9,28.958,26.5
2011-09-11,1.167,84.0,71.5,53.0,10.333,18.083,7.75,17.167,31.5,27.912,26.1
2011-09-12,1.167,83.0,65.292,45.0,7.583,12.167,4.583,15.833,33.0,28.825,25.8
2011-09-13,1.208,79.0,64.625,47.0,7.0,9.167,2.167,19.292,32.5,28.942,26.6
2011-09-14,1.083,73.0,62.0,39.0,6.875,9.292,2.417,14.875,33.5,29.088,26.5
2011-09-15,1.208,82.0,66.333,46.0,7.958,14.417,6.458,13.333,31.8,28.512,25.7
2011-09-16,1.091,83.0,66.792,47.0,6.045,8.909,2.864,14.913,32.3,28.85,26.5
2011-09-17,1.167,83.0,72.042,61.0,4.167,6.583,2.417,20.708,30.8,28.396,26.7
2011-09-18,1.0,78.0,67.0,47.0,4.292,6.167,1.875,14.125,31.7,28.588,26.6
2011-09-19,1.75,85.0,69.042,45.0,8.625,12.542,3.917,23.458,32.1,27.492,22.2
2011-09-20,3.25,89.0,84.5,81.0,24.708,38.458,13.75,25.208,22.4,21.638,20.9
2011-09-21,1.542,89.0,81.542,70.0,10.522,15.652,5.13,34.375,27.9,23.371,18.6
2011-09-22,1.318,76.0,63.458,44.0,8.727,10.136,1.409,13.167,30.6,25.192,21.1
2011-09-23,2.583,77.0,59.208,45.0,19.833,23.458,3.625,14.125,23.0,21.488,20.1
2011-09-24,1.833,71.0,50.0,32.0,15.833,19.708,3.875,12.583,24.1,21.392,19.4
2011-09-25,2.75,66.0,55.5,43.0,11.5,12.708,1.208,12.542,23.1,21.229,19.8
2011-09-26,2.5,75.0,68.125,60.0,25.833,28.917,3.083,17.917,20.4,19.583,18.6
2011-09-27,2.5,72.0,64.542,56.0,19.917,23.292,3.375,18.75,22.8,20.5,18.9
2011-09-28,2.417,71.0,61.75,53.0,17.708,20.042,2.333,17.792,23.1,20.688,18.8
2011-09-29,3.167,66.0,61.875,50.0,23.333,27.375,4.042,23.542,25.4,21.629,18.5
