date,CH4_mean,CO_mean,NMHC_mean,PM25_mean,THC_mean
2011-04-01,195.0,8.826,20.333,,215.333
2011-04-02,196.625,8.217,25.333,,221.958
2011-04-03,190.583,4.875,6.292,,196.875
2011-04-04,191.75,6.375,11.458,,203.208
2011-04-05,194.792,7.609,18.208,,213.0
2011-04-06,192.083,5.833,20.167,,212.25
2011-04-07,198.87,7.565,28.696,,227.565
2011-04-08,193.545,6.174,27.273,,220.818
2011-04-09,191.125,6.875,17.458,,208.583
2011-04-10,197.125,7.208,14.125,,211.25
2011-04-11,194.625,7.783,20.625,,215.25
2011-04-12,192.25,6.0,14.375,,206.625
2011-04-13,197.583,8.25,32.417,,230.0
2011-04-14,195.136,7.636,35.318,,230.455
2011-04-15,194.348,8.625,22.739,,217.087
2011-04-16,194.292,6.833,16.042,,210.333
2011-04-17,192.292,5.565,8.958,,201.25
2011-04-18,192.773,6.261,18.091,,210.864
2011-04-19,191.875,6.792,14.125,,206.0
2011-04-20,191.833,7.261,12.708,,204.542
2011-04-21,195.875,7.167,24.208,,220.083
2011-04-22,199.174,11.167,46.652,,245.826
2011-04-23,193.667,10.043,29.0,,222.667
2011-04-24,192.792,6.458,13.042,,205.833
2011-04-25,193.333,6.208,24.958,,218.292
2011-04-26,192.333,6.652,20.25,,212.583
2011-04-27,189.167,4.375,13.125,,202.292
2011-04-28,188.136,7.13,17.636,,205.773
2011-04-29,194.217,6.348,16.304,,210.522
2011-04-30,197.875,7.25,20.333,,218.208
2011-05-01,196.208,7.667,17.333,,213.542
2011-05-02,194.167,7.652,16.583,,210.75
2011-05-03,200.042,9.125,21.083,,221.125
2011-05-04,195.792,6.708,16.0,,211.792
2011-05-05,192.583,5.739,9.458,,202.042
2011-05-06,192.348,7.375,18.043,,210.391
2011-05-07,187.292,5.75,12.542,,199.833
2011-05-08,188.542,6.696,6.625,,195.167
2011-05-09,192.542,6.792,14.167,,206.708
2011-05-10,186.958,6.167,13.0,,199.958
2011-05-11,185.435,8.273,22.522,,207.957
2011-05-12,186.958,8.625,23.75,,210.708
2011-05-13,190.652,7.125,10.696,,201.348
2011-05-14,193.125,7.391,8.208,,201.333
2011-05-15,195.167,6.542,13.5,,208.667
2011-05-16,196.042,7.25,15.583,,211.625
2011-05-17,194.958,6.609,15.458,,210.417
2011-05-18,197.545,6.913,25.773,,223.318
2011-05-19,198.458,7.625,21.208,,219.667
2011-05-20,188.783,6.0,10.174,,198.957
2011-05-21,188.583,6.792,11.375,,199.958
2011-05-22,185.792,7.625,7.25,,193.042
2011-05-23,187.292,7.087,14.75,,202.042
2011-05-24,187.75,6.375,16.083,,203.833
2011-05-25,192.478,7.0,20.609,,213.087
2011-05-26,191.042,8.043,19.125,,210.167
2011-05-27,188.652,6.833,16.13,,204.783
2011-05-28,191.583,8.875,20.583,,212.167
2011-05-29,185.0,5.174,9.5,,194.5
2011-05-30,182.958,6.5,8.875,,191.833
2011-05-31,187.833,7.042,15.625,,203.458
2011-06-01,190.522,8.455,22.13,,212.652
2011-06-02,190.958,7.75,18.625,,209.583
2011-06-03,193.652,8.0,28.913,,222.565
2011-06-04,191.875,5.826,12.167,,204.042
2011-06-05,188.375,5.542,6.583,,194.958
2011-06-06,194.0,7.292,19.542,,213.542
2011-06-07,194.708,9.522,27.167,,221.875
2011-06-08,186.0,4.826,16.957,,202.957
2011-06-09,186.75,6.708,11.125,,197.875
2011-06-10,194.783,5.478,19.478,,214.261
2011-06-11,188.458,7.625,13.333,,201.792
2011-06-12,195.375,8.25,20.0,,215.375
2011-06-13,192.75,5.652,21.417,,214.167
2011-06-14,190.083,8.083,18.75,,208.833
2011-06-15,190.737,8.783,21.421,,212.158
2011-06-16,192.25,8.217,22.042,,214.292
2011-06-17,191.522,6.625,23.348,,214.87
2011-06-18,197.0,10.375,32.625,,229.625
2011-06-19,198.083,7.13,18.042,,216.125
2011-06-20,196.583,9.417,29.667,,226.25
2011-06-21,188.792,6.25,18.917,,207.708
2011-06-22,190.409,8.136,17.273,,207.682
2011-06-23,182.917,5.333,10.917,,193.833
2011-06-24,183.174,5.792,10.696,,193.87
2011-06-25,182.167,3.826,9.083,,191.25
2011-06-26,184.25,4.917,11.042,,195.292
2011-06-27,184.542,3.375,14.292,,198.833
2011-06-28,183.667,6.087,9.583,,193.25
2011-06-29,183.292,4.917,17.667,,200.958
2011-06-30,186.5,4.958,20.458,,206.958
2011-07-01,184.273,2.727,15.909,,200.182
2011-07-02,186.0,4.25,11.625,,197.625
2011-07-03,186.667,7.333,10.0,,196.667
2011-07-04,183.0,5.522,10.792,,193.792
2011-07-05,190.333,6.25,15.833,,206.167
2011-07-06,192.208,6.5,21.333,,213.542
2011-07-07,181.75,5.083,13.292,,195.042
2011-07-08,180.091,4.87,12.182,,192.273
2011-07-09,179.667,4.087,9.375,,189.042
2011-07-10,181.583,4.375,10.417,,192.0
2011-07-11,181.125,5.458,11.167,,192.292
2011-07-12,185.167,6.087,19.542,,204.708
2011-07-13,184.913,5.391,15.652,,200.565
2011-07-14,179.25,4.542,9.833,,189.083
2011-07-15,181.739,3.957,16.478,,198.217
2011-07-16,180.417,5.667,11.042,,191.458
2011-07-17,180.792,5.833,11.458,,192.25
2011-07-18,176.625,3.87,11.417,,188.042
2011-07-19,173.625,5.125,17.042,,190.667
2011-07-20,173.333,4.792,11.792,,185.125
2011-07-21,179.417,7.261,16.708,,196.125
2011-07-22,183.273,5.609,15.318,,198.591
2011-07-23,183.75,4.625,8.958,,192.708
2011-07-24,185.792,5.087,10.25,,196.042
2011-07-25,191.125,5.667,12.625,,203.75
2011-07-26,186.208,6.792,13.292,,199.5
2011-07-27,181.292,6.043,8.375,,189.667
2011-07-28,181.167,6.625,17.542,,198.708
2011-07-29,184.909,6.826,26.636,,211.545
2011-07-30,183.042,5.391,16.208,,199.25
2011-07-31,184.083,5.042,10.458,,194.542
2011-08-01,185.667,7.083,18.875,,204.542
2011-08-02,184.833,7.435,16.25,,201.083
2011-08-03,178.391,5.0,17.13,,195.522
2011-08-04,179.042,6.25,16.75,,195.792
2011-08-05,182.522,7.652,21.696,,204.217
2011-08-06,183.875,5.375,17.333,,201.208
2011-08-07,179.208,4.458,7.458,,186.667
2011-08-08,179.958,5.087,9.667,,189.625
2011-08-09,182.5,5.792,15.542,,198.042
2011-08-10,179.542,5.458,13.083,,192.625
2011-08-11,179.292,3.609,11.5,,190.792
2011-08-12,182.571,6.565,16.381,,198.952
2011-08-13,181.792,5.917,10.833,,192.625
2011-08-14,179.333,4.478,5.083,,184.417
2011-08-15,181.0,3.375,5.292,,186.292
2011-08-16,181.174,4.0,6.391,,187.565
2011-08-17,181.208,7.391,8.375,,189.583
2011-08-18,179.208,4.917,8.708,,187.917
2011-08-19,189.435,7.542,12.043,,201.478
2011-08-20,189.5,8.261,20.292,,209.792
2011-08-21,191.917,7.333,18.875,,210.792
2011-08-22,189.292,6.542,18.625,,207.917
2011-08-23,183.696,7.136,13.652,,197.348
2011-08-24,184.208,5.333,16.625,,200.833
2011-08-25,185.5,5.625,18.0,,203.5
2011-08-26,181.696,6.043,19.739,,201.435
2011-08-27,182.583,8.5,22.917,,205.5
2011-08-28,182.0,4.792,14.083,,196.083
2011-08-29,182.292,7.739,18.625,,200.917
2011-08-30,182.0,7.333,20.333,,202.333
2011-08-31,179.792,6.125,17.083,,196.875
2011-09-01,176.25,5.217,14.375,,190.625
2011-09-02,177.409,3.478,9.636,,187.045
2011-09-03,181.542,5.5,14.542,,196.083
2011-09-04,183.667,6.565,16.458,,200.125
2011-09-05,189.136,6.696,17.273,,206.409
2011-09-06,188.083,6.0,17.208,,205.292
2011-09-07,196.042,6.826,33.0,,229.042
2011-09-08,195.667,7.75,26.042,,221.708
2011-09-09,186.696,5.458,16.087,,202.783
2011-09-10,183.625,6.87,17.875,,201.5
2011-09-11,180.458,5.0,14.833,,195.292
2011-09-12,182.417,5.083,16.167,,198.583
2011-09-13,184.0,6.13,19.25,,203.25
2011-09-14,184.0,6.25,21.5,,205.5
2011-09-15,182.375,5.583,17.958,,200.333
2011-09-16,182.095,7.5,23.238,,205.333
2011-09-17,181.333,6.542,20.5,,201.833
2011-09-18,181.667,5.167,14.667,,196.333
2011-09-19,184.083,4.391,8.625,,192.708
2011-09-20,182.875,6.0,19.833,,202.708
2011-09-21,178.864,6.174,12.318,,191.182
2011-09-22,184.458,6.87,14.042,,198.5
2011-09-23,187.609,6.125,14.391,,202.0
2011-09-24,190.5,6.375,17.375,,207.875
2011-09-25,191.167,5.696,15.167,,206.333
2011-09-26,191.958,7.875,22.333,,214.292
2011-09-27,189.25,6.917,22.958,,212.208
2011-09-28,189.958,6.13,27.375,,217.333
2011-09-29,189.0,5.375,21.583,,210.583
2011-09-30,186.409,5.348,16.818,,203.227
2011-10-01,186.75,5.417,10.042,,196.792
2011-10-02,188.75,5.833,11.0,,199.75
2011-10-03,187.875,5.792,12.875,,200.75
2011-10-04,193.083,8.208,24.542,,217.625
2011-10-05,191.333,7.833,28.25,,219.583
2011-10-06,186.565,7.333,19.304,,205.87
2011-10-07,190.043,8.25,16.478,,206.522
2011-10-08,193.542,8.5,21.458,,215.0
2011-10-09,196.0,8.208,20.208,,216.208
2011-10-10,194.917,7.583,22.167,,217.083
2011-10-11,195.565,9.875,34.348,,229.913
2011-10-12,195.875,9.833,32.958,,228.833
2011-10-13,197.304,10.625,43.174,,240.478
2011-10-14,193.864,11.042,39.409,,233.273
2011-10-15,189.458,6.708,21.458,,210.917
2011-10-16,193.208,7.708,11.792,,205.0
2011-10-17,197.083,9.125,21.833,,218.917
2011-10-18,187.875,6.292,16.333,,204.208
2011-10-19,190.25,7.042,20.917,,211.167
2011-10-20,190.429,7.375,20.476,,210.905
2011-10-21,187.957,6.792,19.435,,207.391
2011-10-22,187.87,7.542,21.913,,209.783
2011-10-23,184.75,5.75,13.417,,198.167
2011-10-24,187.25,6.625,21.625,,208.875
2011-10-25,187.875,7.5,15.708,,203.583
2011-10-26,188.417,6.708,15.0,,203.417
2011-10-27,192.217,7.958,29.739,,221.957
2011-10-28,191.13,8.083,25.087,,216.217
2011-10-29,190.875,9.043,28.75,,219.625
2011-10-30,189.958,6.208,17.833,,207.792
2011-10-31,188.708,7.833,21.125,,209.833
2011-11-01,192.75,8.25,32.0,,224.75
2011-11-02,191.435,8.217,28.043,,219.478
2011-11-03,197.542,8.739,43.625,,241.167
2011-11-04,195.182,9.625,44.455,,239.636
2011-11-05,194.25,10.333,35.667,,229.917
2011-11-06,192.458,8.174,23.083,,215.542
2011-11-07,185.0,7.0,14.042,,199.042
2011-11-08,187.75,7.25,16.75,,204.5
2011-11-09,187.75,7.217,18.542,,206.292
2011-11-10,189.292,6.917,20.625,,209.917
2011-11-11,191.095,9.174,31.048,,222.143
2011-11-12,195.609,9.957,33.174,,228.783
2011-11-13,195.625,8.0,24.625,,220.25
2011-11-14,196.583,10.167,23.875,,220.458
2011-11-15,192.542,8.391,18.042,,210.583
2011-11-16,192.792,7.25,20.0,,212.792
2011-11-17,197.0,9.75,29.125,,226.125
2011-11-18,196.318,10.5,42.182,,238.5
2011-11-19,192.083,10.042,27.833,,219.917
2011-11-20,187.417,6.958,10.083,,197.5
2011-11-21,189.292,6.609,13.917,,203.208
2011-11-22,194.167,9.333,27.542,,221.708
2011-11-23,195.667,9.375,35.792,,231.458
2011-11-24,188.783,5.091,9.348,,198.13
2011-11-25,190.261,6.958,15.13,,205.391
2011-11-26,196.917,9.792,30.917,,227.833
2011-11-27,200.583,9.957,34.208,,234.792
2011-11-28,202.5,13.167,59.5,,262.0
2011-11-29,205.304,13.609,72.87,,278.174
2011-11-30,200.083,12.391,51.0,,251.083
2011-12-01,188.083,5.167,11.958,,200.042
2011-12-02,190.043,6.625,17.652,,207.696
2011-12-03,188.125,6.478,14.167,,202.292
2011-12-04,190.083,6.583,11.75,,201.833
2011-12-05,193.333,8.333,20.083,,213.417
2011-12-06,196.958,9.522,32.625,,229.583
2011-12-07,201.391,11.783,47.652,,249.043
2011-12-08,197.292,11.625,37.0,,234.292
2011-12-09,192.174,5.826,12.391,,204.565
2011-12-10,196.125,7.833,19.208,,215.333
2011-12-11,198.292,9.083,18.5,,216.792
2011-12-12,203.25,11.391,32.042,,235.292
2011-12-13,198.208,9.542,31.833,,230.042
2011-12-14,201.917,9.667,42.667,,244.583
2011-12-15,201.435,12.091,36.174,,237.609
2011-12-16,191.348,5.958,9.435,,200.783
2011-12-17,193.042,6.833,13.792,,206.833
2011-12-18,191.958,6.261,8.875,,200.833
2011-12-19,193.375,7.375,14.708,,208.083
2011-12-20,192.957,7.583,20.13,,213.087
2011-12-21,197.652,9.636,26.13,,223.783
2011-12-22,197.792,11.0,26.333,,224.125
2011-12-23,190.565,6.458,10.0,,200.565
2011-12-24,194.75,8.043,17.583,,212.333
2011-12-25,192.542,5.125,7.5,,200.042
2011-12-26,191.958,8.625,11.625,,203.583
2011-12-27,195.333,8.304,20.25,,215.583
2011-12-28,201.087,10.478,37.913,,239.0
2011-12-29,199.792,9.5,26.333,,226.125
2011-12-30,191.261,6.043,8.87,,200.13
2011-12-31,196.667,6.542,16.208,,212.875
2012-01-01,198.917,5.958,12.333,13.792,211.25
2012-01-02,199.917,5.958,14.583,21.792,214.5
2012-01-03,193.25,5.609,5.5,8.083,198.75
2012-01-04,194.217,6.125,10.13,6.75,204.348
2012-01-05,199.333,6.875,18.0,10.583,217.333
2012-01-06,200.042,7.667,18.917,15.667,218.958
2012-01-07,201.5,10.0,26.792,23.25,228.292
2012-01-08,201.667,9.833,37.583,25.208,239.25
2012-01-09,196.13,9.174,26.826,19.833,222.957
2012-01-10,194.0,7.609,15.0,10.667,209.0
2012-01-11,196.435,9.208,22.217,15.625,218.652
2012-01-12,202.75,8.917,32.667,21.042,235.417
2012-01-13,204.083,10.375,31.458,29.167,235.542
2012-01-14,190.667,5.625,12.625,10.042,203.292
2012-01-15,193.875,8.708,13.667,17.667,207.542
2012-01-16,198.409,7.261,27.909,17.375,226.318
2012-01-17,195.542,8.913,16.917,23.375,212.458
2012-01-18,193.783,8.167,13.87,11.25,207.652
2012-01-19,198.5,9.542,22.958,18.667,221.458
2012-01-20,196.0,6.458,10.167,25.167,206.167
2012-01-21,201.625,10.417,32.708,29.958,234.333
2012-01-22,194.458,8.875,21.292,13.583,215.75
2012-01-23,191.652,7.261,18.13,11.217,209.783
2012-01-24,195.5,7.348,25.083,16.125,220.583
2012-01-25,193.174,6.167,10.478,18.917,203.652
2012-01-26,192.458,5.042,8.167,7.833,200.625
2012-01-27,196.292,5.5,9.875,11.792,206.167
2012-01-28,196.625,7.792,16.042,12.917,212.667
2012-01-29,203.125,9.042,32.25,22.25,235.375
2012-01-30,201.083,8.542,23.042,31.292,224.125
2012-01-31,208.217,9.955,48.043,31.958,256.261
2012-02-01,207.5,11.958,51.25,31.583,258.75
2012-02-02,196.083,8.542,27.875,20.25,223.958
2012-02-03,193.75,5.792,12.375,16.625,206.125
2012-02-04,199.625,9.083,29.542,23.0,229.167
2012-02-05,192.043,5.826,12.957,17.958,205.0
2012-02-06,193.208,8.167,23.0,12.542,216.208
2012-02-07,196.917,8.652,26.375,18.583,223.292
2012-02-08,194.304,7.375,13.304,12.292,207.609
2012-02-09,195.417,7.458,14.125,15.0,209.542
2012-02-10,199.125,6.708,16.708,18.958,215.833
2012-02-11,196.542,7.5,9.917,23.125,206.458
2012-02-12,198.773,8.739,21.773,24.417,220.545
2012-02-13,196.958,9.625,18.125,20.875,215.083
2012-02-14,202.042,9.0,31.292,19.792,233.333
2012-02-15,193.87,8.458,22.304,14.917,216.174
2012-02-16,194.125,5.708,8.875,11.917,203.0
2012-02-17,198.042,6.875,14.0,11.125,212.042
2012-02-18,199.5,9.208,28.708,14.167,228.208
2012-02-19,194.0,7.458,17.375,18.375,211.375
2012-02-20,196.333,7.833,16.583,14.375,212.917
2012-02-21,196.5,8.273,16.864,20.417,213.364
2012-02-22,198.261,9.0,22.0,28.208,220.261
2012-02-23,193.833,7.208,13.75,23.625,207.583
2012-02-24,192.792,5.208,7.917,10.833,200.708
2012-02-25,193.583,6.625,11.875,12.917,205.458
2012-02-26,197.435,7.957,22.913,25.667,220.348
2012-02-27,197.167,7.833,25.042,26.208,222.208
2012-02-28,200.583,9.478,33.958,27.458,234.542
2012-03-01,200.708,7.625,33.75,19.0,234.458
2012-03-02,194.0,7.083,10.042,23.958,204.042
2012-03-03,192.458,5.292,8.125,13.417,200.583
2012-03-04,197.0,7.708,20.5,17.375,217.5
2012-03-05,201.083,8.542,26.583,37.708,227.667
2012-03-06,207.174,10.478,46.87,43.357,254.043
2012-03-07,199.833,9.391,30.917,30.333,230.75
2012-03-08,196.435,7.083,22.826,37.417,219.261
2012-03-09,199.583,9.083,24.917,53.333,224.5
2012-03-10,202.458,7.042,18.375,36.875,220.833
2012-03-11,194.5,5.667,12.667,14.083,207.167
2012-03-12,200.625,6.917,25.417,18.5,226.042
2012-03-13,200.364,8.652,28.727,20.583,229.091
2012-03-14,195.125,4.957,10.958,15.0,206.083
2012-03-15,200.696,7.375,29.522,19.167,230.217
2012-03-16,199.208,8.375,28.542,25.458,227.75
2012-03-17,197.917,8.083,15.625,37.917,213.542
2012-03-18,193.625,4.0,18.5,31.458,212.125
2012-03-19,194.417,7.75,23.708,26.5,218.125
2012-03-20,196.75,8.458,30.292,36.792,227.042
2012-03-21,191.652,5.5,11.696,11.792,203.348
2012-03-22,196.389,6.708,31.167,16.417,227.556
2012-03-23,194.458,6.667,15.625,22.917,210.083
2012-03-24,196.083,5.583,15.958,21.833,212.042
2012-03-25,191.667,6.042,11.708,22.083,203.375
2012-03-26,195.042,6.375,13.375,19.292,208.417
2012-03-27,196.583,7.292,21.958,20.542,218.542
2012-03-28,194.125,8.391,27.0,18.958,221.125
2012-03-29,199.286,7.304,29.0,26.083,228.286
2012-03-30,192.833,5.667,11.417,17.458,204.25
2012-03-31,196.625,5.5,14.167,18.75,210.792
2012-04-01,192.667,7.583,13.667,13.333,206.333
2012-04-02,195.958,7.625,18.917,19.833,214.875
2012-04-03,193.125,8.458,23.375,22.417,216.5
2012-04-04,189.625,7.167,10.083,16.958,199.708
2012-04-05,189.667,8.083,11.833,26.0,201.5
2012-04-06,193.773,8.957,17.182,18.917,210.955
2012-04-07,191.833,7.957,10.333,16.25,202.167
2012-04-08,197.208,7.5,11.042,16.5,208.25
2012-04-09,204.125,10.792,34.458,36.542,238.583
2012-04-10,200.348,9.913,36.522,47.708,236.87
2012-04-11,197.833,10.833,34.833,34.792,232.667
2012-04-12,190.375,8.208,14.458,22.042,204.833
2012-04-13,190.391,9.708,22.348,28.958,212.739
2012-04-14,188.625,7.391,10.917,15.25,199.542
2012-04-15,196.125,7.917,15.0,14.458,211.125
2012-04-16,195.125,9.417,25.792,19.292,220.917
2012-04-17,191.792,8.375,25.667,21.875,217.458
2012-04-18,193.208,8.167,23.958,25.458,217.167
2012-04-19,192.273,8.174,16.227,21.542,208.5
2012-04-20,188.87,9.083,21.739,20.125,210.609
2012-04-21,189.042,7.783,18.208,10.833,207.25
2012-04-22,186.917,6.667,9.417,4.375,196.333
2012-04-23,188.25,7.333,18.708,16.542,206.958
2012-04-24,196.042,9.5,40.0,49.5,236.042
2012-04-25,198.083,9.958,33.375,53.0,231.458
2012-04-26,189.542,9.292,20.625,25.292,210.167
2012-04-27,185.826,7.136,13.435,11.25,199.261
2012-04-28,193.458,7.583,20.375,15.083,213.833
2012-04-29,193.208,8.042,16.458,18.125,209.667
2012-04-30,189.917,7.5,13.375,18.875,203.292
2012-05-01,184.417,6.375,9.25,9.167,193.667
2012-05-02,184.125,6.417,10.208,5.0,194.333
2012-05-03,185.583,6.333,11.167,6.042,196.75
2012-05-04,187.913,8.391,7.957,3.375,195.87
2012-05-05,191.292,7.083,10.833,14.25,202.125
2012-05-06,196.292,7.958,14.083,28.417,210.375
2012-05-07,196.792,8.917,18.333,28.625,215.125
2012-05-08,197.292,9.667,20.75,49.083,218.042
2012-05-09,197.708,11.417,29.833,54.792,227.542
2012-05-10,190.417,6.792,12.75,25.417,203.167
2012-05-11,186.409,6.364,9.682,7.958,196.091
2012-05-12,186.833,5.958,8.75,7.75,195.583
2012-05-13,190.25,5.833,8.667,11.75,198.917
2012-05-14,192.333,8.875,18.875,19.75,211.208
2012-05-15,188.958,8.625,23.375,15.208,212.333
2012-05-16,194.333,10.3,26.458,25.708,220.792
2012-05-17,195.542,6.8,23.958,34.583,219.5
2012-05-18,192.091,6.913,14.591,25.583,206.682
2012-05-19,195.333,7.75,17.167,21.75,212.5
2012-05-20,195.542,7.042,30.0,21.333,225.542
2012-05-21,192.75,7.208,17.042,20.083,209.792
2012-05-22,193.208,8.042,22.333,22.917,215.542
2012-05-23,193.696,7.739,30.522,24.833,224.217
2012-05-24,196.292,9.292,31.625,29.042,227.917
2012-05-25,196.087,9.417,36.348,41.708,232.435
2012-05-26,193.167,9.458,22.389,28.75,215.556
2012-05-27,192.708,7.5,16.417,26.5,209.125
2012-05-28,192.208,6.5,20.083,24.917,212.292
2012-05-29,192.833,8.167,21.125,40.417,213.958
2012-05-30,189.417,6.583,16.333,17.125,205.75
2012-05-31,190.708,6.417,13.375,19.042,204.083
2012-06-01,189.286,6.182,25.762,24.208,215.048
2012-06-02,191.292,6.75,18.125,24.292,209.417
2012-06-03,187.458,6.042,12.667,16.417,200.125
2012-06-04,190.75,6.542,16.458,17.625,207.208
2012-06-05,189.875,8.083,23.75,19.167,213.625
2012-06-06,185.292,6.208,18.208,14.25,203.5
2012-06-07,189.125,6.087,21.792,25.458,210.917
2012-06-08,193.909,8.348,25.591,24.667,219.5
2012-06-09,186.125,5.417,15.75,11.25,201.875
2012-06-10,186.542,5.583,10.417,15.667,196.958
2012-06-11,188.208,7.042,15.625,16.875,203.833
2012-06-12,185.792,5.292,14.75,11.667,200.542
2012-06-13,191.292,6.708,31.583,13.292,222.875
2012-06-14,190.043,6.591,18.652,15.792,208.696
2012-06-15,188.391,5.542,21.0,17.458,209.391
2012-06-16,185.667,3.875,16.5,8.958,202.167
2012-06-17,183.333,6.0,7.875,7.333,191.208
2012-06-18,194.125,7.375,31.875,23.583,226.0
2012-06-19,186.292,6.292,22.167,17.417,208.458
2012-06-20,183.409,3.87,17.0,8.0,200.409
2012-06-21,189.667,7.261,22.333,13.792,212.0
2012-06-22,187.391,5.417,13.174,8.958,200.565
2012-06-23,190.292,5.333,14.292,12.083,204.583
2012-06-24,194.292,5.75,16.958,19.042,211.25
2012-06-25,191.167,6.0,14.375,18.625,205.542
2012-06-26,189.542,5.708,15.208,15.958,204.75
2012-06-27,190.083,5.208,20.583,17.75,210.667
2012-06-28,188.217,4.909,15.0,11.458,203.217
2012-06-29,187.391,5.875,16.304,12.0,203.696
2012-06-30,189.0,7.667,19.833,17.625,208.833
2012-07-01,191.0,5.875,16.458,13.5,207.458
2012-07-02,188.5,5.125,20.25,16.167,208.75
2012-07-03,197.043,8.609,26.826,21.75,223.87
2012-07-04,191.583,5.667,24.292,19.25,215.875
2012-07-05,189.292,3.609,19.625,14.083,208.917
2012-07-06,183.304,7.875,13.0,19.333,196.304
2012-07-07,185.667,5.958,10.333,10.875,196.0
2012-07-08,188.375,5.333,9.708,10.875,198.083
2012-07-09,190.435,5.304,14.304,15.083,204.739
2012-07-10,192.833,6.958,16.792,17.5,209.625
