date,NO2_mean,NOX_mean,NO_mean
2018-06-26,6.125,6.417,0.292
2018-06-27,2.75,2.958,0.208
2018-06-28,3.333,3.333,0.0
2018-06-29,6.75,8.667,1.917
2018-06-30,5.5,7.542,2.042
2018-07-01,3.261,4.217,0.957
2018-07-02,4.5,5.708,1.208
2018-07-03,4.875,6.667,1.792
2018-07-04,3.458,3.458,0.0
2018-07-05,4.227,4.227,0.0
2018-07-06,8.208,9.292,1.083
2018-07-07,8.0,9.0,1.0
2018-07-08,3.913,4.174,0.261
2018-07-09,4.542,6.125,1.583
2018-07-10,6.083,9.875,3.792
2018-07-11,8.167,10.083,1.917
2018-07-12,4.75,5.458,0.708
2018-07-13,3.583,4.625,1.042
2018-07-14,3.292,3.583,0.292
2018-07-15,6.043,6.217,0.174
2018-07-16,7.25,7.292,0.042
2018-07-17,11.458,11.958,0.5
2018-07-18,6.583,7.583,1.0
2018-07-19,6.13,6.565,0.435
2018-07-20,5.458,6.167,0.708
2018-07-21,3.833,5.667,1.833
2018-07-22,5.13,5.783,0.652
2018-07-23,4.625,5.167,0.542
2018-07-24,3.875,4.375,0.5
2018-07-25,7.083,7.333,0.25
2018-07-26,8.292,8.625,0.333
2018-07-27,9.417,9.958,0.542
2018-07-28,3.75,4.0,0.25
2018-07-29,1.565,1.87,0.304
2018-07-30,3.083,3.833,0.75
2018-07-31,7.292,8.875,1.583
2018-08-01,6.958,9.167,2.208
2018-08-02,8.208,10.0,1.792
2018-08-03,5.682,6.909,1.227
2018-08-04,3.917,4.208,0.292
2018-08-05,5.304,5.348,0.043
2018-08-06,3.625,3.667,0.042
2018-08-07,3.875,3.917,0.042
2018-08-08,4.292,4.458,0.167
2018-08-09,5.458,6.583,1.125
2018-08-10,6.375,6.708,0.333
2018-08-11,4.625,5.208,0.583
2018-08-12,3.348,3.522,0.174
2018-08-13,3.708,4.417,0.708
2018-08-14,4.667,5.417,0.75
2018-08-15,4.417,5.917,1.5
2018-08-16,4.208,6.292,2.083
2018-08-17,3.391,3.565,0.174
2018-08-18,4.917,5.708,0.792
2018-08-19,4.391,4.652,0.261
2018-08-20,5.458,6.25,0.792
2018-08-21,5.917,8.958,3.042
2018-08-22,3.417,6.25,2.833
2018-08-23,1.417,2.833,1.417
