date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-12-18,21.125,32.917,11.792,1.348
2011-12-19,35.292,67.292,32.0,0.917
2011-12-20,36.5,80.667,44.167,1.417
2011-12-21,50.708,132.292,81.583,4.375
2011-12-22,42.292,103.333,61.042,4.833
2011-12-23,22.458,42.333,19.875,0.125
2011-12-24,31.783,72.435,40.652,1.667
2011-12-25,13.917,24.042,10.125,0.304
2011-12-26,28.476,61.714,33.238,0.238
2011-12-27,41.292,107.75,66.458,0.25
2011-12-28,47.75,119.208,71.458,1.5
2011-12-29,39.042,109.667,70.625,3.0
2011-12-30,17.333,28.542,11.208,0.167
2011-12-31,27.478,42.435,14.957,0.583
2012-01-01,20.792,27.792,7.0,2.522
2012-01-02,18.958,30.0,11.042,2.917
2012-01-03,10.917,14.583,3.667,1.583
2012-01-04,16.5,24.75,8.25,0.833
2012-01-05,35.348,67.696,32.348,2.292
2012-01-06,31.167,56.667,25.5,1.792
2012-01-07,42.542,104.917,62.375,3.0
2012-01-08,51.889,202.222,150.333,4.043
2012-01-09,36.286,67.5,31.214,2.714
2012-01-10,36.125,72.708,36.583,1.917
2012-01-11,38.75,92.0,53.25,1.75
2012-01-12,43.652,97.522,53.87,3.5
2012-01-13,32.667,60.75,28.083,3.042
2012-01-14,17.458,26.792,9.333,1.625
2012-01-15,34.667,67.208,32.542,2.478
2012-01-16,40.5,93.042,52.542,3.833
2012-01-17,35.958,80.333,44.375,3.083
2012-01-18,30.917,59.292,28.375,1.542
2012-01-19,39.696,86.478,46.783,3.667
2012-01-20,19.083,25.708,6.625,3.208
2012-01-21,48.667,111.625,62.958,2.083
2012-01-22,39.042,104.208,65.167,2.087
2012-01-23,42.167,93.292,51.125,1.792
2012-01-24,40.792,105.083,64.292,4.25
2012-01-25,31.167,58.5,27.333,2.875
2012-01-26,24.174,42.913,18.739,1.875
2012-01-27,22.208,32.542,10.333,2.417
2012-01-28,29.875,57.958,28.083,1.875
2012-01-29,49.667,118.208,68.542,4.261
2012-01-30,45.5,101.667,56.167,4.167
2012-01-31,48.958,116.75,67.792,4.667
2012-02-01,61.542,185.708,124.167,3.542
2012-02-02,35.913,74.174,38.261,3.125
2012-02-03,17.75,25.0,7.25,1.708
2012-02-04,46.583,122.958,76.375,2.542
2012-02-05,33.5,71.75,38.25,2.522
2012-02-06,41.5,88.917,47.417,2.167
2012-02-07,40.042,92.0,51.958,2.833
2012-02-08,29.875,62.167,32.292,1.833
2012-02-09,32.391,55.696,23.304,1.625
2012-02-10,27.167,45.083,17.917,3.375
2012-02-11,22.375,32.25,9.875,3.25
2012-02-12,43.583,89.583,46.0,1.684
2012-02-13,41.375,88.125,46.75,1.318
2012-02-14,48.625,110.625,62.0,1.708
2012-02-15,37.667,76.458,38.792,0.833
2012-02-16,19.217,34.261,15.043,0.375
2012-02-17,22.042,32.458,10.417,0.583
2012-02-18,43.833,107.583,63.75,0.583
2012-02-19,33.833,64.833,31.0,0.739
2012-02-20,38.417,88.708,50.292,0.917
2012-02-21,41.833,84.625,42.792,1.625
2012-02-22,48.042,98.042,50.0,3.083
2012-02-23,27.957,42.609,14.652,1.875
2012-02-24,10.625,15.167,4.542,0.667
2012-02-25,34.25,65.0,30.75,0.625
2012-02-26,42.792,82.167,39.375,1.609
2012-02-27,40.542,71.75,31.208,2.75
2012-02-28,51.167,108.25,57.083,1.875
2012-03-01,48.167,109.958,61.792,2.0
2012-03-02,23.043,36.261,13.217,1.167
2012-03-03,16.5,21.958,5.458,0.708
2012-03-04,36.125,62.625,26.5,2.042
2012-03-05,45.708,88.542,42.833,3.826
2012-03-06,54.375,117.75,63.375,5.083
2012-03-07,56.167,108.708,52.542,4.333
2012-03-08,48.708,91.583,42.875,6.083
2012-03-09,49.391,74.696,25.304,8.375
2012-03-10,20.333,24.375,4.042,3.0
2012-03-11,35.167,63.292,28.125,0.708
2012-03-12,43.792,84.583,40.792,2.609
2012-03-13,48.042,98.208,50.167,2.625
2012-03-14,26.042,47.0,20.958,0.5
2012-03-15,47.208,96.75,49.542,2.625
2012-03-16,40.696,85.304,44.609,4.625
2012-03-17,30.625,37.5,6.875,3.875
2012-03-18,29.875,42.292,12.417,2.625
2012-03-19,47.875,83.375,35.5,6.0
2012-03-20,51.0,80.375,29.375,2.5
2012-03-21,29.833,53.667,23.833,1.208
2012-03-22,44.542,81.5,36.958,3.875
2012-03-23,30.913,56.043,25.13,2.042
2012-03-24,30.083,36.083,6.0,2.875
2012-03-25,30.167,49.125,18.958,1.292
2012-03-26,37.583,63.167,25.583,1.0
2012-03-27,52.5,96.5,44.0,1.5
2012-03-28,48.417,88.25,39.833,1.542
2012-03-29,40.458,97.583,57.125,4.458
2012-03-30,30.609,44.609,14.0,1.333
2012-03-31,27.167,33.583,6.417,3.042
2012-04-01,22.583,35.458,12.875,1.042
2012-04-02,40.292,70.458,30.167,2.083
2012-04-03,52.708,113.333,60.625,1.783
2012-04-04,34.565,57.217,22.652,3.042
2012-04-05,43.25,71.167,27.917,4.458
2012-04-06,45.542,83.292,37.75,1.208
2012-04-07,27.652,44.565,16.913,1.042
2012-04-08,27.333,34.375,7.042,2.583
2012-04-09,54.333,90.875,36.542,5.042
2012-04-10,54.667,95.042,40.375,5.0
2012-04-11,59.042,118.708,59.667,3.458
2012-04-12,38.333,57.667,19.333,4.583
2012-04-13,56.0,96.542,40.542,2.375
2012-04-14,32.043,48.304,16.261,1.083
2012-04-15,26.167,33.167,7.0,2.667
2012-04-16,48.5,77.667,29.167,3.542
2012-04-17,45.818,88.455,42.636,2.304
2012-04-18,50.458,74.583,24.125,3.458
2012-04-19,43.0,74.458,31.458,3.25
2012-04-20,55.167,98.042,42.875,1.5
2012-04-21,34.348,53.739,19.391,1.375
2012-04-22,21.333,26.458,5.125,1.0
2012-04-23,40.792,65.25,24.458,3.333
2012-04-24,52.083,84.833,32.75,7.0
2012-04-25,51.708,81.292,29.583,5.583
2012-04-26,60.667,96.458,35.792,1.75
2012-04-27,45.0,69.375,24.375,3.125
2012-04-28,43.783,70.87,27.087,2.792
2012-04-29,26.5,32.583,6.083,3.042
2012-04-30,26.708,36.583,9.875,2.125
2012-05-01,29.583,41.75,12.167,1.087
2012-05-02,33.542,54.167,20.625,1.0
2012-05-03,19.125,24.875,5.75,2.458
2012-05-04,16.75,21.417,4.667,1.625
2012-05-05,22.957,29.13,6.174,2.5
2012-05-06,24.042,27.042,3.0,1.917
2012-05-07,50.625,70.958,20.333,3.583
2012-05-08,56.292,85.292,29.0,4.087
2012-05-09,55.5,78.458,22.958,3.458
2012-05-10,45.042,65.125,20.083,1.292
2012-05-11,40.542,71.917,31.375,0.958
2012-05-12,22.696,36.261,13.565,0.708
2012-05-13,26.708,31.375,4.667,3.958
2012-05-14,43.542,75.917,32.375,4.083
2012-05-15,53.042,94.083,41.042,2.368
2012-05-16,43.875,75.833,31.958,5.125
2012-05-17,43.375,63.083,19.708,5.833
2012-05-18,51.5,72.417,20.917,2.375
2012-05-19,37.522,47.435,9.913,2.667
2012-05-20,26.542,29.917,3.375,2.667
2012-05-21,39.167,53.5,14.333,1.208
2012-05-22,49.083,77.583,28.5,1.87
2012-05-23,51.958,83.792,31.833,2.875
2012-05-24,61.042,85.792,24.75,7.333
2012-05-25,62.208,86.542,24.333,6.0
2012-05-26,35.652,52.435,16.783,4.667
2012-05-27,26.458,30.25,3.792,3.542
2012-05-28,36.792,53.917,17.125,4.583
2012-05-29,47.409,69.818,22.409,2.522
2012-05-30,47.75,80.417,32.667,1.25
2012-05-31,37.0,57.042,20.042,2.667
2012-06-01,35.25,49.958,14.708,5.792
2012-06-02,39.217,54.043,14.826,2.583
2012-06-03,21.375,26.542,5.167,1.75
2012-06-04,34.583,52.583,18.0,3.375
2012-06-05,50.708,90.708,40.0,2.739
2012-06-06,51.333,75.083,23.75,2.0
2012-06-07,45.375,72.958,27.583,3.833
2012-06-08,43.75,70.917,27.167,3.708
2012-06-09,33.565,51.957,18.391,2.917
2012-06-10,18.917,22.75,3.833,1.083
2012-06-11,33.167,50.5,17.333,1.917
2012-06-12,41.375,70.083,28.708,1.609
2012-06-13,48.083,78.25,30.167,4.292
2012-06-14,41.875,64.917,23.042,3.5
2012-06-15,36.25,58.0,21.75,2.833
2012-06-16,23.435,54.348,30.913,2.083
