date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-06-04,183.458,3.542,3.292,3.583,0.292,1.0,187.0
2011-06-05,182.304,3.304,3.087,3.174,0.087,1.0,185.609
2011-06-06,183.375,3.542,2.833,3.167,0.333,1.0,186.917
2011-06-07,184.167,3.458,3.458,3.625,0.167,1.0,187.625
2011-06-08,184.304,4.261,4.583,4.958,0.375,1.0,188.565
2011-06-09,184.625,4.125,3.25,3.708,0.458,1.0,188.75
2011-06-10,184.083,5.792,5.25,5.667,0.417,1.0,189.875
2011-06-11,177.958,5.375,7.208,8.5,1.292,1.0,183.333
2011-06-12,181.261,5.217,7.87,8.391,0.522,1.304,186.478
2011-06-13,183.375,5.0,4.625,5.083,0.458,1.417,188.375
2011-06-14,187.375,5.083,5.083,5.417,0.333,1.667,192.458
2011-06-15,186.652,4.261,5.042,5.417,0.375,1.0,190.913
2011-06-16,185.208,4.25,7.333,7.833,0.5,1.125,189.458
2011-06-17,185.875,6.667,5.833,6.625,0.792,1.667,192.542
2011-06-18,183.5,5.333,6.625,7.375,0.75,1.208,188.833
2011-06-19,181.87,3.435,4.348,4.391,0.043,1.304,185.304
2011-06-20,184.765,4.471,8.458,9.5,1.042,1.542,189.235
2011-06-21,184.708,7.083,10.083,14.417,4.333,4.875,191.792
2011-06-22,177.957,4.522,4.125,6.0,1.875,2.458,182.478
2011-06-23,176.917,4.417,3.542,4.5,0.958,2.667,181.333
2011-06-24,176.042,3.667,3.625,4.5,0.875,2.75,179.708
2011-06-25,175.5,3.667,3.0,3.417,0.417,1.75,179.167
2011-06-26,174.208,1.25,1.583,1.583,0.0,1.583,175.458
2011-06-27,175.708,3.0,3.375,3.542,0.167,1.792,178.708
2011-06-28,177.333,4.0,4.208,5.042,0.833,2.583,181.333
2011-06-29,145.955,32.864,3.875,4.917,1.042,1.958,178.818
2011-06-30,179.667,5.167,5.958,7.625,1.667,2.25,184.833
2011-07-01,179.417,4.875,3.917,5.417,1.5,2.25,184.292
2011-07-02,177.545,16.773,5.773,6.545,0.773,3.955,194.318
2011-07-03,178.667,5.542,3.542,4.083,0.542,2.5,184.208
2011-07-04,179.042,4.917,3.708,4.042,0.333,2.125,183.958
2011-07-05,184.333,5.0,4.667,4.792,0.125,4.208,189.333
