date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-07-14,18.333,37.833,19.5,,13.625
2011-07-15,22.25,41.625,19.375,,14.833
2011-07-16,20.375,34.25,13.875,,21.167
2011-07-17,6.167,9.958,3.792,,11.833
2011-07-18,8.292,20.625,12.333,,14.208
2011-07-19,5.542,11.417,5.875,,7.13
2011-07-20,12.417,25.292,12.875,,8.417
2011-07-21,16.375,39.958,23.583,,9.958
2011-07-22,23.083,45.708,22.625,,11.542
2011-07-23,15.208,25.042,9.833,,17.792
2011-07-24,10.542,16.125,5.583,,25.875
2011-07-25,12.583,19.625,7.042,,22.083
2011-07-26,16.542,27.833,11.292,,12.375
2011-07-27,15.125,34.625,19.5,,11.542
2011-07-28,21.25,44.083,22.833,,18.75
2011-07-29,17.583,32.375,14.792,,22.083
2011-07-30,15.708,26.917,11.208,,19.208
2011-07-31,10.542,17.208,6.667,,22.333
2011-08-01,11.583,22.833,11.25,,32.042
2011-08-02,12.083,20.167,8.083,,16.375
2011-08-03,7.625,15.042,7.417,,13.042
2011-08-04,9.091,27.682,18.591,,13.375
2011-08-05,18.25,44.542,26.292,,12.792
2011-08-06,13.5,35.292,21.792,,9.625
2011-08-07,12.292,27.125,14.833,,11.083
2011-08-08,20.13,41.826,21.696,,17.217
2011-08-09,25.333,39.083,13.75,,30.958
2011-08-10,26.917,40.333,13.417,,38.417
2011-08-11,30.458,53.417,22.958,,35.667
2011-08-12,22.083,34.75,12.667,,28.417
2011-08-13,13.958,18.25,4.292,,25.042
2011-08-14,10.458,14.708,4.25,,28.792
2011-08-15,12.708,18.708,6.0,,18.125
2011-08-16,19.583,29.083,9.5,,30.0
2011-08-17,20.25,32.833,12.583,,30.833
2011-08-18,22.125,41.083,18.958,,34.708
2011-08-19,25.583,45.5,19.917,,14.292
2011-08-20,23.042,37.5,14.458,,15.25
2011-08-21,20.0,34.583,14.583,,11.958
2011-08-22,22.833,37.208,14.375,,11.174
2011-08-23,19.417,38.625,19.208,,18.333
2011-08-24,8.125,17.042,8.917,,14.167
2011-08-25,10.208,23.208,13.0,,5.125
2011-08-26,15.708,33.167,17.458,,10.583
2011-08-27,17.833,28.0,10.167,,19.583
2011-08-28,6.583,9.292,2.708,,33.875
2011-08-29,9.958,15.417,5.458,,28.375
2011-08-30,17.167,29.417,12.25,,24.5
2011-08-31,13.875,25.042,11.167,,19.417
2011-09-01,11.375,33.375,22.0,,21.958
2011-09-02,8.292,18.375,10.083,,20.25
2011-09-03,1.208,2.208,1.0,,18.875
2011-09-04,8.875,14.917,6.042,,9.583
2011-09-05,22.167,45.583,23.417,,9.136
2011-09-06,25.458,49.375,23.917,,6.792
2011-09-07,24.125,36.542,12.417,,12.375
2011-09-08,23.875,40.042,16.167,,20.375
2011-09-09,29.0,56.833,27.833,,21.667
2011-09-10,19.542,34.667,15.125,,22.25
2011-09-11,5.083,10.542,5.458,,8.208
2011-09-12,9.583,20.542,10.958,,9.333
2011-09-13,15.208,27.458,12.25,,12.125
2011-09-14,14.167,27.25,13.083,,18.958
2011-09-15,9.0,18.833,9.833,,11.125
2011-09-16,10.5,32.833,22.333,,9.833
2011-09-17,15.5,43.708,28.208,,7.292
2011-09-18,8.708,22.792,14.083,,9.375
2011-09-19,10.333,20.583,10.25,,8.25
2011-09-20,25.292,55.042,29.75,,4.667
2011-09-21,15.958,34.042,18.083,,3.958
2011-09-22,21.25,47.167,25.917,,2.5
2011-09-23,16.667,31.792,15.125,,6.917
2011-09-24,18.0,33.0,15.0,,6.708
2011-09-25,9.958,14.667,4.708,,9.958
2011-09-26,27.833,58.458,30.625,,15.304
2011-09-27,21.292,41.917,20.625,,15.458
2011-09-28,26.25,42.625,16.375,,21.583
2011-09-29,23.083,36.833,13.75,,22.25
2011-09-30,22.75,37.875,15.125,,18.75
2011-10-01,15.167,31.542,16.375,,9.375
2011-10-02,13.125,23.083,9.958,,9.375
2011-10-03,20.958,46.333,25.375,,7.833
2011-10-04,20.292,39.833,19.542,,11.75
2011-10-05,33.833,71.083,37.25,,17.708
2011-10-06,28.542,56.792,28.25,,10.792
2011-10-07,29.417,51.875,22.458,,28.833
2011-10-08,23.375,37.583,14.208,,32.5
2011-10-09,14.375,19.75,5.375,,39.708
2011-10-10,19.375,27.333,7.958,,45.667
2011-10-11,28.583,53.792,25.208,,55.5
2011-10-12,27.5,54.375,26.875,,51.292
2011-10-13,35.042,73.333,38.292,,50.083
2011-10-14,34.458,76.417,41.958,,42.792
2011-10-15,18.5,27.125,8.625,,10.667
2011-10-16,19.0,27.25,8.25,,21.708
2011-10-17,29.417,68.875,39.458,,26.435
2011-10-18,25.708,47.583,21.875,,16.167
2011-10-19,27.708,51.667,23.958,,16.0
2011-10-20,23.833,49.875,26.042,,19.667
2011-10-21,22.917,48.542,25.625,,15.167
2011-10-22,19.333,33.0,13.667,,6.875
2011-10-23,16.167,29.792,13.625,,5.958
2011-10-24,28.875,66.542,37.667,,10.375
2011-10-25,23.75,63.375,39.625,,15.583
2011-10-26,23.833,53.125,29.292,,10.042
2011-10-27,27.25,61.0,33.75,,13.583
2011-10-28,30.792,52.958,22.167,,19.875
2011-10-29,29.5,48.833,19.333,,27.917
2011-10-30,21.042,31.042,10.0,,21.792
2011-10-31,24.875,47.083,22.208,,11.957
2011-11-01,24.083,63.583,39.5,,12.958
2011-11-02,26.333,47.333,21.0,,17.333
2011-11-03,20.417,31.708,11.292,,24.625
2011-11-04,25.958,61.042,35.083,,25.958
2011-11-05,32.417,56.917,24.5,,45.5
2011-11-06,19.542,35.375,15.833,,20.833
2011-11-07,20.125,45.042,24.917,,8.917
2011-11-08,24.333,56.042,31.708,,12.792
2011-11-09,22.348,52.783,30.435,,12.875
2011-11-10,24.0,57.833,33.833,,12.333
2011-11-11,32.458,80.583,48.125,,13.833
2011-11-12,23.292,65.333,42.042,,16.875
2011-11-13,16.458,33.458,17.0,,20.833
2011-11-14,27.292,69.5,42.208,,34.609
2011-11-15,25.083,58.875,33.792,,18.917
2011-11-16,26.583,62.833,36.25,,13.875
2011-11-17,27.958,71.833,43.875,,23.125
2011-11-18,36.667,89.708,53.042,,25.792
2011-11-19,34.625,94.125,59.5,,20.042
2011-11-20,15.292,31.75,16.458,,11.458
2011-11-21,28.208,72.25,44.042,,6.125
2011-11-22,26.958,58.542,31.583,,10.542
2011-11-23,24.0,55.917,31.917,,19.333
2011-11-24,25.667,60.042,34.375,,8.667
2011-11-25,26.875,68.167,41.292,,5.042
2011-11-26,23.0,63.667,40.667,,9.333
2011-11-27,18.958,37.75,18.792,,18.583
2011-11-28,26.375,104.167,77.792,,40.083
2011-11-29,39.458,146.542,107.083,,48.125
2011-11-30,29.167,112.667,83.5,,30.583
2011-12-01,15.708,37.833,22.125,,3.667
2011-12-02,21.625,44.125,22.5,,5.583
2011-12-03,19.208,40.875,21.667,,6.042
2011-12-04,12.917,26.167,13.25,,5.333
2011-12-05,27.542,89.0,61.458,,7.087
2011-12-06,31.333,79.625,48.292,,12.667
2011-12-07,32.417,95.583,63.167,,20.417
2011-12-08,38.583,96.833,58.25,,20.458
2011-12-09,21.083,49.667,28.583,,6.083
2011-12-10,23.0,57.542,34.542,,8.708
2011-12-11,19.292,41.792,22.5,,10.542
2011-12-12,32.958,119.25,86.292,,23.957
2011-12-13,30.375,105.167,74.792,,16.75
2011-12-14,34.292,108.125,73.833,,20.333
2011-12-15,30.792,106.208,75.417,,25.292
2011-12-16,25.292,61.083,35.792,,9.417
2011-12-17,24.417,50.625,26.208,,4.833
2011-12-18,16.958,32.0,15.042,,7.583
2011-12-19,30.542,73.917,43.375,,10.625
2011-12-20,32.167,79.167,47.0,,4.792
2011-12-21,33.25,86.708,53.458,,21.5
2011-12-22,29.208,98.667,69.458,,25.042
2011-12-23,16.708,35.917,19.208,,3.458
2011-12-24,26.042,64.667,38.625,,9.417
2011-12-25,13.5,27.167,13.667,,2.792
2011-12-26,23.292,55.125,31.833,,6.25
2011-12-27,26.667,55.625,28.958,,6.417
2011-12-28,34.042,94.083,60.042,,9.708
2011-12-29,23.833,65.667,41.833,,16.333
2011-12-30,15.583,31.0,15.417,,6.583
2011-12-31,18.0,30.75,12.75,,7.333
2012-01-01,14.875,23.5,8.625,12.542,
2012-01-02,16.875,37.083,20.208,19.542,
2012-01-03,9.792,18.125,8.333,7.167,
2012-01-04,14.917,27.958,13.042,4.333,
2012-01-05,27.083,47.542,20.458,13.25,
2012-01-06,21.708,49.667,27.958,16.125,
2012-01-07,33.125,85.833,52.708,22.375,
2012-01-08,33.042,86.75,53.708,22.292,
2012-01-09,28.667,80.5,51.833,15.75,
2012-01-10,30.458,68.917,38.458,7.583,
2012-01-11,35.714,74.571,38.857,11.458,
2012-01-12,35.792,83.958,48.167,21.833,
2012-01-13,32.333,66.042,33.708,37.417,
2012-01-14,21.75,37.583,15.833,10.292,
2012-01-15,22.042,48.667,26.625,12.458,
2012-01-16,40.542,77.667,37.125,16.375,
2012-01-17,28.25,61.292,33.042,15.333,
2012-01-18,18.833,41.625,22.792,5.25,
2012-01-19,31.333,74.417,43.083,15.208,
2012-01-20,14.583,25.917,11.333,22.417,
2012-01-21,40.0,95.125,55.125,23.75,
2012-01-22,33.583,87.25,53.667,10.958,
2012-01-23,33.167,70.208,37.042,6.083,
