date,CH4_mean,NMHC_mean,SPM_mean,THC_mean
2011-02-28,187.833,3.667,9.25,191.5
2011-03-01,185.167,4.833,11.875,190.0
2011-03-02,184.5,3.5,9.167,188.0
2011-03-03,187.833,3.75,16.625,191.583
2011-03-04,187.833,3.625,10.792,191.458
2011-03-05,185.826,3.261,7.348,189.087
2011-03-06,185.792,5.083,18.25,190.875
2011-03-07,188.375,3.333,22.417,191.708
2011-03-08,187.667,4.375,12.833,192.042
2011-03-09,187.75,2.75,18.25,190.5
2011-03-10,186.542,2.0,11.667,188.542
2011-03-11,185.708,1.792,10.042,187.5
2011-03-12,188.478,5.261,10.208,193.739
2011-03-13,189.958,6.25,10.333,196.208
2011-03-14,188.458,6.083,14.167,194.542
2011-03-15,190.095,6.095,21.125,196.19
2011-03-16,187.217,6.435,20.5,193.652
2011-03-17,185.083,8.792,24.708,193.875
2011-03-18,183.167,6.208,7.667,189.375
2011-03-19,185.667,4.208,8.667,189.875
2011-03-20,185.375,5.333,11.333,190.708
2011-03-21,185.667,4.583,11.792,190.25
2011-03-22,185.917,6.958,32.042,192.875
2011-03-23,186.609,4.87,31.292,191.478
2011-03-24,184.375,3.875,8.792,188.25
2011-03-25,186.083,3.917,6.75,190.0
2011-03-26,189.333,4.375,12.375,193.708
2011-03-27,189.333,5.083,23.042,194.417
2011-03-28,189.792,5.375,32.125,195.167
2011-03-29,189.542,6.708,33.292,196.25
2011-03-30,186.565,6.261,26.583,192.826
2011-03-31,185.375,4.75,15.333,190.125
2011-04-01,187.917,6.417,33.875,194.333
2011-04-02,187.875,4.583,14.458,192.458
2011-04-03,188.167,4.208,8.125,192.375
2011-04-04,188.25,4.25,12.625,192.5
2011-04-05,188.652,4.565,33.565,193.217
2011-04-06,187.333,4.25,21.833,191.583
2011-04-07,185.917,7.125,31.286,193.042
2011-04-08,184.417,5.208,15.727,189.625
2011-04-09,185.333,4.542,8.375,189.875
2011-04-10,185.875,4.417,25.042,190.292
2011-04-11,186.273,3.0,22.333,189.273
2011-04-12,186.217,5.652,32.917,191.87
2011-04-13,185.542,8.5,45.5,194.042
2011-04-14,185.417,8.75,47.875,194.167
2011-04-15,184.125,10.125,50.583,194.25
2011-04-16,184.917,6.917,25.833,191.833
2011-04-17,185.25,4.625,10.042,189.875
2011-04-18,184.167,5.958,15.375,190.125
2011-04-19,185.261,6.913,11.417,192.174
2011-04-20,186.625,5.792,6.208,192.417
2011-04-21,187.042,6.292,12.125,193.333
2011-04-22,186.957,7.652,26.125,194.609
2011-04-23,185.125,6.167,13.792,191.292
2011-04-24,187.333,5.417,17.458,192.75
2011-04-25,187.25,6.208,24.125,193.458
2011-04-26,185.087,7.87,23.708,192.957
2011-04-27,183.125,7.542,20.667,190.667
2011-04-28,184.375,7.125,16.875,191.5
2011-04-29,186.125,6.917,15.875,193.042
2011-04-30,186.042,7.667,26.958,193.708
2011-05-01,182.5,7.083,29.458,189.583
2011-05-02,185.792,7.208,48.0,193.0
2011-05-03,186.87,5.957,60.208,192.826
2011-05-04,186.583,5.0,37.333,191.583
2011-05-05,186.0,4.25,12.0,190.25
2011-05-06,186.417,5.417,21.292,191.833
2011-05-07,184.25,7.792,28.042,192.042
2011-05-08,183.958,5.542,20.333,189.5
2011-05-09,187.208,7.5,23.652,194.708
2011-05-10,182.857,6.238,20.792,189.095
2011-05-11,184.478,4.826,15.542,189.304
2011-05-12,183.958,5.208,20.5,189.167
2011-05-13,183.875,6.75,75.5,190.625
2011-05-14,184.417,6.833,48.708,191.25
2011-05-15,186.167,5.5,29.625,191.667
2011-05-16,187.458,7.208,50.375,194.667
2011-05-17,186.542,5.833,48.0,192.375
2011-05-18,185.348,6.609,30.333,191.957
2011-05-19,185.583,8.208,42.458,193.792
2011-05-20,183.792,8.875,41.125,192.667
2011-05-21,180.5,8.292,31.167,188.792
2011-05-22,182.333,4.708,9.875,187.042
2011-05-23,183.875,4.542,8.75,188.417
2011-05-24,183.333,4.875,12.25,188.208
2011-05-25,184.391,5.957,21.083,190.348
2011-05-26,185.292,6.583,18.667,191.875
2011-05-27,186.333,8.292,20.917,194.625
2011-05-28,184.75,7.042,15.042,191.792
2011-05-29,182.167,7.583,9.375,189.75
2011-05-30,180.458,5.875,8.25,186.333
2011-05-31,182.667,5.792,12.292,188.458
2011-06-01,183.913,6.957,14.042,190.87
2011-06-02,184.833,7.5,13.625,192.333
2011-06-03,183.875,6.917,19.375,190.792
2011-06-04,183.958,8.542,38.542,192.5
2011-06-05,182.292,7.042,30.667,189.333
2011-06-06,183.5,7.667,34.583,191.167
2011-06-07,188.125,9.208,30.542,197.333
2011-06-08,187.391,10.304,27.5,197.696
2011-06-09,188.792,11.542,30.625,200.333
2011-06-10,188.917,11.0,38.542,199.917
2011-06-11,186.667,10.417,30.208,197.083
2011-06-12,186.958,9.333,24.958,196.292
2011-06-13,184.042,9.208,22.792,193.25
2011-06-14,186.0,8.417,12.083,194.417
2011-06-15,184.043,5.565,6.364,189.609
2011-06-16,187.619,5.095,9.3,192.714
2011-06-17,185.417,4.25,10.542,189.667
2011-06-18,187.417,4.958,17.958,192.375
2011-06-19,186.875,4.833,15.875,191.708
2011-06-20,190.333,5.5,18.708,195.833
2011-06-21,190.625,7.833,31.583,198.458
2011-06-22,185.0,11.13,34.708,196.13
2011-06-23,178.25,10.958,37.792,189.208
2011-06-24,178.542,11.083,30.833,189.625
2011-06-25,183.125,7.375,5.625,190.5
2011-06-26,184.833,7.875,10.0,192.708
2011-06-27,190.25,10.125,18.583,200.375
2011-06-28,181.0,10.875,31.5,191.875
2011-06-29,179.696,8.261,21.958,187.957
2011-06-30,182.208,8.458,24.833,190.667
2011-07-01,180.458,7.708,26.458,188.167
2011-07-02,174.25,6.958,15.417,181.208
2011-07-03,180.875,8.292,33.417,189.167
2011-07-04,179.542,9.208,37.5,188.75
2011-07-05,187.125,9.792,41.25,196.917
2011-07-06,191.609,8.087,35.167,199.696
2011-07-07,184.958,8.625,25.833,193.583
2011-07-08,179.0,11.588,24.455,190.588
2011-07-09,184.087,14.913,29.042,199.0
2011-07-10,180.083,12.542,20.083,192.625
2011-07-11,177.083,11.833,23.5,188.917
2011-07-12,178.083,12.083,26.167,190.167
2011-07-13,178.333,11.833,24.25,190.167
2011-07-14,177.625,11.667,22.875,189.292
2011-07-15,176.833,12.167,29.417,189.0
2011-07-16,177.087,15.478,29.833,192.565
2011-07-17,177.375,15.25,29.375,192.625
2011-07-18,175.958,14.333,31.667,190.292
2011-07-19,175.667,14.167,24.625,189.833
2011-07-20,174.167,13.958,16.478,188.125
2011-07-21,177.167,13.375,26.583,190.542
2011-07-22,179.417,12.458,25.833,191.875
2011-07-23,180.174,9.043,22.0,189.217
2011-07-24,179.583,8.625,19.625,188.208
2011-07-25,180.292,9.875,24.292,190.167
2011-07-26,182.208,11.042,23.708,193.25
2011-07-27,180.792,11.375,27.583,192.167
2011-07-28,177.375,11.167,37.208,188.542
2011-07-29,176.0,10.875,39.708,186.875
2011-07-30,176.652,12.174,26.958,188.826
2011-07-31,180.042,12.083,17.125,192.125
2011-08-01,181.333,12.583,17.417,193.917
2011-08-02,184.125,13.5,22.667,197.625
2011-08-03,186.417,14.125,25.208,200.542
2011-08-04,184.917,13.917,29.167,198.833
2011-08-05,182.167,15.167,29.917,197.333
2011-08-06,179.391,14.043,30.542,193.435
2011-08-07,177.042,13.208,24.542,190.25
2011-08-08,176.083,13.5,26.083,189.583
2011-08-09,175.955,13.409,23.75,189.364
2011-08-10,176.913,13.261,35.0,190.174
2011-08-11,176.083,12.75,49.917,188.833
2011-08-12,178.208,12.792,47.0,191.0
2011-08-13,175.565,12.261,25.25,187.826
2011-08-14,175.833,13.167,27.083,189.0
2011-08-15,178.708,12.042,29.125,190.75
2011-08-16,182.667,11.583,37.917,194.25
2011-08-17,176.792,12.125,48.875,188.917
2011-08-18,178.542,12.208,41.792,190.75
2011-08-19,182.083,10.417,8.417,192.5
2011-08-20,183.304,9.609,13.375,192.913
2011-08-21,181.75,9.167,6.5,190.917
2011-08-22,182.667,9.542,9.167,192.208
2011-08-23,181.083,9.667,7.5,190.75
2011-08-24,178.125,9.917,10.957,188.042
2011-08-25,178.955,12.227,21.214,191.182
2011-08-26,176.087,10.391,11.0,186.478
2011-08-27,180.333,9.292,10.042,189.625
2011-08-28,181.5,9.75,10.125,191.25
2011-08-29,182.958,10.417,11.167,193.375
2011-08-30,181.708,10.708,18.625,192.417
2011-08-31,181.458,11.708,24.458,193.167
2011-09-01,174.75,10.875,20.167,185.625
2011-09-02,175.826,14.174,21.667,190.0
2011-09-03,176.083,12.833,25.0,188.917
2011-09-04,174.833,10.542,11.625,185.375
2011-09-05,178.875,10.458,12.625,189.333
2011-09-06,185.762,10.714,10.75,196.476
2011-09-07,184.913,8.652,19.167,193.565
2011-09-08,186.5,11.25,24.625,197.75
2011-09-09,184.625,12.0,35.833,196.625
2011-09-10,184.083,8.958,24.25,193.042
2011-09-11,184.458,9.625,21.375,194.083
2011-09-12,179.708,9.792,18.208,189.5
2011-09-13,179.125,10.917,26.875,190.042
2011-09-14,176.652,12.87,29.542,189.522
2011-09-15,176.875,13.75,28.0,190.625
2011-09-16,176.375,13.417,28.792,189.792
2011-09-17,174.458,11.458,18.167,185.917
2011-09-18,173.917,11.458,11.833,185.375
2011-09-19,180.917,8.0,3.708,188.917
2011-09-20,180.792,7.75,5.957,188.542
2011-09-21,178.087,5.391,10.875,183.478
2011-09-22,181.75,6.042,8.217,187.792
2011-09-23,184.25,5.792,14.417,190.042
2011-09-24,184.583,6.5,11.708,191.083
2011-09-25,184.375,7.667,12.375,192.042
2011-09-26,186.333,9.333,17.958,195.667
2011-09-27,183.083,7.583,13.875,190.667
2011-09-28,183.455,10.136,19.042,193.591
2011-09-29,183.0,11.5,33.708,194.5
2011-09-30,181.208,10.417,22.042,191.625
2011-10-01,184.75,7.25,8.833,192.0
2011-10-02,185.375,7.292,8.125,192.667
2011-10-03,186.125,6.458,7.625,192.583
2011-10-04,186.5,8.136,25.208,194.636
2011-10-05,182.696,11.826,13.583,194.522
2011-10-06,181.792,11.583,17.958,193.375
2011-10-07,183.292,10.917,27.542,194.208
2011-10-08,185.667,12.167,57.708,197.833
2011-10-09,184.583,11.333,27.875,195.917
2011-10-10,183.917,12.542,44.167,196.458
2011-10-11,184.542,10.708,23.542,195.25
2011-10-12,185.13,7.0,20.917,192.13
2011-10-13,184.542,7.208,22.125,191.75
2011-10-14,183.545,7.409,23.875,190.955
2011-10-15,183.208,7.167,17.292,190.375
2011-10-16,186.292,6.333,20.375,192.625
2011-10-17,186.708,5.583,22.0,192.292
2011-10-18,188.167,3.917,11.125,192.083
2011-10-19,184.739,7.13,10.792,191.87
2011-10-20,184.083,8.625,19.0,192.708
2011-10-21,181.875,10.542,12.222,192.417
2011-10-22,178.083,10.167,15.417,188.25
2011-10-23,178.625,8.333,9.083,186.958
2011-10-24,178.333,7.417,12.261,185.75
2011-10-25,182.625,7.167,15.0,189.792
2011-10-26,186.217,4.739,20.292,190.957
2011-10-27,186.292,4.667,21.042,190.958
2011-10-28,185.625,7.292,22.417,192.917
2011-10-29,184.458,6.792,23.208,191.25
2011-10-30,183.125,6.292,18.208,189.417
2011-10-31,182.75,5.542,13.75,188.292
2011-11-01,185.375,5.375,16.5,190.75
2011-11-02,184.043,12.261,33.958,196.304
2011-11-03,181.75,10.875,21.417,192.625
2011-11-04,182.667,9.625,20.542,192.292
2011-11-05,184.042,13.25,33.792,197.292
2011-11-06,179.417,9.417,7.833,188.833
2011-11-07,183.792,7.542,9.625,191.333
2011-11-08,183.955,8.364,16.292,192.318
2011-11-09,184.565,6.696,17.667,191.261
2011-11-10,185.667,6.708,10.125,192.375
2011-11-11,184.875,7.375,11.208,192.25
2011-11-12,183.542,7.667,10.5,191.208
2011-11-13,184.167,6.875,16.625,191.042
2011-11-14,186.261,6.739,34.25,193.0
2011-11-15,186.792,5.167,8.833,191.958
2011-11-16,185.043,5.0,11.833,190.043
2011-11-17,185.792,6.875,25.792,192.667
2011-11-18,185.292,9.083,29.458,194.375
2011-11-19,180.583,9.458,23.042,190.042
2011-11-20,183.958,5.625,8.417,189.583
2011-11-21,185.333,4.667,5.417,190.0
2011-11-22,184.042,4.458,6.958,188.5
2011-11-23,183.739,8.478,19.583,192.217
2011-11-24,184.958,7.167,12.696,192.125
2011-11-25,185.125,6.208,7.333,191.333
2011-11-26,185.375,6.917,10.375,192.292
2011-11-27,185.167,8.042,13.542,193.208
2011-11-28,186.5,12.25,41.958,198.75
2011-11-29,186.958,13.25,54.417,200.208
2011-11-30,187.238,3.857,8.087,191.095
2011-12-01,188.125,4.625,5.583,192.75
2011-12-02,187.792,5.125,6.167,192.917
2011-12-03,186.583,8.042,8.042,194.625
2011-12-04,187.25,5.167,6.667,192.417
2011-12-05,190.5,5.375,14.917,195.875
2011-12-06,189.25,6.583,19.0,195.833
2011-12-07,186.565,4.609,17.75,191.174
2011-12-08,187.375,3.417,7.917,190.792
2011-12-09,186.875,2.833,6.625,189.708
2011-12-10,186.667,2.75,5.958,189.417
2011-12-11,185.583,2.667,8.083,188.25
2011-12-12,185.958,3.792,12.167,189.75
2011-12-13,188.125,3.167,8.167,191.292
2011-12-14,186.261,8.826,14.083,195.087
2011-12-15,187.042,8.75,14.625,195.792
2011-12-16,187.625,7.583,6.833,195.208
2011-12-17,187.333,7.417,6.292,194.75
2011-12-18,186.208,7.167,5.375,193.375
2011-12-19,188.087,7.391,4.458,195.478
2011-12-20,187.381,6.905,7.333,194.286
2011-12-21,188.667,8.375,11.5,197.042
2011-12-22,189.542,8.958,12.0,198.5
2011-12-23,190.208,7.667,6.833,197.875
2011-12-24,191.125,8.458,7.125,199.583
2011-12-25,189.833,7.625,5.042,197.458
2011-12-26,190.167,7.167,5.792,197.333
2011-12-27,190.708,7.667,8.25,198.375
2011-12-28,188.818,7.227,10.0,196.045
2011-12-29,187.957,6.087,20.417,194.043
2011-12-30,187.792,4.75,10.0,192.542
2011-12-31,187.5,5.583,8.667,193.083
2012-01-01,190.333,8.292,,198.625
2012-01-02,191.292,8.833,,200.125
2012-01-03,191.375,8.167,,199.542
2012-01-04,190.0,6.0,,196.0
2012-01-05,188.708,6.375,,195.083
2012-01-06,188.917,6.042,,194.958
2012-01-07,188.375,6.417,,194.792
2012-01-08,188.667,6.25,,194.917
2012-01-09,188.917,6.375,,195.292
2012-01-10,190.375,6.375,,196.75
2012-01-11,191.304,2.609,,193.913
2012-01-12,189.833,2.667,,192.5
2012-01-13,191.833,3.292,,195.125
2012-01-14,190.458,2.917,,193.375
2012-01-15,191.25,2.167,,193.417
2012-01-16,189.583,2.917,,192.5
2012-01-17,190.625,2.167,,192.792
2012-01-18,191.783,7.391,,199.174
2012-01-19,191.417,8.333,,199.75
2012-01-20,191.958,7.083,,199.042
2012-01-21,191.375,8.125,,199.5
2012-01-22,188.792,8.125,,196.917
2012-01-23,190.083,9.042,,199.125
2012-01-24,190.375,9.333,,199.708
2012-01-25,191.522,5.739,,197.261
2012-01-26,192.333,4.792,,197.125
2012-01-27,192.833,5.208,,198.042
2012-01-28,192.5,6.0,,198.5
2012-01-29,192.917,5.625,,198.542
2012-01-30,195.667,5.833,,201.5
2012-01-31,195.091,6.5,,201.591
2012-02-01,190.435,6.565,,197.0
2012-02-02,190.792,5.083,,195.875
2012-02-03,191.583,3.792,,195.375
2012-02-04,189.333,4.5,,193.833
2012-02-05,190.958,2.792,,193.75
2012-02-06,189.217,5.913,,195.13
2012-02-07,190.625,7.75,,198.375
2012-02-08,193.125,5.625,,198.75
2012-02-09,191.667,5.875,,197.542
2012-02-10,191.667,6.083,,197.75
2012-02-11,193.833,5.833,,199.667
2012-02-12,192.083,5.917,,198.0
2012-02-13,191.13,9.043,,200.174
2012-02-14,190.375,9.458,,199.833
2012-02-15,191.435,9.261,,200.696
2012-02-16,193.5,7.792,,201.292
2012-02-17,191.75,8.0,,199.75
2012-02-18,190.333,9.542,,199.875
2012-02-19,192.542,8.083,,200.625
2012-02-20,193.478,5.87,,199.348
2012-02-21,192.583,4.958,,197.542
2012-02-22,191.818,4.364,,196.182
2012-02-23,192.542,2.625,,195.167
2012-02-24,193.125,2.417,,195.542
2012-02-25,193.75,2.667,,196.417
2012-02-26,192.708,3.0,,195.708
2012-02-27,192.0,5.13,,197.13
2012-02-28,192.583,3.583,,196.167
2012-03-01,192.375,4.25,,196.625
2012-03-02,194.5,2.042,,196.542
2012-03-03,191.917,1.375,,193.292
2012-03-04,192.083,2.458,,194.542
2012-03-05,192.5,2.25,,194.75
2012-03-06,192.391,7.478,,199.87
2012-03-07,192.375,10.083,,202.458
2012-03-08,190.375,9.042,,199.417
2012-03-09,189.208,5.333,,194.542
2012-03-10,190.375,5.875,,196.25
2012-03-11,191.958,4.917,,196.875
2012-03-12,192.167,9.083,,201.25
2012-03-13,188.696,5.696,,194.391
2012-03-14,192.957,4.13,,197.087
2012-03-15,193.545,5.0,,198.545
2012-03-16,192.348,9.783,,202.13
2012-03-17,192.083,8.708,,200.792
2012-03-18,188.75,9.667,,198.417
2012-03-19,190.25,9.208,,199.458
2012-03-20,191.25,9.375,,200.625
2012-03-21,191.583,6.667,,198.25
2012-03-22,190.833,9.292,,200.125
2012-03-23,190.348,4.913,,195.261
2012-03-24,189.792,4.917,,194.708
2012-03-25,190.333,5.083,,195.417
2012-03-26,190.917,4.667,,195.583
2012-03-27,190.13,5.826,,195.957
2012-03-28,189.292,8.292,,197.583
2012-03-29,189.417,5.125,,194.542
2012-03-30,189.913,4.826,,194.739
2012-03-31,189.875,5.042,,194.917
2012-04-01,188.792,3.542,,192.333
2012-04-02,188.917,3.833,,192.75
2012-04-03,185.522,4.261,,189.783
2012-04-04,186.75,3.417,,190.167
2012-04-05,186.75,4.833,,191.583
2012-04-06,188.478,7.0,,195.478
2012-04-07,189.417,7.083,,196.5
2012-04-08,189.5,7.5,,197.0
2012-04-09,189.75,9.167,,198.917
2012-04-10,189.958,10.292,,200.25
2012-04-11,185.667,9.667,,195.333
2012-04-12,186.208,8.583,,194.792
2012-04-13,188.043,8.087,,196.13
2012-04-14,187.708,7.583,,195.292
2012-04-15,187.542,7.5,,195.042
2012-04-16,187.458,9.708,,197.167
2012-04-17,187.318,8.091,,195.409
2012-04-18,186.87,5.435,,192.304
2012-04-19,186.708,5.5,,192.208
2012-04-20,186.542,6.708,,193.25
2012-04-21,186.417,6.167,,192.583
2012-04-22,183.833,6.833,,190.667
2012-04-23,183.792,7.042,,190.833
2012-04-24,187.0,8.5,,195.5
2012-04-25,188.261,8.304,,196.565
2012-04-26,185.583,8.917,,194.5
2012-04-27,186.375,6.792,,193.167
2012-04-28,187.167,9.167,,196.333
2012-04-29,186.125,9.542,,195.667
2012-04-30,186.375,10.875,,197.25
2012-05-01,185.875,11.083,,196.958
2012-05-02,183.043,7.696,,190.739
2012-05-03,180.417,5.792,,186.208
2012-05-04,180.708,4.0,,184.708
2012-05-05,182.667,4.833,,187.5
2012-05-06,184.583,5.375,,189.958
2012-05-07,186.125,7.167,,193.292
2012-05-08,187.667,8.667,,196.333
2012-05-09,185.261,4.304,,189.565
2012-05-10,185.0,3.333,,188.333
2012-05-11,184.75,3.083,,187.833
2012-05-12,185.708,3.292,,189.0
2012-05-13,185.542,3.708,,189.25
2012-05-14,185.5,5.625,,191.125
2012-05-15,182.667,5.167,,187.833
2012-05-16,185.261,7.957,,193.217
2012-05-17,188.773,9.727,,198.5
2012-05-18,189.125,6.708,,195.833
2012-05-19,189.917,7.292,,197.208
2012-05-20,189.292,7.875,,197.167
2012-05-21,188.708,7.917,,196.625
2012-05-22,189.739,8.174,,197.913
2012-05-23,185.522,7.522,,193.043
2012-05-24,185.375,7.333,,192.708
2012-05-25,187.5,9.333,,196.833
2012-05-26,185.542,8.083,,193.625
2012-05-27,186.208,9.708,,195.917
2012-05-28,187.458,7.833,,195.292
2012-05-29,185.667,6.292,,191.958
2012-05-30,184.435,5.913,,190.348
2012-05-31,184.167,6.083,,190.25
2012-06-01,183.417,6.333,,189.75
2012-06-02,183.167,6.458,,189.625
2012-06-03,183.5,7.375,,190.875
2012-06-04,186.125,8.042,,194.167
2012-06-05,185.458,9.25,,194.708
2012-06-06,184.913,7.348,,192.261
2012-06-07,187.792,7.0,,194.792
2012-06-08,187.542,7.875,,195.417
2012-06-09,184.625,6.75,,191.375
2012-06-10,183.708,6.667,,190.375
2012-06-11,183.375,6.583,,189.958
2012-06-12,186.458,8.0,,194.458
2012-06-13,186.087,8.13,,194.217
2012-06-14,188.167,8.625,,196.792
2012-06-15,186.083,8.333,,194.417
2012-06-16,185.542,8.75,,194.292
2012-06-17,185.708,7.292,,193.0
2012-06-18,187.917,9.083,,197.0
2012-06-19,186.25,7.958,,194.208
2012-06-20,184.565,8.783,,193.348
2012-06-21,183.636,5.136,,188.773
2012-06-22,182.625,4.292,,186.917
2012-06-23,183.875,4.167,,188.042
2012-06-24,182.917,3.792,,186.708
2012-06-25,182.042,4.292,,186.333
2012-06-26,186.125,5.375,,191.5
2012-06-27,187.174,9.609,,196.783
2012-06-28,183.625,8.667,,192.292
2012-06-29,184.958,9.625,,194.583
2012-06-30,185.333,10.542,,195.875
2012-07-01,181.0,8.333,,189.333
2012-07-02,180.542,7.458,,188.0
2012-07-03,185.167,9.458,,194.625
2012-07-04,189.565,9.174,,198.739
2012-07-05,183.375,8.542,,191.917
2012-07-06,182.208,7.792,,190.0
2012-07-07,181.708,6.208,,187.917
2012-07-08,187.583,7.208,,194.792
2012-07-09,185.167,7.083,,192.25
2012-07-10,186.292,7.167,,193.458
2012-07-11,188.957,8.739,,197.696
2012-07-12,179.875,7.75,,187.625
2012-07-13,185.958,7.208,,193.167
2012-07-14,183.833,7.042,,190.875
2012-07-15,184.125,8.042,,192.167
2012-07-16,182.292,8.75,,191.042
2012-07-17,179.5,6.917,,186.417
2012-07-18,179.955,8.5,,188.455
2012-07-19,177.583,7.75,,185.333
2012-07-20,180.792,7.833,,188.625
2012-07-21,182.458,8.25,,190.708
2012-07-22,183.208,8.208,,191.417
2012-07-23,182.25,8.833,,191.083
2012-07-24,185.625,9.417,,195.042
2012-07-25,184.957,10.739,,195.696
2012-07-26,181.083,10.792,,191.875
2012-07-27,183.619,11.381,,195.0
2012-07-28,178.043,7.174,,185.217
2012-07-29,180.375,7.25,,187.625
2012-07-30,179.833,8.208,,188.042
2012-07-31,177.958,7.958,,185.917
2012-08-01,176.5,7.042,,183.542
2012-08-02,177.25,6.583,,183.833
2012-08-03,178.167,5.875,,184.042
2012-08-04,182.565,9.348,,191.913
2012-08-05,180.0,9.792,,189.792
2012-08-06,177.375,8.625,,186.0
2012-08-07,178.375,8.375,,186.75
2012-08-08,180.333,8.292,,188.625
2012-08-09,180.292,8.375,,188.667
2012-08-10,179.458,8.25,,187.708
2012-08-11,181.696,9.391,,191.087
2012-08-12,182.5,9.875,,192.375
2012-08-13,180.667,9.292,,189.958
2012-08-14,180.208,7.917,,188.125
2012-08-15,177.417,9.417,,186.833
2012-08-16,177.125,8.833,,185.958
2012-08-17,176.208,9.292,,185.5
2012-08-18,174.174,7.565,,181.739
2012-08-19,175.792,7.917,,183.708
2012-08-20,177.375,7.875,,185.25
2012-08-21,177.958,8.625,,186.583
2012-08-22,176.333,9.125,,185.458
2012-08-23,175.417,8.458,,183.875
2012-08-24,174.5,7.667,,182.167
2012-08-25,176.0,9.174,,185.174
2012-08-26,175.5,9.333,,184.833
2012-08-27,175.5,9.292,,184.792
2012-08-28,176.792,9.833,,186.625
2012-08-29,176.708,10.833,,187.542
2012-08-30,175.429,9.619,,185.048
2012-08-31,175.917,10.0,,185.917
2012-09-01,175.261,7.609,,182.87
2012-09-02,176.792,7.167,,183.958
2012-09-03,177.667,6.583,,184.25
2012-09-04,177.917,7.417,,185.333
2012-09-05,178.875,7.625,,186.5
2012-09-06,179.565,7.0,,186.565
2012-09-07,182.042,8.167,,190.208
2012-09-08,178.565,9.217,,187.783
2012-09-09,177.375,9.083,,186.458
2012-09-10,177.792,9.042,,186.833
2012-09-11,181.792,8.042,,189.833
2012-09-12,181.833,8.333,,190.167
2012-09-13,180.583,8.5,,189.083
2012-09-14,181.136,9.455,,190.591
2012-09-15,178.348,8.174,,186.522
2012-09-16,177.75,7.958,,185.708
2012-09-17,176.667,8.167,,184.833
2012-09-18,176.875,7.667,,184.542
2012-09-19,180.25,6.833,,187.083
2012-09-20,183.625,7.417,,191.042
2012-09-21,181.708,7.125,,188.833
2012-09-22,181.174,8.957,,190.13
2012-09-23,180.833,8.5,,189.333
2012-09-24,180.875,8.875,,189.75
2012-09-25,182.333,8.417,,190.75
2012-09-26,183.125,8.708,,191.833
2012-09-27,182.542,8.792,,191.333
2012-09-28,182.208,9.417,,191.625
2012-09-29,181.478,7.957,,189.435
2012-09-30,180.708,7.333,,188.042
2012-10-01,183.545,7.182,,190.727
2012-10-02,185.625,8.375,,194.0
2012-10-03,183.583,7.708,,191.292
2012-10-04,182.417,7.167,,189.583
