date,CH4_mean,NMHC_mean,PM25_mean,THC_mean
2013-01-03,191.833,5.25,9.917,197.083
2013-01-04,191.875,5.333,9.5,197.208
2013-01-05,191.417,4.042,4.208,195.458
2013-01-06,193.045,4.636,5.591,197.682
2013-01-07,193.0,7.375,6.75,200.375
2013-01-08,191.208,9.0,8.708,200.208
2013-01-09,190.25,3.375,1.833,193.625
2013-01-10,193.87,2.917,1.217,197.417
2013-01-11,194.667,,8.125,
2013-01-12,192.708,,13.583,
2013-01-13,194.083,8.158,5.708,202.105
2013-01-14,193.273,12.955,3.591,206.227
2013-01-15,192.25,14.583,4.167,206.833
2013-01-16,192.583,14.417,2.917,207.0
2013-01-17,194.125,10.5,5.083,204.625
2013-01-18,194.875,11.083,10.292,205.958
2013-01-19,195.583,7.25,3.583,202.833
2013-01-20,194.818,11.682,10.409,206.5
2013-01-21,193.917,11.167,17.125,205.083
2013-01-22,195.667,7.542,11.625,203.208
2013-01-23,194.75,8.417,10.042,203.167
2013-01-24,194.292,11.625,13.5,205.917
2013-01-25,192.348,15.87,20.87,208.217
2013-01-26,193.583,7.458,15.333,201.042
2013-01-27,193.091,5.455,5.957,198.545
2013-01-28,192.667,11.875,11.792,204.542
2013-01-29,190.5,8.292,12.917,198.792
2013-01-30,191.625,14.125,13.125,205.75
2013-01-31,191.0,6.625,13.375,197.625
2013-02-01,191.083,9.708,12.333,200.792
2013-02-02,190.708,14.375,18.208,205.083
2013-02-03,188.857,11.762,14.045,200.619
2013-02-04,189.375,5.25,2.917,194.625
2013-02-05,193.833,5.542,4.0,199.375
2013-02-06,193.917,5.542,3.917,199.458
2013-02-07,191.833,4.875,4.583,196.708
2013-02-08,190.917,5.792,1.708,196.708
2013-02-09,189.667,5.167,3.0,194.833
2013-02-10,192.273,4.545,9.391,196.818
2013-02-11,191.667,4.583,4.167,196.25
2013-02-12,190.875,4.792,3.833,195.667
2013-02-13,191.25,3.958,3.167,195.208
2013-02-14,191.208,6.208,3.958,197.417
2013-02-15,188.667,4.667,1.208,193.333
2013-02-16,192.292,5.375,18.958,197.667
2013-02-17,195.545,6.909,26.435,202.455
2013-02-18,,,10.833,
2013-02-19,,,8.75,
2013-02-20,,,11.833,
2013-02-21,,,11.792,
2013-02-22,,,7.0,
2013-02-23,,,10.125,
2013-02-24,,,12.261,
2013-02-25,,,42.542,
2013-02-26,,,54.292,
2013-02-27,,,16.792,
2013-02-28,,,19.917,
2013-03-01,,,28.208,
2013-03-02,,,10.875,
2013-03-03,,,7.5,
2013-03-04,,,10.652,
2013-03-05,,,11.542,
2013-03-06,,,10.083,
2013-03-07,,,6.667,
2013-03-08,,,7.042,
2013-03-09,,,10.667,
2013-03-10,,,5.182,
2013-03-11,,,5.917,
2013-03-12,,,13.958,
2013-03-13,,,13.208,
2013-03-14,,,5.792,
2013-03-15,,,15.375,
2013-03-16,,,32.542,
2013-03-17,,,47.545,
2013-03-18,,,42.0,
2013-03-19,,,14.333,
2013-03-20,,,8.25,
2013-03-21,,,5.583,
2013-03-22,,,6.042,
2013-03-23,,,15.625,
2013-03-24,,,37.87,
2013-03-25,,,28.625,
2013-03-26,,,17.375,
2013-03-27,,,12.167,
2013-03-28,,,24.833,
2013-03-29,,,22.167,
2013-03-30,,,8.333,
2013-03-31,,,16.957,
2013-04-01,189.682,5.591,11.091,195.273
2013-04-02,189.542,9.0,18.792,198.542
2013-04-03,185.792,4.458,13.625,190.25
2013-04-04,187.917,5.083,18.083,193.0
2013-04-05,187.625,6.75,19.25,194.375
2013-04-06,183.125,5.417,9.75,188.542
2013-04-07,191.391,2.609,3.417,194.0
2013-04-08,195.045,2.636,9.364,197.682
2013-04-09,195.375,4.583,16.583,199.958
2013-04-10,196.208,3.042,12.25,199.25
2013-04-11,197.542,3.333,12.652,200.875
2013-04-12,197.25,3.792,14.0,201.042
2013-04-13,196.917,4.167,12.958,201.083
2013-04-14,189.957,7.043,21.0,197.0
2013-04-15,188.136,5.182,13.391,193.318
2013-04-16,189.75,7.167,16.583,196.917
2013-04-17,190.333,9.042,31.083,199.375
2013-04-18,187.435,5.435,17.208,192.87
2013-04-19,190.5,3.292,14.833,193.792
2013-04-20,191.208,3.0,10.875,194.208
2013-04-21,190.917,3.042,4.417,193.958
2013-04-22,192.522,3.826,10.174,196.348
2013-04-23,192.542,4.708,12.708,197.25
2013-04-24,189.667,6.125,8.958,195.792
2013-04-25,189.348,4.913,19.375,194.261
2013-04-26,189.917,6.042,15.826,195.958
2013-04-27,191.333,6.042,14.542,197.375
2013-04-28,191.5,4.625,12.208,196.125
2013-04-29,191.375,5.833,15.792,197.208
2013-04-30,189.043,5.739,15.609,194.783
2013-05-01,187.917,3.667,6.333,191.583
2013-05-02,187.913,1.087,3.0,189.0
2013-05-03,188.792,1.292,5.042,190.083
2013-05-04,188.792,1.375,8.167,190.167
2013-05-05,190.375,2.375,19.167,192.75
2013-05-06,187.833,1.958,21.625,189.792
2013-05-07,187.727,2.045,7.455,189.773
2013-05-08,188.042,3.208,4.083,191.25
