date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-03-05,181.261,7.667,94.0,90.5,84.0,31.391,23.708,39.625,15.917,2.292,8.208,11.0,9.625,8.5,212.652
2011-03-06,183.261,11.458,94.0,75.542,50.0,24.739,34.958,100.75,65.792,3.792,19.042,17.1,12.575,8.7,208.0
2011-03-07,185.261,9.826,68.0,51.75,41.0,15.391,25.292,51.333,26.042,3.304,38.958,11.7,9.546,6.5,200.652
2011-03-08,183.773,10.261,76.0,50.583,29.0,16.818,36.227,96.909,60.682,3.773,38.182,12.3,8.25,4.0,200.591
2011-03-09,180.522,9.625,86.0,77.375,56.0,15.478,37.458,97.0,59.542,3.125,27.667,8.0,6.367,5.6,196.0
2011-03-10,181.87,7.125,85.0,56.167,37.0,9.565,17.917,49.792,31.875,2.5,18.208,9.6,7.162,5.3,191.435
2011-03-11,179.478,6.667,65.0,46.583,26.0,5.13,12.333,29.5,17.167,3.042,20.0,10.2,5.292,1.4,184.609
2011-03-12,182.696,6.667,77.0,59.917,44.0,4.826,15.0,33.458,18.458,2.333,17.958,5.8,2.496,0.5,187.522
2011-03-13,180.826,6.75,81.0,59.083,41.0,7.696,21.667,50.708,29.042,2.208,17.833,5.4,2.646,0.1,188.522
2011-03-14,180.652,8.087,79.0,47.5,24.0,14.522,35.542,101.375,65.833,3.217,19.083,9.9,4.792,-1.0,195.174
2011-03-15,182.25,7.0,66.0,45.042,26.0,8.7,22.087,44.957,22.87,3.696,22.435,8.9,5.325,2.0,190.95
2011-03-16,180.304,7.083,70.0,50.083,23.0,12.174,30.0,64.375,34.375,3.083,24.333,13.3,6.888,0.6,192.478
2011-03-17,180.087,7.958,92.0,87.208,73.0,18.304,22.5,38.625,16.125,2.375,19.75,11.6,10.004,8.7,198.391
2011-03-18,184.87,9.625,93.0,81.292,60.0,26.652,22.0,54.0,32.0,2.917,20.917,12.9,10.804,9.4,211.522
2011-03-19,181.261,5.75,73.0,49.917,31.0,4.391,8.667,16.083,7.417,2.042,12.583,8.9,5.367,1.3,185.652
2011-03-20,179.913,6.5,73.0,47.875,23.0,7.13,22.333,61.958,39.625,2.375,15.75,11.3,5.667,-0.6,187.043
2011-03-21,180.043,6.348,82.0,47.75,20.0,6.652,16.333,32.75,16.417,2.13,18.292,9.6,5.325,2.0,186.696
2011-03-22,182.75,8.087,72.0,52.75,31.0,20.55,34.087,79.0,44.913,3.261,23.826,13.3,7.458,0.5,203.3
2011-03-23,179.478,7.625,94.0,84.292,63.0,13.957,26.583,38.958,12.375,2.417,16.458,9.5,8.588,7.3,193.435
2011-03-24,183.435,8.292,94.0,66.917,47.0,10.087,18.833,38.708,19.875,2.417,12.958,11.4,9.083,6.3,193.522
2011-03-25,184.13,7.042,67.0,53.042,33.0,4.913,7.625,13.833,6.208,2.208,16.5,8.7,5.404,3.3,189.043
2011-03-26,183.609,6.625,66.0,51.333,32.0,4.87,10.333,21.458,11.125,2.0,15.0,8.1,4.904,2.4,188.478
2011-03-27,184.783,8.958,68.0,43.375,22.0,13.391,34.542,78.625,44.083,3.833,26.833,13.8,8.458,2.4,198.174
2011-03-28,184.043,8.261,73.0,50.292,29.0,16.043,28.417,68.208,39.792,4.391,35.083,14.2,8.988,4.2,200.087
2011-03-29,183.636,8.826,73.0,34.833,7.0,13.364,43.238,105.238,62.0,2.913,21.913,17.9,10.104,3.0,197.0
2011-03-30,181.217,9.417,62.0,44.292,31.0,23.348,41.083,114.958,73.875,3.458,20.625,19.8,13.171,5.1,204.565
2011-03-31,177.348,7.125,92.0,66.667,38.0,6.0,18.5,37.292,18.792,1.708,12.667,15.2,9.812,4.8,183.348
2011-04-01,182.636,8.217,86.0,45.208,6.0,21.136,46.87,115.391,68.522,3.783,30.565,19.7,11.108,1.9,203.773
2011-04-02,183.261,6.5,85.0,57.458,33.0,15.826,25.167,56.667,31.5,3.875,32.0,17.6,10.154,5.6,199.087
2011-04-03,180.739,4.792,61.0,42.542,32.0,3.696,8.375,14.417,6.042,2.542,14.083,8.9,6.238,3.8,184.435
2011-04-04,181.739,5.667,78.0,46.917,19.0,8.522,23.292,56.042,32.75,2.708,15.542,11.6,6.767,1.4,190.261
2011-04-05,182.0,6.167,68.0,45.458,25.0,13.304,33.25,88.083,54.833,3.5,22.167,14.3,8.45,1.6,195.304
2011-04-06,181.565,7.792,90.0,46.208,9.0,21.391,45.625,113.083,67.458,3.5,22.75,20.0,11.983,2.9,202.957
2011-04-07,181.304,7.391,70.0,51.667,36.0,25.826,39.708,88.583,48.875,3.391,22.417,21.2,15.075,8.7,207.13
2011-04-08,180.476,5.957,94.0,77.333,59.0,21.048,29.261,54.913,25.652,2.435,23.304,14.7,13.242,12.1,201.524
2011-04-09,180.174,6.292,94.0,73.042,44.0,15.043,17.75,32.042,14.292,2.0,19.542,14.7,12.679,10.4,195.217
2011-04-10,181.609,7.667,84.0,40.375,11.0,13.13,23.792,40.833,17.042,3.417,36.875,19.2,13.183,5.9,194.739
2011-04-11,183.043,6.792,70.0,50.208,23.0,16.478,24.583,51.792,27.208,3.5,33.417,18.0,10.267,6.8,199.522
2011-04-12,181.0,5.792,57.0,32.958,13.0,10.435,17.708,32.042,14.333,3.208,35.5,14.1,9.808,6.3,191.435
2011-04-13,182.261,8.292,74.0,38.417,11.0,28.435,46.25,116.458,70.208,5.125,35.0,20.5,12.796,3.9,210.696
2011-04-14,184.182,8.455,82.0,43.542,9.0,27.5,48.478,112.478,64.0,6.136,39.652,23.4,15.421,6.9,211.682
2011-04-15,182.13,7.708,87.0,69.917,39.0,26.13,36.958,80.333,43.375,5.583,43.25,20.1,15.042,12.1,208.261
2011-04-16,182.087,6.042,87.0,63.542,46.0,14.0,10.583,23.542,12.958,3.042,35.958,17.9,12.388,7.0,196.087
2011-04-17,180.565,5.208,71.0,45.667,18.0,7.304,11.75,19.792,8.042,3.625,20.042,16.5,10.692,3.9,187.87
2011-04-18,180.348,6.583,94.0,70.833,37.0,22.652,29.708,69.667,39.958,4.542,26.042,19.0,12.996,8.6,203.0
2011-04-19,182.435,7.208,94.0,73.583,28.0,13.13,30.833,76.083,45.25,4.0,18.375,14.6,9.508,7.5,195.565
2011-04-20,181.304,5.625,85.0,63.833,44.0,8.348,16.167,39.667,23.5,3.125,12.5,11.4,8.958,5.3,189.652
2011-04-21,182.19,7.636,89.0,49.5,11.0,23.524,37.565,106.304,68.739,4.143,26.636,20.1,12.046,3.5,205.714
2011-04-22,183.826,8.0,94.0,79.625,61.0,34.435,35.625,77.917,42.292,3.917,33.083,15.2,12.067,9.5,218.261
2011-04-23,181.87,7.333,94.0,89.333,82.0,23.0,26.958,55.125,28.167,3.25,20.583,15.0,12.108,8.1,204.87
2011-04-24,182.435,7.333,93.0,68.667,37.0,12.826,21.042,39.75,18.708,3.042,21.708,14.6,9.829,6.5,195.261
2011-04-25,182.174,8.25,92.0,72.625,42.0,21.217,36.083,101.0,64.917,3.208,25.083,15.2,9.754,5.4,203.391
2011-04-26,182.565,7.542,92.0,66.25,35.0,27.783,32.458,84.833,52.375,3.958,30.25,17.5,12.0,7.0,210.348
2011-04-27,182.739,8.87,95.0,73.458,30.0,33.174,38.833,119.0,80.167,3.609,38.458,25.4,17.042,10.7,215.913
2011-04-28,181.909,7.217,91.0,70.542,43.0,14.591,26.957,54.478,27.522,2.783,30.652,15.9,12.479,9.6,196.5
2011-04-29,182.0,7.333,90.0,61.833,34.0,16.391,24.042,55.958,31.917,2.917,20.0,15.5,11.779,7.1,198.391
2011-04-30,184.043,8.583,89.0,62.917,36.0,29.652,27.875,62.208,34.333,3.458,34.375,20.4,13.821,7.7,213.696
2011-05-01,179.87,6.625,92.0,80.5,63.0,18.435,17.708,27.375,9.667,2.583,41.583,18.0,15.683,13.4,198.304
2011-05-02,182.217,6.75,85.0,48.708,23.0,13.0,23.25,48.292,25.042,2.583,142.125,20.6,16.025,11.1,195.217
2011-05-03,183.696,7.958,76.0,54.833,36.0,18.348,28.667,56.375,27.708,2.833,118.583,17.3,14.271,10.3,202.043
2011-05-04,182.957,7.0,83.0,48.917,22.0,14.261,16.375,32.75,16.375,3.217,68.208,20.6,15.342,9.9,197.217
2011-05-05,180.5,5.696,70.0,49.708,26.0,8.136,13.391,20.435,7.043,2.565,19.261,20.6,15.2,11.0,188.636
2011-05-06,180.348,6.875,83.0,62.083,45.0,16.13,28.458,59.5,31.042,2.958,39.292,21.8,16.638,9.9,196.478
2011-05-07,176.565,5.75,80.0,60.458,39.0,13.304,18.792,33.292,14.5,2.958,24.833,24.6,19.829,16.5,189.87
2011-05-08,179.609,6.5,87.0,54.417,33.0,12.957,14.167,22.667,8.5,3.083,47.375,25.7,20.604,15.5,192.565
